course,prof,gpa,% of A,% of B,section_,semester
CEHD 603,GOODSON P,3.750,75%,25%,600,2017 Fall
EDAD 601,HAYNES DAVISON C,3.750,75%,25%,600,2017 Fall
EDAD 605,POENITZSCH N,3.821,93%,4%,700,2017 Fall
EDAD 610,BROWN J,4.000,100%,0%,600,2017 Fall
EDAD 612,LECHUGA V,4.000,100%,0%,600,2017 Fall
EDAD 624,SMITH K,3.944,94%,6%,700,2017 Fall
EDAD 631,BAILEY K,3.947,95%,5%,600,2017 Fall
EDAD 638,WEBB-JOHNSON G,3.894,89%,11%,700,2017 Fall
EDAD 639,LECHUGA V,4.000,100%,0%,601,2017 Fall
EDAD 639,SMITH K,3.937,94%,6%,700,2017 Fall
EDAD 653,MADSEN J,4.000,100%,0%,600,2017 Fall
EDAD 669,HAYNES DAVISON C,4.000,100%,0%,600,2017 Fall
EDAD 683,BAILEY K,4.000,100%,0%,600,2017 Fall
EDAD 687,MADSEN J,4.000,100%,0%,600,2017 Fall
EHRD 203,YEAGER K,3.551,69%,24%,501,2017 Fall
EHRD 203,YEAGER K,3.421,63%,21%,502,2017 Fall
EHRD 203,YEAGER K,3.617,68%,28%,598,2017 Fall
EHRD 210,WILSON M,3.674,84%,9%,500,2017 Fall
EHRD 210,SCHUBART S,3.837,84%,16%,597,2017 Fall
EHRD 315,MARK C,3.631,74%,16%,500,2017 Fall
EHRD 315,STOWE C,3.238,43%,48%,597,2017 Fall
EHRD 371,MINNIS S,3.066,50%,30%,700,2017 Fall
EHRD 371,MINNIS S,3.250,64%,14%,902,2017 Fall
EHRD 371,SMITH K,3.294,50%,41%,920,2017 Fall
EHRD 371,MINNIS S,4.000,100%,0%,970,2017 Fall
EHRD 372,MUYIA M,3.674,79%,14%,569,2017 Fall
EHRD 372,MUYIA M,3.666,73%,20%,597,2017 Fall
EHRD 372,MUYIA M,3.727,84%,9%,598,2017 Fall
EHRD 374,MUYIA M,3.500,70%,18%,599,2017 Fall
EHRD 391,SANDLIN J,3.111,37%,44%,501,2017 Fall
EHRD 391,SANDLIN J,3.516,61%,29%,502,2017 Fall
EHRD 391,REED K,2.454,15%,39%,599,2017 Fall
EHRD 405,CHERRY R,3.583,79%,8%,500,2017 Fall
EHRD 405,SINGH S,3.000,31%,41%,599,2017 Fall
EHRD 408,PONJUAN L,3.225,26%,71%,500,2017 Fall
EHRD 408,SANDLIN J,3.100,50%,30%,550,2017 Fall
EHRD 413,HUTCHINS N,3.838,87%,10%,500,2017 Fall
EHRD 413,MCDONALD W,3.258,42%,48%,501,2017 Fall
EHRD 477,SWEENEY D,3.204,30%,61%,500,2017 Fall
EHRD 477,SMITH B,3.279,51%,30%,599,2017 Fall
EHRD 481,FOWLER R,3.897,90%,10%,500,2017 Fall
EHRD 481,FOWLER R,3.736,82%,16%,501,2017 Fall
EHRD 490,SANDLIN J,3.192,35%,58%,901,2017 Fall
EHRD 490,BOWEN D,2.964,29%,43%,920,2017 Fall
EHRD 490,MUSOBA G,3.133,37%,40%,921,2017 Fall
EHRD 601,WANG J,3.500,75%,17%,600,2017 Fall
EHRD 603,DOOLEY L,3.857,93%,0%,700,2017 Fall
EHRD 612,DOOLEY L,3.785,79%,21%,700,2017 Fall
EHRD 613,UPTON M,3.833,83%,17%,700,2017 Fall
EHRD 614,BEYERLEIN M,3.950,95%,5%,700,2017 Fall
EHRD 618,DIRANI K,4.000,100%,0%,699,2017 Fall
EHRD 618,DIRANI K,3.666,76%,14%,700,2017 Fall
EHRD 619,WATSON N,3.857,86%,14%,600,2017 Fall
EHRD 624,UPTON M,3.285,43%,43%,699,2017 Fall
EHRD 624,UPTON M,3.222,33%,56%,700,2017 Fall
EHRD 625,BEYERLEIN M,3.961,96%,4%,700,2017 Fall
EHRD 627,DIRANI K,4.000,100%,0%,700,2017 Fall
EHRD 630,BAUMGARTNER L,3.666,75%,17%,600,2017 Fall
