course,prof,gpa,% of A,% of B,section_,semester
BIOL 100,RAO A,3.514,71%,14%,500,2017 Fall
BIOL 107,WINEMILLER L,2.266,20%,33%,501,2017 Fall
BIOL 107,WINEMILLER L,3.136,41%,36%,502,2017 Fall
BIOL 107,WINEMILLER L,2.650,15%,45%,503,2017 Fall
BIOL 107,WINEMILLER L,2.750,33%,33%,504,2017 Fall
BIOL 107,WINEMILLER L,2.666,29%,24%,505,2017 Fall
BIOL 107,WINEMILLER L,2.619,14%,43%,506,2017 Fall
BIOL 107,WINEMILLER L,2.652,30%,26%,507,2017 Fall
BIOL 107,WINEMILLER L,2.500,18%,36%,508,2017 Fall
BIOL 107,WINEMILLER L,2.736,21%,37%,509,2017 Fall
BIOL 107,WINEMILLER L,2.642,29%,14%,510,2017 Fall
BIOL 107,WINEMILLER L,2.263,16%,16%,511,2017 Fall
BIOL 107,WINEMILLER L,2.476,29%,10%,512,2017 Fall
BIOL 111,RYAN K,3.066,40%,40%,201,2017 Fall
BIOL 111,RYAN K,3.687,69%,31%,202,2017 Fall
BIOL 111,RYAN K,3.375,56%,31%,203,2017 Fall
BIOL 111,RYAN K,3.285,50%,43%,204,2017 Fall
BIOL 111,LEBOEUF B,2.500,25%,21%,501,2017 Fall
BIOL 111,LEBOEUF B,2.636,18%,36%,502,2017 Fall
BIOL 111,LEBOEUF B,2.263,16%,26%,503,2017 Fall
BIOL 111,LEBOEUF B,2.476,10%,43%,504,2017 Fall
BIOL 111,LEBOEUF B,2.294,24%,18%,505,2017 Fall
BIOL 111,LEBOEUF B,2.800,30%,30%,506,2017 Fall
BIOL 111,LEBOEUF B,2.850,30%,35%,507,2017 Fall
BIOL 111,LEBOEUF B,2.761,33%,29%,508,2017 Fall
BIOL 111,LEBOEUF B,2.500,10%,50%,509,2017 Fall
BIOL 111,LEBOEUF B,2.941,41%,18%,510,2017 Fall
BIOL 111,LEBOEUF B,2.590,27%,18%,511,2017 Fall
BIOL 111,LEBOEUF B,3.200,40%,40%,512,2017 Fall
BIOL 111,KEMP W,2.909,41%,27%,513,2017 Fall
BIOL 111,KEMP W,2.950,45%,15%,514,2017 Fall
BIOL 111,KEMP W,2.727,27%,41%,515,2017 Fall
BIOL 111,KEMP W,3.000,29%,47%,516,2017 Fall
BIOL 111,KEMP W,2.956,35%,39%,517,2017 Fall
BIOL 111,KEMP W,3.090,45%,27%,518,2017 Fall
BIOL 111,KEMP W,2.826,39%,26%,519,2017 Fall
BIOL 111,KEMP W,2.444,17%,33%,520,2017 Fall
BIOL 111,KEMP W,3.347,52%,35%,521,2017 Fall
BIOL 111,KEMP W,3.150,55%,25%,522,2017 Fall
BIOL 111,KEMP W,3.117,41%,35%,523,2017 Fall
BIOL 111,TAG A,2.333,17%,33%,524,2017 Fall
