course,prof,gpa,% of A,% of B,section_,semester
ARCH 205,ESQUIVEL J,4.000,100%,0%,901,2018 Fall
ARCH 205,KIM H,3.722,72%,28%,902,2018 Fall
ARCH 205,DE LIMA VAZ XAVIER,3.812,88%,6%,903,2018 Fall
ARCH 205,KIM H,3.823,82%,18%,904,2018 Fall
ARCH 205,VAHDAT ZAD V,3.555,61%,33%,905,2018 Fall
ARCH 205,CLAYTON M,3.352,35%,65%,906,2018 Fall
ARCH 205,LUTZ S,3.000,50%,8%,907,2018 Fall
ARCH 212,QIU L,3.262,41%,48%,500,2018 Fall
ARCH 216,KIM H,3.714,71%,29%,501,2018 Fall
ARCH 246,GEVA A,3.459,49%,49%,500,2018 Fall
ARCH 249,YOUSIF S,4.000,100%,0%,200,2018 Fall
ARCH 249,GLOWACKI K,3.000,31%,38%,201,2018 Fall
ARCH 249,YOUSIF S,3.300,55%,28%,501,2018 Fall
ARCH 249,YOUSIF S,3.491,68%,18%,502,2018 Fall
ARCH 249,GLOWACKI K,3.028,31%,51%,503,2018 Fall
ARCH 249,GLOWACKI K,2.968,30%,45%,504,2018 Fall
ARCH 249,CAFFEY S,3.423,61%,24%,700,2018 Fall
ARCH 250,CAMPAGNOL G,3.625,75%,12%,200,2018 Fall
ARCH 250,STEWART Z,3.888,89%,11%,201,2018 Fall
ARCH 250,CAMPAGNOL G,3.550,65%,30%,501,2018 Fall
ARCH 250,CAMPAGNOL G,3.493,64%,22%,502,2018 Fall
ARCH 250,STEWART Z,3.285,54%,25%,503,2018 Fall
ARCH 250,STEWART Z,2.887,31%,40%,504,2018 Fall
ARCH 250,CAMPAGNOL G,3.606,69%,24%,700,2018 Fall
ARCH 250,CAMPAGNOL G,3.562,66%,28%,701,2018 Fall
ARCH 305,CATAO CARTAXO,3.529,53%,47%,931,2018 Fall
ARCH 305,STEWART K,2.866,33%,47%,932,2018 Fall
ARCH 305,JAIN P,3.562,56%,44%,933,2018 Fall
ARCH 305,LOPEZ DINARDI M,3.416,58%,25%,934,2018 Fall
ARCH 317,ESQUIVEL J,3.923,92%,8%,500,2018 Fall
ARCH 330,OBRIEN M,3.750,75%,25%,200,2018 Fall
ARCH 330,OBRIEN M,3.388,48%,46%,500,2018 Fall
ARCH 331,NICHOLS A,2.488,7%,47%,500,2018 Fall
ARCH 335,HABERL J,2.736,23%,40%,500,2018 Fall
ARCH 347,FORTENBERRY B,3.857,86%,14%,500,2018 Fall
ARCH 350,CAMPAGNOL G,3.220,49%,35%,500,2018 Fall
ARCH 350,CAMPAGNOL G,3.471,61%,27%,700,2018 Fall
ARCH 353,ESQUIVEL J,4.000,100%,0%,500,2018 Fall
ARCH 381,CLAYTON M,3.892,89%,11%,500,2018 Fall
ARCH 405,AITANI K,3.875,88%,12%,201,2018 Fall
ARCH 405,HAWKINS A,3.466,53%,40%,500,2018 Fall
ARCH 405,MANN G,4.000,100%,0%,502,2018 Fall
ARCH 405,ERMINY M,3.625,81%,0%,503,2018 Fall
ARCH 405,OBRIEN M,3.625,69%,25%,504,2018 Fall
ARCH 421,CULP C,3.714,93%,0%,500,2018 Fall
ARCH 431,HOLLIDAY S,3.687,75%,19%,201,2018 Fall
ARCH 431,HOLLIDAY S,3.600,67%,27%,500,2018 Fall
ARCH 431,NICHOLS A,2.142,0%,14%,502,2018 Fall
ARCH 431,HOLLIDAY S,3.437,62%,19%,503,2018 Fall
ARCH 431,HOLLIDAY S,3.812,81%,19%,504,2018 Fall
ARCH 435,BELTRAN L,4.000,100%,0%,201,2018 Fall
ARCH 435,BALTAZAR CERVANTES,3.312,62%,19%,500,2018 Fall
ARCH 435,BELTRAN L,4.000,100%,0%,502,2018 Fall
ARCH 435,BALTAZAR CERVANTES,3.562,62%,31%,503,2018 Fall
ARCH 435,CULP C,3.875,88%,12%,504,2018 Fall
ARCH 441,CAFFEY S,3.827,83%,17%,500,2018 Fall
ARCH 443,GLOWACKI K,2.421,16%,42%,500,2018 Fall
ARCH 458,HILL R,4.000,100%,0%,200,2018 Fall
ARCH 458,HILL R,3.878,92%,6%,500,2018 Fall
ARCH 485,ABBOTT E,3.923,92%,8%,551,2018 Fall
ARCH 494,ABBOTT E,4.000,100%,0%,570,2018 Fall
ARCH 601,MAFFEI G,3.272,27%,73%,600,2018 Fall
ARCH 605,ALI A,3.166,33%,58%,601,2018 Fall
ARCH 605,ERMINY M,3.300,30%,70%,602,2018 Fall
ARCH 605,LU Z,3.250,25%,75%,603,2018 Fall
ARCH 605,HSU F,3.250,38%,50%,604,2018 Fall
ARCH 607,HOLLIDAY R,3.923,92%,8%,601,2018 Fall
ARCH 607,HALIBURTON J,3.461,46%,54%,602,2018 Fall
ARCH 607,GIBBS B,3.625,62%,38%,603,2018 Fall
ARCH 610,DE LIMA VAZ XAVIER,3.727,73%,27%,600,2018 Fall
ARCH 612,HOLLIDAY S,4.000,100%,0%,600,2018 Fall
ARCH 621,HABERL J,4.000,100%,0%,600,2018 Fall
ARCH 628,BELTRAN L,3.857,86%,14%,600,2018 Fall
ARCH 631,NICHOLS A,2.638,11%,60%,600,2018 Fall
ARCH 633,BALTAZAR CERVANTES,3.538,62%,31%,600,2018 Fall
ARCH 638,CAMPAGNOL G,3.800,80%,20%,600,2018 Fall
ARCH 639,HSU F,3.333,33%,67%,600,2018 Fall
ARCH 644,FORTENBERRY B,4.000,100%,0%,601,2018 Fall
ARCH 644,VAHDAT ZAD V,3.666,67%,33%,602,2018 Fall
ARCH 648,JAIN P,4.000,100%,0%,600,2018 Fall
ARCH 653,YAN W,3.933,93%,7%,600,2018 Fall
ARCH 655,YAN W,3.666,72%,22%,600,2018 Fall
ARCH 657,MIRANDA V,3.592,63%,33%,600,2018 Fall
ARCH 660,PENTECOST A,4.000,100%,0%,600,2018 Fall
ARCH 664,AITANI K,4.000,100%,0%,600,2018 Fall
ARCH 675,LU Z,3.666,67%,33%,600,2018 Fall
ARCH 677,TASSINARY L,3.461,54%,38%,600,2018 Fall
ENDS 101,HILL R,4.000,100%,0%,201,2018 Fall
ENDS 101,HILL R,3.960,96%,4%,202,2018 Fall
ENDS 101,HILL R,3.880,92%,4%,203,2018 Fall
ENDS 101,HILL R,4.000,100%,0%,204,2018 Fall
ENDS 101,HILL R,4.000,100%,0%,205,2018 Fall
ENDS 101,HILL R,4.000,100%,0%,206,2018 Fall
ENDS 101,HILL R,3.960,96%,4%,207,2018 Fall
ENDS 101,CAFFEY S,3.738,80%,15%,501,2018 Fall
ENDS 101,CAFFEY S,3.854,90%,7%,701,2018 Fall
ENDS 105,HE W,3.277,33%,61%,506,2018 Fall
ENDS 105,OBRIEN M,3.523,71%,19%,507,2018 Fall
ENDS 105,FAULKNER M,3.300,50%,35%,508,2018 Fall
ENDS 105,BORGES GONZALEZ A,3.300,40%,50%,509,2018 Fall
ENDS 105,TATE J,3.454,59%,27%,510,2018 Fall
ENDS 105,TRIPP A,3.100,35%,45%,511,2018 Fall
