course,prof,gpa,% of A,% of B,section_,semester
OBIO 610,SVOBODA K,3.785,79%,21%,600,2018 Fall
OBIO 611,BUSCHANG P,3.709,71%,29%,600,2018 Fall
OBIO 630,RUEST L,3.714,84%,11%,600,2018 Fall
OBIO 631,RUEST L,4.000,100%,0%,600,2018 Fall
OBIO 674,NEWMAN J,4.000,100%,0%,600,2018 Fall
OBIO 677,SVOBODA K,4.000,100%,0%,600,2018 Fall
OBIO 687,SVOBODA K,4.000,100%,0%,600,2018 Fall
DDHS 311,FOX E,3.733,73%,27%,-50,2018 Fall
DDHS 312,FOX E,3.545,58%,39%,-50,2018 Fall
DDHS 316,WYATT L,3.666,67%,33%,-50,2018 Fall
DDHS 325,LU Y,2.757,24%,52%,-50,2018 Fall
DDHS 342,COTTER J,3.100,23%,63%,-50,2018 Fall
DDHS 401,ABRAHAM C,3.750,75%,25%,-50,2018 Fall
DDHS 402,WRIGHT J,3.250,39%,50%,-50,2018 Fall
DDHS 414,VU M,3.821,82%,18%,-50,2018 Fall
DDHS 421,COBB S,3.964,96%,4%,-50,2018 Fall
DDHS 441,CAMPBELL P,4.000,100%,0%,-50,2018 Fall
DDHS 461,ABRAHAM C,3.464,46%,54%,-50,2018 Fall
DDHS 462,MUZZIN K,3.035,11%,82%,-50,2018 Fall
DDHS 471,KABANI F,3.785,79%,21%,-50,2018 Fall
AEGD 601,ZANDINEJAD A,0.000,100%,0%,600,2018 Fall
AEGD 606,ZANDINEJAD A,4.000,100%,0%,600,2018 Fall
AEGD 607,ZANDINEJAD A,4.000,100%,0%,600,2018 Fall
AEGD 611,ZANDINEJAD A,4.000,100%,0%,600,2018 Fall
AEGD 614,ZANDINEJAD A,4.000,100%,0%,600,2018 Fall
AEGD 616,ZANDINEJAD A,4.000,100%,0%,600,2018 Fall
AEGD 619,ZANDINEJAD A,4.000,100%,0%,600,2018 Fall
OMFS 610,HENDERSON B,4.000,100%,0%,600,2018 Fall
OMFS 650,REDDY L,4.000,100%,0%,600,2018 Fall
ORTH 601,POLSON J,0.000,100%,0%,600,2018 Fall
ORTH 602,POLSON J,0.000,100%,0%,600,2018 Fall
ORTH 603,POLSON J,0.000,100%,0%,601,2018 Fall
ORTH 606,TADLOCK L,0.000,100%,0%,600,2018 Fall
ORTH 608,TADLOCK L,0.000,100%,0%,600,2018 Fall
ORTH 610,TADLOCK L,4.000,100%,0%,600,2018 Fall
ORTH 613,BUSCHANG P,4.000,100%,0%,600,2018 Fall
ORTH 614,ADAMS T,0.000,100%,0%,600,2018 Fall
ORTH 616,ADAMS T,0.000,100%,0%,600,2018 Fall
ORTH 618,ADAMS T,0.000,100%,0%,600,2018 Fall
ORTH 622,TADLOCK L,4.000,100%,0%,600,2018 Fall
ORTH 625,TADLOCK L,4.000,100%,0%,600,2018 Fall
ORTH 628,TADLOCK L,4.000,100%,0%,600,2018 Fall
ORTH 630,TADLOCK L,4.000,100%,0%,600,2018 Fall
ORTH 635,BUSCHANG P,4.000,100%,0%,600,2018 Fall
ORTH 638,BUSCHANG P,3.833,83%,17%,600,2018 Fall
ORTH 640,TADLOCK L,3.333,33%,67%,600,2018 Fall
ORTH 642,TADLOCK L,3.500,50%,50%,600,2018 Fall
ORTH 648,JULIEN K,4.000,100%,0%,600,2018 Fall
ORTH 651,JULIEN K,4.000,100%,0%,600,2018 Fall
ORTH 654,JULIEN K,4.000,100%,0%,600,2018 Fall
PEDD 612,KERINS C,4.000,100%,0%,600,2018 Fall
PEDD 615,KERINS C,4.000,100%,0%,600,2018 Fall
PEDD 622,KERINS C,4.000,100%,0%,600,2018 Fall
PEDD 625,KERINS C,4.000,100%,0%,600,2018 Fall
PERI 650,STENBERG W,4.000,100%,0%,600,2018 Fall
