course,prof,gpa,% of A,% of B,section_,semester
ANTH 201,CARLSON D,3.947,95%,5%,200,2018 Fall
ANTH 201,ALVARD M,2.653,12%,50%,501,2018 Fall
ANTH 201,BRYANT V,2.696,12%,51%,599,2018 Fall
ANTH 202,THOMS A,2.236,8%,41%,501,2018 Fall
ANTH 204,LINDERHOLM A,2.555,7%,52%,500,2018 Fall
ANTH 205,VIEIRA DE CASTRO L,3.463,50%,46%,501,2018 Fall
ANTH 205,VIEIRA DE CASTRO L,3.270,37%,53%,502,2018 Fall
ANTH 205,LYNCH D,3.186,43%,40%,503,2018 Fall
ANTH 205,LYNCH D,3.132,40%,37%,504,2018 Fall
ANTH 205,BAILEY K,3.779,83%,14%,505,2018 Fall
ANTH 205,SMITH M,3.533,68%,24%,506,2018 Fall
ANTH 205,PAREDES SALCEDO R,3.348,48%,40%,507,2018 Fall
ANTH 205,DOHERTY C,2.866,20%,49%,508,2018 Fall
ANTH 205,DEMPSEY A,3.458,58%,33%,509,2018 Fall
ANTH 205,CANTERBURY J,3.000,32%,40%,510,2018 Fall
ANTH 205,BRYANT V,2.341,14%,32%,599,2018 Fall
ANTH 210,WINKING J,2.658,16%,48%,501,2018 Fall
ANTH 210,KENNEDY C,3.343,59%,22%,502,2018 Fall
ANTH 225,DE RUITER D,2.552,18%,35%,500,2018 Fall
ANTH 226,HODGES S,3.705,82%,6%,501,2018 Fall
ANTH 226,ACHORN A,3.736,84%,11%,502,2018 Fall
ANTH 229,GREEN T,2.882,24%,47%,500,2018 Fall
ANTH 270,LAPORTE C,3.782,78%,22%,901,2018 Fall
ANTH 270,LAPORTE C,3.666,67%,33%,902,2018 Fall
ANTH 270,LAPORTE C,3.416,50%,46%,903,2018 Fall
ANTH 270,LAPORTE C,3.333,50%,38%,904,2018 Fall
ANTH 270,LAPORTE C,3.521,61%,30%,905,2018 Fall
ANTH 270,LAPORTE C,3.181,50%,32%,906,2018 Fall
ANTH 270,LAPORTE C,3.347,48%,43%,907,2018 Fall
ANTH 270,LAPORTE C,3.318,57%,33%,908,2018 Fall
ANTH 270,WINKING J,3.708,79%,12%,909,2018 Fall
ANTH 270,WINKING J,3.458,58%,33%,910,2018 Fall
ANTH 270,WINKING J,3.565,61%,35%,911,2018 Fall
ANTH 270,WINKING J,3.217,57%,26%,912,2018 Fall
ANTH 300,LYNCH D,3.421,63%,21%,500,2018 Fall
ANTH 305,LINDERHOLM A,3.052,32%,58%,900,2018 Fall
ANTH 324,PUTCHA R,3.900,90%,10%,200,2018 Fall
ANTH 324,PUTCHA R,3.727,73%,27%,500,2018 Fall
ANTH 324,BUSTOS I,3.680,68%,32%,501,2018 Fall
ANTH 324,BUSTOS I,3.897,92%,6%,502,2018 Fall
ANTH 330,GOEBEL F,3.769,77%,23%,501,2018 Fall
ANTH 340,GREEN T,2.900,27%,47%,500,2018 Fall
ANTH 353,CARLSON D,3.031,47%,22%,500,2018 Fall
ANTH 360,CARLSON D,3.068,48%,28%,500,2018 Fall
ANTH 403,LAPORTE C,3.279,51%,35%,500,2018 Fall
ANTH 412,THAKAR H,3.285,57%,29%,900,2018 Fall
ANTH 415,BURKE A,2.842,42%,26%,900,2018 Fall
ANTH 425,WRIGHT L,2.526,26%,16%,500,2018 Fall
ANTH 427,ATHREYA S,3.000,50%,20%,900,2018 Fall
ANTH 430,HOPKINS A,3.833,83%,17%,500,2018 Fall
ANTH 435,HOPKINS A,3.631,63%,37%,500,2018 Fall
ANTH 484,THAKAR H,4.000,100%,0%,501,2018 Fall
