course,prof,gpa,% of A,% of B,section_,semester
NURS 305,BONNER R,3.956,96%,4%,500,2018 Fall
NURS 312,BRUCE R,3.586,59%,41%,500,2018 Fall
NURS 312,BRUCE R,3.200,25%,70%,501,2018 Fall
NURS 313,GRUBEN D,3.288,29%,71%,500,2018 Fall
NURS 313,GRUBEN D,3.100,20%,70%,501,2018 Fall
NURS 314,GRUBEN D,3.692,69%,31%,900,2018 Fall
NURS 314,GRUBEN D,3.650,65%,35%,901,2018 Fall
NURS 315,SEABACK W,3.625,69%,29%,500,2018 Fall
NURS 315,SEABACK W,3.555,59%,37%,501,2018 Fall
NURS 316,WELLS-BEEDE E,3.000,12%,76%,500,2018 Fall
NURS 316,WELLS-BEEDE E,2.650,0%,65%,501,2018 Fall
NURS 320,BOSENBARK M,3.000,11%,78%,500,2018 Fall
NURS 323,WHITE-COREY S,3.166,30%,63%,500,2018 Fall
NURS 323,WHITE-COREY S,3.052,16%,74%,501,2018 Fall
NURS 411,DORMIRE S,3.854,85%,15%,900,2018 Fall
NURS 412,DECKER W,3.181,33%,55%,500,2018 Fall
NURS 412,DECKER W,3.428,50%,43%,501,2018 Fall
NURS 413,PITTMAN A,3.760,76%,24%,500,2018 Fall
NURS 413,PITTMAN A,3.315,32%,68%,501,2018 Fall
NURS 420,MUFICH M,3.222,33%,56%,500,2018 Fall
NURS 420,MUFICH M,3.045,27%,50%,501,2018 Fall
NURS 421,VAN S,3.488,49%,51%,500,2018 Fall
NURS 421,VAN S,3.782,78%,22%,501,2018 Fall
NURS 424,CONTRERAS N,4.000,100%,0%,700,2018 Fall
NURS 430,MULCAHY A,3.772,82%,14%,500,2018 Fall
NURS 434,VAN S,3.961,96%,4%,500,2018 Fall
NURS 434,VAN S,4.000,100%,0%,501,2018 Fall
NURS 462,BRUCE R,4.000,100%,0%,700,2018 Fall
NURS 464,AUTHEMENT R,3.766,80%,17%,700,2018 Fall
NURS 464,SEABACK W,3.821,82%,18%,701,2018 Fall
NURS 467,AUTHEMENT R,3.450,50%,45%,700,2018 Fall
NURS 467,HUTTON M,3.285,38%,57%,701,2018 Fall
NURS 467,BURNS R,3.761,86%,5%,702,2018 Fall
NURS 617,HOFFMAN M,3.192,27%,65%,700,2018 Fall
NURS 621,HAZEL M,4.000,100%,0%,700,2018 Fall
NURS 630,UTTERBACK V,3.928,93%,7%,700,2018 Fall
NURS 633,UTTERBACK V,3.909,91%,9%,700,2018 Fall
NURS 638,BONNER R,4.000,100%,0%,700,2018 Fall
NURS 651,BONNER R,3.950,95%,5%,700,2018 Fall
NURS 652,GARY J,3.722,72%,28%,700,2018 Fall
NURS 653,PULLIUM C,3.600,60%,40%,700,2018 Fall
NURS 656,MONTALVO-LIENDO N,3.941,94%,6%,701,2018 Fall
