course,prof,gpa,% of A,% of B,section_,semester
PHEO 600,BENDEN M,3.818,82%,18%,600,2018 Fall
PHEO 600,BENDEN M,3.240,40%,44%,699,2018 Fall
PHEO 600,BENDEN M,3.454,55%,36%,700,2018 Fall
PHEO 605,MCDONALD T,3.950,95%,5%,600,2018 Fall
PHEO 613,CARRILLO G,4.000,100%,0%,700,2018 Fall
PHEO 618,PICKENS A,3.611,61%,39%,600,2018 Fall
PHEO 630,JOHNSON N,3.730,73%,27%,600,2018 Fall
PHEO 676,SHARMA V,4.000,100%,0%,699,2018 Fall
PHEO 678,BENDEN M,3.750,75%,25%,600,2018 Fall
PHEO 682,BENDEN M,3.625,62%,38%,600,2018 Fall
PHEB 600,ZANWAR P,3.666,67%,33%,699,2018 Fall
PHEB 602,HAN G,3.032,26%,52%,600,2018 Fall
PHEB 602,HAN G,3.333,50%,33%,699,2018 Fall
PHEB 602,HAN G,3.058,35%,35%,700,2018 Fall
PHEB 609,ZHAO H,3.580,65%,29%,600,2018 Fall
PHEB 609,ZHENG Q,3.722,72%,28%,700,2018 Fall
PHEB 615,CLENDENIN M,3.714,71%,29%,600,2018 Fall
PHEB 620,TAYLOR N,3.250,25%,75%,600,2018 Fall
PHEB 620,ZANWAR P,4.000,100%,0%,699,2018 Fall
PHEB 620,ZANWAR P,3.500,62%,25%,700,2018 Fall
PHEB 689,XU X,3.470,59%,29%,600,2018 Fall
PHEB 689,ZHENG Q,4.000,100%,0%,698,2018 Fall
PHEB 689,GORMAN D,3.500,62%,25%,700,2018 Fall
PHEB 689,ZHENG Q,3.500,50%,50%,701,2018 Fall
PHPM 601,HATALA J,3.444,53%,39%,699,2018 Fall
PHPM 602,OHSFELDT R,3.545,55%,45%,600,2018 Fall
PHPM 604,MCDONALD T,4.000,100%,0%,600,2018 Fall
PHPM 605,FERDINAND A,3.717,72%,28%,600,2018 Fall
PHPM 606,TOMASZEWSKI L,4.000,100%,0%,600,2018 Fall
PHPM 606,BURDINE J,4.000,100%,0%,601,2018 Fall
PHPM 615,WASHBURN D,3.947,95%,5%,600,2018 Fall
PHPM 616,BOLIN J,3.894,89%,11%,600,2018 Fall
PHPM 616,TOMASZEWSKI L,3.909,91%,9%,601,2018 Fall
PHPM 620,COTE M,2.944,11%,78%,600,2018 Fall
PHPM 620,COTE M,3.545,55%,45%,601,2018 Fall
PHPM 623,FISH J,4.000,100%,0%,600,2018 Fall
PHPM 633,FERDINAND A,3.692,69%,31%,600,2018 Fall
PHPM 641,MCMAUGHAN MOUDOUNI,4.000,100%,0%,600,2018 Fall
PHPM 661,RADCLIFF T,3.800,83%,14%,600,2018 Fall
PHPM 663,OHSFELDT R,3.833,83%,17%,600,2018 Fall
PHPM 685,MORRISEY M,4.000,100%,0%,609,2018 Fall
PHPM 689,RAMIREZ G,4.000,100%,0%,600,2018 Fall
PHPM 689,BUCKLEY J,4.000,100%,0%,601,2018 Fall
HPCH 603,TAI-SEALE T,4.000,100%,0%,698,2018 Fall
HPCH 604,COLWELL G,4.000,100%,0%,600,2018 Fall
HPCH 610,BURDINE J,4.000,100%,0%,600,2018 Fall
HPCH 613,MA P,3.687,69%,31%,600,2018 Fall
HPCH 637,HARVEY D,3.666,67%,33%,600,2018 Fall
HPCH 637,MIER N,4.000,100%,0%,601,2018 Fall
HPCH 670,CLARK H,4.000,100%,0%,600,2018 Fall
HPCH 689,HONG Y,3.900,90%,10%,699,2018 Fall
PHLT 289,CURTIS JR. D,4.000,100%,0%,200,2018 Fall
PHLT 301,GRIFFITH J,3.593,72%,20%,500,2018 Fall
PHLT 301,GRIFFITH J,3.740,74%,26%,501,2018 Fall
PHLT 302,RAMIREZ G,3.973,97%,3%,598,2018 Fall
PHLT 302,RAMIREZ G,3.888,89%,11%,599,2018 Fall
PHLT 303,STASI S,3.741,76%,22%,501,2018 Fall
PHLT 303,MIER N,3.500,50%,50%,M01,2018 Fall
PHLT 304,CIZMAS L,3.877,88%,12%,500,2018 Fall
PHLT 304,CIZMAS L,3.666,67%,33%,M01,2018 Fall
PHLT 305,HAN D,3.085,29%,54%,500,2018 Fall
PHLT 305,HAN D,2.545,0%,55%,501,2018 Fall
PHLT 307,APPIAH B,3.778,81%,16%,599,2018 Fall
PHLT 309,GARCIA R,3.547,58%,39%,500,2018 Fall
PHLT 313,LIN S,3.777,79%,20%,500,2018 Fall
PHLT 314,LIN S,3.812,83%,15%,500,2018 Fall
PHLT 314,PRESTON L,3.583,67%,25%,503,2018 Fall
PHLT 315,LIN S,3.684,71%,26%,500,2018 Fall
PHLT 315,LIN S,3.714,71%,29%,501,2018 Fall
PHLT 330,MCDONALD T,3.900,90%,10%,500,2018 Fall
PHLT 331,BOKELMANN A,3.243,56%,22%,599,2018 Fall
PHLT 410,RENE A,3.932,93%,7%,500,2018 Fall
PHLT 411,CARRINO G,3.529,54%,45%,500,2018 Fall
PHLT 432,PICKENS A,3.181,32%,55%,500,2018 Fall
PHLT 441,GRIFFITH J,3.750,77%,21%,500,2018 Fall
PHLT 445,GRIFFITH J,3.866,87%,13%,500,2018 Fall
SOPH 601,FAIRCHILD A,3.802,84%,12%,600,2018 Fall
SOPH 602,COLWELL G,3.714,71%,29%,601,2018 Fall
SOPH 602,SCHMIT C,3.846,85%,15%,602,2018 Fall
SOPH 602,MENDOZA SANCHEZ I,4.000,100%,0%,603,2018 Fall
SOPH 602,CARRINO G,3.714,71%,29%,605,2018 Fall
SOPH 602,BURDINE J,4.000,100%,0%,606,2018 Fall
SOPH 602,CAMPOS-BOWERS M,4.000,100%,0%,607,2018 Fall
SOPH 603,COLWELL G,3.642,64%,36%,601,2018 Fall
SOPH 603,SCHMIT C,3.769,85%,8%,602,2018 Fall
SOPH 603,MENDOZA SANCHEZ I,3.923,92%,8%,603,2018 Fall
SOPH 603,FAIRCHILD A,3.785,79%,21%,604,2018 Fall
SOPH 603,CARRINO G,3.714,71%,29%,605,2018 Fall
SOPH 603,BURDINE J,4.000,100%,0%,606,2018 Fall
SOPH 603,CAMPOS-BOWERS M,3.800,80%,20%,607,2018 Fall
SOPH 603,CAMPOS-BOWERS M,3.421,53%,37%,701,2018 Fall
SOPH 676,GRIFFITH J,4.000,100%,0%,600,2018 Fall
