course,prof,gpa,% of A,% of B,section_,semester
BIMS 101,TIAN Y,3.950,97%,2%,501,2018 Fall
BIMS 101,TIAN Y,4.000,100%,0%,502,2018 Fall
BIMS 101,IVANOV I,3.816,89%,7%,503,2018 Fall
BIMS 101,IVANOV I,3.895,92%,6%,504,2018 Fall
BIMS 110,YOUNG C,3.959,96%,4%,501,2018 Fall
BIMS 110,YOUNG C,3.980,98%,2%,502,2018 Fall
BIMS 289,YOUNG C,3.980,99%,0%,501,2018 Fall
BIMS 289,YOUNG C,3.939,98%,0%,502,2018 Fall
BIMS 289,KRENEK N,3.666,67%,33%,503,2018 Fall
BIMS 289,KRENEK N,4.000,100%,0%,504,2018 Fall
BIMS 320,RAUDSEPP T,3.750,75%,25%,201,2018 Fall
BIMS 320,RAUDSEPP T,3.161,47%,29%,501,2018 Fall
BIMS 320,VENKATRAJ V,3.934,96%,1%,502,2018 Fall
BIMS 320,BERGTHORSSON U,3.324,43%,46%,503,2018 Fall
BIMS 320,DERR J,4.000,100%,0%,550,2018 Fall
BIMS 405,DERR J,3.800,82%,16%,500,2018 Fall
BIMS 421,VENKATRAJ V,3.870,87%,13%,500,2018 Fall
BIMS 485,CROUCH E,4.000,100%,0%,500,2018 Fall
BIMS 489,YOUNG C,3.945,97%,0%,501,2018 Fall
BIMS 489,YOUNG C,3.692,81%,8%,502,2018 Fall
BIMS 489,YOUNG C,3.976,98%,2%,503,2018 Fall
BIMS 489,YOUNG C,3.794,87%,5%,504,2018 Fall
BIMS 491,QUICK C,4.000,100%,0%,917,2018 Fall
VMID 689,BURGHARDT R,3.961,96%,4%,600,2018 Fall
VIBS 243,JOHNSON L,3.254,51%,25%,500,2018 Fall
VIBS 243,JOHNSON L,3.388,52%,35%,501,2018 Fall
VIBS 243,JOHNSON L,3.254,47%,36%,502,2018 Fall
VIBS 243,JOHNSON L,3.241,50%,28%,503,2018 Fall
VIBS 243,JOHNSON L,3.300,50%,30%,M01,2018 Fall
VIBS 277,KO G,3.345,62%,20%,500,2018 Fall
VIBS 285,JOHNSON L,4.000,100%,0%,515,2018 Fall
VIBS 289,KO G,3.562,67%,23%,500,2018 Fall
VIBS 305,RUOFF L,2.442,18%,39%,501,2018 Fall
VIBS 305,RUOFF L,2.492,17%,35%,502,2018 Fall
VIBS 305,PINE M,3.208,40%,46%,503,2018 Fall
VIBS 343,JOHNSON G,3.520,56%,40%,500,2018 Fall
VIBS 407,KLEMM W,3.903,93%,4%,599,2018 Fall
VIBS 408,KLEMM W,3.850,85%,15%,900,2018 Fall
VIBS 424,AROSH J,4.000,100%,0%,204,2018 Fall
VIBS 485,JOHNSON L,4.000,100%,0%,515,2018 Fall
VIBS 489,PINE M,4.000,100%,0%,504,2018 Fall
VIBS 602,JOHNSON G,3.482,48%,52%,601,2018 Fall
VIBS 604,AROSH J,4.000,100%,0%,604,2018 Fall
VIBS 608,NORMAN K,3.700,70%,30%,600,2018 Fall
VIBS 641,CHIU W,4.000,100%,0%,600,2018 Fall
VIBS 657,HARTBERG Y,4.000,100%,0%,600,2018 Fall
VIBS 660,GASTEL B,3.833,83%,17%,600,2018 Fall
VTPP 223,QUICK C,3.875,94%,0%,501,2018 Fall
VTPP 223,QUICK C,4.000,100%,0%,502,2018 Fall
VTPP 234,QUICK C,4.000,100%,0%,501,2018 Fall
VTPP 234,QUICK C,4.000,100%,0%,502,2018 Fall
VTPP 234,QUICK C,4.000,100%,0%,503,2018 Fall
VTPP 323,BLUE MCLENDON A,3.151,44%,32%,500,2018 Fall
VTPP 423,HERMAN J,2.022,9%,32%,501,2018 Fall
VTPP 423,HERMAN J,2.745,22%,41%,502,2018 Fall
VTPP 423,DAVIS A,2.404,21%,26%,503,2018 Fall
VTPP 425,HERMAN J,2.888,39%,28%,500,2018 Fall
VTPP 434,RAMADOSS J,3.367,48%,41%,501,2018 Fall
VTPP 434,RAMADOSS J,3.230,40%,45%,502,2018 Fall
VTPP 444,LYONS L,4.000,100%,0%,500,2018 Fall
VTPP 444,LYONS L,4.000,100%,0%,501,2018 Fall
VTPP 485,DONGAONKAR R,4.000,100%,0%,500,2018 Fall
VTPP 485,BLUE MCLENDON A,3.913,97%,0%,508,2018 Fall
VTPP 605,STALLONE J,2.307,0%,46%,600,2018 Fall
VTPP 623,HERMAN J,3.200,40%,40%,601,2018 Fall
VTPP 625,HERMAN J,3.000,33%,38%,600,2018 Fall
VTPP 655,HEAPS C,3.750,75%,25%,600,2018 Fall
VTPP 673,SAFE S,3.555,56%,44%,600,2018 Fall
VTPP 685,FAJT V,4.000,100%,0%,625,2018 Fall
VTMI 647,PAYNE S,4.000,100%,0%,600,2018 Fall
VTMI 649,FARNELL M,3.641,67%,31%,600,2018 Fall
VTPB 212,THREADGILL D,4.000,100%,0%,500,2018 Fall
VTPB 221,TIZARD I,3.374,50%,39%,500,2018 Fall
VTPB 303,BRIGHTSMITH D,4.000,100%,0%,550,2018 Fall
VTPB 405,ESTEVE-GASENT M,3.117,24%,66%,501,2018 Fall
VTPB 405,ESTEVE-GASENT M,3.191,27%,64%,502,2018 Fall
VTPB 405,PAYNE S,3.347,51%,35%,503,2018 Fall
VTPB 405,PAYNE S,3.253,48%,33%,504,2018 Fall
VTPB 405,MUSSER J,4.000,100%,0%,550,2018 Fall
VTPB 409,OMRAN M,3.073,42%,33%,500,2018 Fall
VTPB 410,WEEKS B,3.000,39%,39%,500,2018 Fall
VTPB 421,OMRAN M,2.810,24%,46%,500,2018 Fall
VTPB 485,THREADGILL D,4.000,100%,0%,501,2018 Fall
VTPB 489,BRIGHTSMITH D,3.923,92%,8%,550,2018 Fall
