course,prof,gpa,% of A,% of B,section_,semester
CEHD 603,GOODSON P,4.000,100%,0%,600,2019 Fall
EDAD 601,PONJUAN L,3.600,60%,40%,600,2019 Fall
EDAD 603,BAILEY K,3.941,94%,6%,600,2019 Fall
EDAD 605,IRBY B,3.692,79%,15%,700,2019 Fall
EDAD 605,HOLLEY S,3.833,83%,17%,701,2019 Fall
EDAD 606,FAHRENWALD C,3.956,98%,0%,700,2019 Fall
EDAD 608,BARTANEN B,4.000,100%,0%,700,2019 Fall
EDAD 610,BROWN J,4.000,100%,0%,600,2019 Fall
EDAD 611,MUSOBA G,3.909,91%,9%,600,2019 Fall
EDAD 612,LECHUGA V,3.733,73%,27%,600,2019 Fall
EDAD 624,FAHRENWALD C,4.000,100%,0%,700,2019 Fall
EDAD 631,BAILEY K,3.857,86%,14%,600,2019 Fall
EDAD 635,SAAVEDRA A,3.745,80%,18%,700,2019 Fall
EDAD 638,WEBB-JOHNSON G,4.000,100%,0%,700,2019 Fall
EDAD 639,LECHUGA V,4.000,100%,0%,601,2019 Fall
EDAD 639,FAHRENWALD C,4.000,100%,0%,700,2019 Fall
EDAD 650,STANLEY C,4.000,100%,0%,600,2019 Fall
EDAD 653,MADSEN J,4.000,100%,0%,601,2019 Fall
EDAD 655,STANLEY C,4.000,100%,0%,600,2019 Fall
EDAD 669,HAYNES DAVISON C,4.000,100%,0%,600,2019 Fall
EDAD 683,WOODRUFF T,4.000,100%,0%,600,2019 Fall
EDAD 683,WOODRUFF T,4.000,100%,0%,601,2019 Fall
EDAD 687,MADSEN J,4.000,100%,0%,600,2019 Fall
EDAD 687,WEBB-JOHNSON G,3.863,86%,14%,700,2019 Fall
EHRD 203,MARK C,3.571,67%,26%,501,2019 Fall
EHRD 203,MARK C,3.458,58%,33%,502,2019 Fall
EHRD 203,MARK C,3.225,40%,50%,598,2019 Fall
EHRD 203,RICKETTS C,3.444,62%,27%,599,2019 Fall
EHRD 210,COLE S,3.780,88%,7%,500,2019 Fall
EHRD 210,MCNAUGHTEN D,3.636,77%,16%,597,2019 Fall
EHRD 315,MARK C,3.666,72%,25%,500,2019 Fall
EHRD 315,MARK C,3.433,60%,30%,597,2019 Fall
EHRD 371,RAY S,3.413,72%,10%,902,2019 Fall
EHRD 371,SANTOS R,3.285,54%,21%,920,2019 Fall
EHRD 371,SANTOS R,3.821,89%,4%,999,2019 Fall
EHRD 372,MUYIA M,4.000,100%,0%,500,2019 Fall
EHRD 372,MUYIA M,3.785,82%,14%,501,2019 Fall
EHRD 372,MUYIA M,3.512,62%,28%,569,2019 Fall
EHRD 374,MUYIA M,3.390,51%,37%,599,2019 Fall
EHRD 391,SANDLIN J,3.071,25%,57%,501,2019 Fall
EHRD 391,SANDLIN J,2.833,25%,42%,502,2019 Fall
EHRD 405,FERGUSON-CAMMARATA,3.700,78%,15%,599,2019 Fall
EHRD 408,COLE S,3.700,80%,15%,500,2019 Fall
EHRD 408,SANDLIN J,2.653,31%,27%,550,2019 Fall
EHRD 413,IRELAND J,4.000,100%,0%,500,2019 Fall
EHRD 413,BIAN X,3.968,97%,3%,501,2019 Fall
EHRD 477,SMITH B,3.794,87%,5%,500,2019 Fall
EHRD 477,SMITH B,3.657,80%,11%,599,2019 Fall
EHRD 481,FOWLER R,3.809,88%,7%,500,2019 Fall
EHRD 481,FOWLER R,3.853,88%,10%,501,2019 Fall
EHRD 490,SANDLIN J,2.800,20%,43%,901,2019 Fall
EHRD 490,BOWEN D,3.333,50%,39%,920,2019 Fall
EHRD 601,WANG J,3.900,90%,10%,600,2019 Fall
EHRD 603,DOOLEY L,3.714,71%,29%,700,2019 Fall
EHRD 612,DOOLEY L,3.923,92%,8%,700,2019 Fall
EHRD 613,SHEHANE M,4.000,100%,0%,600,2019 Fall
