course,prof,gpa,% of A,% of B,section_,semester
AGCJ 105,BAKER C,3.416,58%,29%,501,2020 Fall
AGCJ 105,BAKER C,3.729,73%,27%,502,2020 Fall
AGCJ 281,DUNSFORD D,3.520,74%,15%,500,2020 Fall
AGCJ 305,PARRELLA J,3.223,46%,37%,599,2020 Fall
AGCJ 307,TOPP K,3.437,59%,31%,599,2020 Fall
AGCJ 308,REDWINE T,3.666,77%,20%,501,2020 Fall
AGCJ 312,MCGRATH P,2.804,39%,29%,501,2020 Fall
AGCJ 313,LEGGETTE H,3.285,29%,71%,901,2020 Fall
AGCJ 313,LEGGETTE H,3.076,15%,77%,902,2020 Fall
AGCJ 314,REDWINE T,3.600,67%,27%,901,2020 Fall
AGCJ 314,REDWINE T,3.600,65%,30%,902,2020 Fall
AGCJ 366,MCKIM B,3.600,73%,20%,501,2020 Fall
AGCJ 404,DUNSFORD D,4.000,100%,0%,500,2020 Fall
AGCJ 405,REDWINE T,4.000,100%,0%,501,2020 Fall
AGCJ 406,DUNSFORD D,3.468,59%,34%,500,2020 Fall
AGCJ 408,WEGENER R,3.000,22%,57%,700,2020 Fall
AGCJ 411,MCKIM B,2.900,35%,40%,500,2020 Fall
AGCJ 413,HOMEYER M,3.291,67%,12%,500,2020 Fall
AGCJ 494,DUNSFORD D,3.300,57%,29%,556,2020 Fall
AGSC 302,SHEEHAN C,3.384,62%,15%,900,2020 Fall
AGSC 373,HANCOCK J,3.875,88%,12%,500,2020 Fall
AGSC 383,HANCOCK J,3.750,75%,25%,501,2020 Fall
AGSC 402,MOORE L,3.545,64%,27%,900,2020 Fall
AGSC 405,MURPHY T,3.272,55%,18%,500,2020 Fall
AGSC 425,MURPHY T,3.750,75%,25%,502,2020 Fall
AGSC 436,MURPHY T,3.750,75%,25%,502,2020 Fall
AGSC 481,MURPHY T,4.000,100%,0%,501,2020 Fall
AGSC 484,MURPHY T,3.583,58%,42%,501,2020 Fall
ALEC 350,ELLIOT J,3.555,56%,44%,500,2020 Fall
ALEC 425,ELBERT C,3.379,66%,21%,700,2020 Fall
ALEC 608,BOYD B,4.000,100%,0%,699,2020 Fall
ALEC 610,DOOLEY K,4.000,100%,0%,600,2020 Fall
ALEC 610,MOORE L,3.600,60%,40%,699,2020 Fall
ALEC 610,MOORE L,3.400,80%,0%,700,2020 Fall
ALEC 613,MURPHREY T,4.000,100%,0%,699,2020 Fall
ALEC 615,BRIERS G,3.705,88%,6%,601,2020 Fall
ALEC 623,MURPHREY T,4.000,100%,0%,699,2020 Fall
ALEC 624,PINA M,3.500,50%,50%,600,2020 Fall
ALEC 640,STRONG R,3.777,78%,22%,600,2020 Fall
ALEC 695,STRONG R,3.842,84%,16%,600,2020 Fall
