course,prof,gpa,% of A,% of B,section_,semester
ACCT 209,CLARKE M,3.137,37%,44%,501,2020 Fall
ACCT 209,CLARKE M,3.152,37%,45%,502,2020 Fall
ACCT 209,CLARKE M,3.111,33%,44%,503,2020 Fall
ACCT 209,MARK S,2.406,13%,34%,505,2020 Fall
ACCT 210,STRAWSER R,3.207,47%,36%,501,2020 Fall
ACCT 229,STRAWSER J,3.416,42%,58%,202,2020 Fall
ACCT 229,BARRETT J,2.371,20%,26%,501,2020 Fall
ACCT 229,BARRETT J,2.600,26%,26%,502,2020 Fall
ACCT 229,BARRETT J,2.733,27%,36%,503,2020 Fall
ACCT 229,KNOOP J,2.955,34%,36%,504,2020 Fall
ACCT 229,KNOOP J,2.820,32%,34%,505,2020 Fall
ACCT 229,ARNOSKY C,2.437,6%,44%,506,2020 Fall
ACCT 229,ARNOSKY C,2.724,21%,41%,507,2020 Fall
ACCT 229,HEAD M,2.514,23%,29%,510,2020 Fall
ACCT 229,NOOR S,2.478,13%,35%,511,2020 Fall
ACCT 229,JUDD H,2.478,17%,30%,512,2020 Fall
ACCT 230,WEAVER A,3.655,66%,34%,200,2020 Fall
ACCT 230,WEAVER A,3.538,58%,38%,201,2020 Fall
ACCT 230,ALLEN N,2.905,30%,38%,500,2020 Fall
ACCT 230,ALLEN N,3.022,34%,41%,501,2020 Fall
ACCT 230,MARK S,3.136,41%,39%,503,2020 Fall
ACCT 327,BLASOR T,2.851,7%,70%,501,2020 Fall
ACCT 327,BLASOR T,3.185,41%,41%,502,2020 Fall
ACCT 327,LARKIN R,3.150,45%,30%,503,2020 Fall
ACCT 327,LARKIN R,3.000,30%,44%,504,2020 Fall
ACCT 327,LARKIN R,3.047,24%,57%,505,2020 Fall
ACCT 327,LARKIN R,2.736,16%,42%,506,2020 Fall
ACCT 327,LOUDDER M,3.357,67%,19%,508,2020 Fall
ACCT 327,BLUM E,2.250,10%,30%,509,2020 Fall
ACCT 327,BLUM E,2.608,17%,39%,510,2020 Fall
ACCT 327,BLUM E,2.760,32%,20%,511,2020 Fall
ACCT 327,CLINE K,2.883,27%,40%,512,2020 Fall
ACCT 328,HARDING M,3.642,71%,21%,501,2020 Fall
ACCT 328,HARDING M,3.565,63%,30%,502,2020 Fall
ACCT 328,HARDING M,3.575,65%,28%,503,2020 Fall
ACCT 328,GROSSMAN S,3.459,57%,35%,504,2020 Fall
ACCT 328,GROSSMAN S,3.459,51%,43%,505,2020 Fall
ACCT 328,GROSSMAN S,3.555,67%,25%,506,2020 Fall
ACCT 328,SHAFRON E,3.657,74%,21%,507,2020 Fall
ACCT 328,SHAFRON E,3.600,72%,18%,509,2020 Fall
ACCT 328,SHAFRON E,3.583,67%,28%,510,2020 Fall
ACCT 329,FARMER K,3.783,82%,13%,501,2020 Fall
ACCT 329,FARMER K,3.884,88%,12%,502,2020 Fall
ACCT 403,HARDING M,4.000,100%,0%,500,2020 Fall
ACCT 405,LASSILA D,3.062,31%,44%,501,2020 Fall
ACCT 405,STEWART S,2.888,33%,28%,502,2020 Fall
ACCT 407,EGE M,3.409,59%,27%,901,2020 Fall
ACCT 407,EGE M,2.882,18%,53%,902,2020 Fall
ACCT 407,EGE M,3.000,24%,62%,903,2020 Fall
ACCT 407,GARZA B,3.272,32%,64%,904,2020 Fall
ACCT 407,GARZA B,3.043,35%,39%,905,2020 Fall
ACCT 407,GARZA B,3.300,35%,60%,906,2020 Fall
ACCT 407,SHAUB M,3.076,23%,62%,907,2020 Fall
ACCT 407,DIAZ M,3.043,30%,43%,908,2020 Fall
ACCT 407,DIAZ M,3.300,40%,50%,909,2020 Fall
ACCT 408,BLASOR T,3.565,57%,43%,500,2020 Fall
ACCT 410,HEAD M,3.666,67%,33%,500,2020 Fall
ACCT 421,STASNY M,4.000,100%,0%,930,2020 Fall
ACCT 421,STASNY M,4.000,100%,0%,931,2020 Fall
ACCT 421,STASNY M,4.000,100%,0%,932,2020 Fall
ACCT 427,ARNOSKY C,3.470,53%,41%,501,2020 Fall
ACCT 427,ARNOSKY C,3.086,26%,61%,502,2020 Fall
ACCT 447,REDMAN K,3.083,17%,75%,501,2020 Fall
ACCT 447,REDMAN K,3.000,9%,82%,502,2020 Fall
ACCT 450,HEAD M,4.000,100%,0%,500,2020 Fall
ACCT 603,HARDING M,4.000,100%,0%,600,2020 Fall
ACCT 607,FLAGG J,3.785,79%,21%,600,2020 Fall
ACCT 610,MCANALLY M,3.774,77%,23%,651,2020 Fall
ACCT 610,MCANALLY M,3.519,60%,33%,661,2020 Fall
ACCT 611,HEPFER B,3.500,50%,50%,602,2020 Fall
ACCT 611,HEPFER B,3.476,48%,52%,603,2020 Fall
ACCT 612,LASSILA D,3.409,45%,50%,600,2020 Fall
ACCT 612,LASSILA D,3.315,32%,68%,602,2020 Fall
ACCT 620,KINNEY M,3.865,87%,13%,661,2020 Fall
ACCT 621,MCELROY T,3.782,78%,22%,600,2020 Fall
ACCT 621,MCELROY T,3.600,60%,40%,604,2020 Fall
ACCT 621,MCELROY T,3.625,62%,38%,605,2020 Fall
ACCT 622,WEAVER C,3.263,42%,42%,600,2020 Fall
ACCT 622,WEAVER C,3.588,59%,41%,601,2020 Fall
