course,prof,gpa,% of A,% of B,section_,semester
AERO 201,SHRYOCK K,3.200,40%,44%,200,2020 Fall
AERO 201,SHRYOCK K,2.884,19%,58%,201,2020 Fall
AERO 201,SHRYOCK K,2.404,5%,48%,500,2020 Fall
AERO 201,SHRYOCK K,2.586,14%,38%,502,2020 Fall
AERO 201,SHRYOCK K,2.615,12%,46%,503,2020 Fall
AERO 201,SHRYOCK K,2.346,0%,46%,504,2020 Fall
AERO 211,MOBLE B,3.478,65%,22%,200,2020 Fall
AERO 211,MOBLE B,3.116,33%,47%,500,2020 Fall
AERO 211,GUZMAN F,3.325,53%,26%,504,2020 Fall
AERO 211,GUZMAN F,2.975,25%,48%,505,2020 Fall
AERO 212,ANDRIENKO D,2.400,20%,40%,234,2020 Fall
AERO 212,ANDRIENKO D,2.765,26%,36%,500,2020 Fall
AERO 214,NARAGHI M,3.400,60%,20%,200,2020 Fall
AERO 214,NARAGHI M,2.470,18%,29%,500,2020 Fall
AERO 214,NARAGHI M,2.176,12%,24%,501,2020 Fall
AERO 214,NARAGHI M,2.000,0%,27%,502,2020 Fall
AERO 222,MORTARI D,2.952,29%,43%,500,2020 Fall
AERO 222,MORTARI D,2.222,22%,22%,501,2020 Fall
AERO 301,GERAKIS A,3.806,81%,19%,200,2020 Fall
AERO 301,GERAKIS A,3.590,62%,34%,500,2020 Fall
AERO 301,TROPINA A,3.024,39%,32%,501,2020 Fall
AERO 301,TROPINA A,3.208,46%,29%,502,2020 Fall
AERO 303,REED H,3.333,54%,25%,500,2020 Fall
AERO 304,KINRA V,3.900,90%,10%,200,2020 Fall
AERO 304,KINRA V,2.854,40%,27%,500,2020 Fall
AERO 304,BENZERGA A,2.634,15%,48%,501,2020 Fall
AERO 306,WHITCOMB J,2.620,21%,39%,500,2020 Fall
AERO 307,NARAGHI M,3.772,82%,14%,900,2020 Fall
AERO 307,NARAGHI M,3.842,84%,16%,901,2020 Fall
AERO 307,NARAGHI M,3.789,79%,21%,902,2020 Fall
AERO 307,NARAGHI M,3.562,62%,31%,903,2020 Fall
AERO 307,NARAGHI M,3.571,67%,24%,904,2020 Fall
AERO 307,NARAGHI M,3.473,53%,42%,905,2020 Fall
AERO 310,BHATTACHARYA R,3.913,92%,7%,500,2020 Fall
AERO 310,CHAKRAVORTY S,2.769,25%,37%,501,2020 Fall
AERO 321,VALASEK J,2.608,17%,45%,500,2020 Fall
AERO 351,CIZMAS P,2.200,12%,16%,500,2020 Fall
AERO 401,SELVA VALERO D,3.989,99%,1%,501,2020 Fall
AERO 401,SELVA VALERO D,3.928,93%,7%,502,2020 Fall
AERO 402,WORSHAM B,3.957,96%,4%,501,2020 Fall
AERO 405,HARTL D,3.193,29%,61%,500,2020 Fall
AERO 413,LE GRAVEREND J,3.220,47%,31%,501,2020 Fall
AERO 420,STRGANAC T,3.588,65%,29%,500,2020 Fall
AERO 422,VADALI S,2.838,27%,35%,500,2020 Fall
AERO 423,ALFRIEND K,3.800,80%,20%,200,2020 Fall
AERO 423,ALFRIEND K,3.354,48%,39%,500,2020 Fall
AERO 423,CHAMITOFF G,3.531,62%,30%,501,2020 Fall
AERO 428,CHAKRAVORTY S,3.473,47%,53%,500,2020 Fall
AERO 430,STROUBOULIS T,3.583,73%,17%,500,2020 Fall
AERO 435,LIMBACH C,3.437,44%,56%,500,2020 Fall
AERO 452,DONZIS D,2.898,27%,44%,500,2020 Fall
AERO 455,MOBLE B,3.342,49%,37%,500,2020 Fall
AERO 472,WHITE E,3.212,41%,42%,500,2020 Fall
AERO 489,DIAZ ARTILES A,3.714,82%,11%,500,2020 Fall
AERO 601,WHITE E,3.526,63%,26%,600,2020 Fall
AERO 603,BOYD J,3.190,38%,43%,600,2020 Fall
AERO 604,HARTL D,3.900,90%,10%,600,2020 Fall
AERO 622,DEMARS K,3.222,44%,41%,600,2020 Fall
AERO 625,VALASEK J,3.781,78%,22%,600,2020 Fall
AERO 626,MAJJI M,3.909,91%,9%,600,2020 Fall
AERO 641,KARPETIS A,3.611,61%,39%,600,2020 Fall
AERO 655,MOBLE B,3.875,88%,12%,600,2020 Fall
AERO 676,LIMBACH C,4.000,100%,0%,600,2020 Fall
AERO 685,BOWERSOX R,4.000,100%,0%,630,2020 Fall
