course,prof,gpa,% of A,% of B,section_,semester
BUSH 602,RAISOR C,0.000,71%,29%,600,2020 Fall
BUSH 631,CORTES K,3.700,75%,20%,601,2020 Fall
BUSH 631,LAHEY J,3.642,71%,21%,602,2020 Fall
BUSH 631,CORTES K,3.555,72%,22%,603,2020 Fall
BUSH 631,LAHEY J,3.750,75%,25%,604,2020 Fall
BUSH 631,SINNO B,3.800,80%,20%,605,2020 Fall
BUSH 631,POERTNER M,3.470,65%,24%,606,2020 Fall
BUSH 631,POERTNER M,3.100,20%,70%,607,2020 Fall
BUSH 631,BULLOCK J,3.947,95%,5%,608,2020 Fall
BUSH 631,BULLOCK J,3.500,83%,6%,700,2020 Fall
INTA 603,NAPPER L,4.000,100%,0%,601,2020 Fall
INTA 603,NAPPER L,3.714,71%,29%,602,2020 Fall
INTA 604,TABAAR M,3.384,54%,31%,600,2020 Fall
INTA 605,BARTEL M,3.625,71%,21%,601,2020 Fall
INTA 605,TEAGUE A,3.909,91%,9%,602,2020 Fall
INTA 605,TALBOT B,2.928,29%,57%,700,2020 Fall
INTA 606,SCHUESSLER J,3.541,54%,46%,601,2020 Fall
INTA 606,SCHUESSLER J,3.705,71%,29%,602,2020 Fall
INTA 606,MARIN THORNTON G,4.000,100%,0%,603,2020 Fall
INTA 606,LAYNE C,3.800,80%,20%,604,2020 Fall
INTA 606,LAYNE C,3.785,79%,21%,605,2020 Fall
INTA 608,MU R,3.950,95%,5%,600,2020 Fall
INTA 608,ROBERTSON R,3.576,62%,35%,601,2020 Fall
INTA 608,MU R,3.823,82%,18%,602,2020 Fall
INTA 609,SIEVERT R,4.000,100%,0%,600,2020 Fall
INTA 612,SIEVERT R,3.909,91%,9%,600,2020 Fall
INTA 617,CASTILLO J,3.894,89%,11%,600,2020 Fall
INTA 635,NATSIOS A,3.789,79%,21%,600,2020 Fall
INTA 637,GOTTLIEB J,4.000,100%,0%,600,2020 Fall
INTA 642,GOTTLIEB J,3.857,86%,14%,600,2020 Fall
INTA 644,HAMIE C,3.800,80%,20%,600,2020 Fall
INTA 645,HUDSON V,4.000,100%,0%,600,2020 Fall
INTA 648,HUANG R,3.789,79%,21%,600,2020 Fall
INTA 651,RUSSELL R,3.800,90%,0%,700,2020 Fall
INTA 652,OLSON J,3.652,65%,35%,600,2020 Fall
INTA 652,RUSSELL R,3.454,55%,36%,700,2020 Fall
INTA 653,DALY S,3.875,88%,12%,700,2020 Fall
INTA 657,HOWELL M,3.833,83%,17%,600,2020 Fall
INTA 659,HUANG R,3.933,93%,7%,600,2020 Fall
INTA 659,DALY S,3.750,75%,25%,700,2020 Fall
INTA 665,ROSS A,4.000,100%,0%,600,2020 Fall
