course,prof,gpa,% of A,% of B,section_,semester
ATMO 201,CONLEE D,3.515,64%,27%,501,2020 Fall
ATMO 201,LOGAN T,3.693,69%,31%,502,2020 Fall
ATMO 201,CONLEE D,3.213,44%,39%,503,2020 Fall
ATMO 201,LOGAN T,3.798,80%,20%,505,2020 Fall
ATMO 201,ETTEN-BOHM M,3.514,65%,25%,599,2020 Fall
ATMO 202,CONLEE D,3.727,73%,27%,501,2020 Fall
ATMO 202,CONLEE D,3.800,80%,20%,502,2020 Fall
ATMO 202,CONLEE D,3.458,67%,17%,504,2020 Fall
ATMO 202,CONLEE D,3.636,68%,27%,506,2020 Fall
ATMO 202,CONLEE D,3.833,83%,17%,507,2020 Fall
ATMO 203,NIELSEN E,3.642,71%,21%,501,2020 Fall
ATMO 203,NIELSEN E,3.470,59%,29%,502,2020 Fall
ATMO 203,NIELSEN E,3.600,60%,40%,503,2020 Fall
ATMO 251,NIELSEN E,2.720,28%,32%,501,2020 Fall
ATMO 251,NIELSEN E,2.680,20%,44%,502,2020 Fall
ATMO 321,XU Y,3.454,59%,36%,500,2020 Fall
ATMO 335,BROOKS S,3.793,83%,14%,501,2020 Fall
ATMO 336,EPIFANIO C,3.000,27%,47%,501,2020 Fall
ATMO 336,EPIFANIO C,3.214,43%,36%,502,2020 Fall
ATMO 363,SCHADE G,2.698,21%,38%,500,2020 Fall
ATMO 443,NOWOTARSKI C,3.130,43%,30%,500,2020 Fall
ATMO 446,RAPP A,2.666,27%,27%,500,2020 Fall
ATMO 459,SCHUMACHER C,3.280,44%,40%,900,2020 Fall
ATMO 485,CONLEE D,4.000,100%,0%,501,2020 Fall
ATMO 601,KORTY R,3.454,55%,36%,600,2020 Fall
ATMO 602,LIU X,3.888,89%,11%,600,2020 Fall
ATMO 603,BOWMAN K,4.000,100%,0%,600,2020 Fall
ATMO 606,ZHANG R,3.545,64%,27%,600,2020 Fall
GEOS 101,HOEFIG T,3.833,70%,20%,501,2020 Fall
GEOS 101,ROARK E,4.000,100%,0%,502,2020 Fall
GEOS 101,ROARK E,0.000,100%,0%,504,2020 Fall
GEOS 101,NUNEZ J,4.000,100%,0%,511,2020 Fall
GEOS 105,GIARDINO J,3.821,92%,2%,500,2020 Fall
GEOS 205,ROARK E,3.772,82%,14%,500,2020 Fall
GEOS 210,SCHADE G,3.082,41%,37%,500,2020 Fall
GEOS 210,DESSLER A,3.135,41%,37%,599,2020 Fall
GEOS 401,ORSI A,3.818,82%,18%,500,2020 Fall
GEOS 405,DOYLE S,3.000,30%,60%,901,2020 Fall
GEOS 405,GROSSMAN E,3.000,36%,45%,902,2020 Fall
GEOS 405,EVERETT M,4.000,100%,0%,903,2020 Fall
GEOS 410,THORNTON D,3.193,32%,55%,500,2020 Fall
GEOS 430,JOCHENS A,3.911,94%,3%,500,2020 Fall
GEOS 470,POTTER H,3.312,56%,25%,500,2020 Fall
GEOS 470,POTTER H,3.666,67%,33%,501,2020 Fall
GEOS 470,POTTER H,2.909,36%,36%,502,2020 Fall
GEOS 481,RICHARDSON M,3.777,78%,22%,901,2020 Fall
GEOS 676,KLEIN A,3.833,88%,8%,775,2020 Fall
GEOS 689,BELABBASSI L,3.833,83%,17%,776,2020 Fall
GEOS 689,BAPST D,3.555,56%,44%,778,2020 Fall
GEOG 201,THOMPSON C,3.752,82%,12%,500,2020 Fall
GEOG 201,BREYER E,3.813,81%,19%,501,2020 Fall
GEOG 201,BREYER E,3.814,81%,19%,599,2020 Fall
GEOG 201,THOMPSON C,2.937,38%,25%,G01,2020 Fall
GEOG 202,BRYSCH C,3.816,85%,12%,503,2020 Fall
GEOG 202,O'REILLY K,2.830,15%,61%,504,2020 Fall
GEOG 202,PROUT E,3.521,68%,25%,505,2020 Fall
GEOG 202,SMITH J,3.277,51%,28%,599,2020 Fall
GEOG 202,O'REILLY K,2.357,4%,46%,G04,2020 Fall
GEOG 203,GHATAK D,3.414,59%,25%,500,2020 Fall
GEOG 203,LAFON C,3.087,36%,47%,501,2020 Fall
GEOG 203,LAFON C,2.961,35%,42%,502,2020 Fall
GEOG 203,GHATAK D,3.410,56%,32%,503,2020 Fall
GEOG 205,SANSOM L,3.720,80%,15%,599,2020 Fall
GEOG 213,BOMBARDI R,3.722,78%,17%,501,2020 Fall
GEOG 213,BOMBARDI R,3.066,40%,40%,502,2020 Fall
GEOG 213,BOMBARDI R,3.000,44%,31%,503,2020 Fall
GEOG 213,BOMBARDI R,3.066,40%,40%,505,2020 Fall
GEOG 213,BOMBARDI R,2.500,38%,19%,506,2020 Fall
GEOG 213,BOMBARDI R,3.066,47%,27%,507,2020 Fall
GEOG 213,BOMBARDI R,3.375,38%,62%,508,2020 Fall
GEOG 213,BOMBARDI R,3.263,37%,53%,509,2020 Fall
GEOG 213,BOMBARDI R,3.117,41%,35%,510,2020 Fall
GEOG 213,BOMBARDI R,3.388,61%,28%,513,2020 Fall
GEOG 215,GOLDBERG D,3.846,85%,15%,930,2020 Fall
GEOG 215,GOLDBERG D,3.571,79%,14%,931,2020 Fall
GEOG 215,GOLDBERG D,2.833,50%,17%,932,2020 Fall
GEOG 232,BREYER E,3.250,50%,38%,501,2020 Fall
GEOG 232,BREYER E,3.437,69%,19%,502,2020 Fall
GEOG 232,BREYER E,3.764,88%,0%,503,2020 Fall
GEOG 232,BREYER E,3.600,73%,13%,504,2020 Fall
GEOG 301,BRYSCH C,3.804,86%,9%,500,2020 Fall
GEOG 304,BOUNDS B,3.387,55%,35%,500,2020 Fall
GEOG 305,PROUT E,3.011,33%,43%,500,2020 Fall
GEOG 306,BOUNDS B,3.552,66%,25%,500,2020 Fall
GEOG 311,SMITH J,2.964,29%,46%,500,2020 Fall
GEOG 320,TCHAKERIAN V,2.583,12%,38%,500,2020 Fall
GEOG 324,GHATAK D,3.214,54%,25%,500,2020 Fall
GEOG 324,GHATAK D,3.555,61%,33%,900,2020 Fall
GEOG 330,CASELLAS CONNORS J,3.686,78%,16%,500,2020 Fall
GEOG 352,LYLE S,3.705,88%,6%,500,2020 Fall
GEOG 352,LYLE S,3.916,92%,8%,501,2020 Fall
