course,prof,gpa,% of A,% of B,section_,semester
ANTH 201,ALVARD M,2.724,22%,45%,501,2020 Fall
ANTH 201,GURSKY S,3.508,67%,25%,502,2020 Fall
ANTH 201,ANDERSON M,3.500,64%,27%,503,2020 Fall
ANTH 201,WHITE J,2.791,17%,50%,599,2020 Fall
ANTH 201,ALVARD M,2.120,0%,32%,G01,2020 Fall
ANTH 202,THOMS A,2.810,31%,33%,501,2020 Fall
ANTH 204,GRAF K,3.190,39%,47%,500,2020 Fall
ANTH 205,VIEIRA DE CASTRO L,3.742,74%,26%,501,2020 Fall
ANTH 205,VIEIRA DE CASTRO L,3.737,75%,23%,502,2020 Fall
ANTH 205,LYNCH D,3.742,80%,16%,503,2020 Fall
ANTH 205,LYNCH D,3.720,75%,21%,504,2020 Fall
ANTH 205,JOHNSON T,3.735,82%,12%,505,2020 Fall
ANTH 205,MCDONOUGH K,3.625,71%,21%,506,2020 Fall
ANTH 205,IOSET B,3.638,72%,19%,508,2020 Fall
ANTH 205,THEIS R,3.200,40%,48%,512,2020 Fall
ANTH 205,CUELLO DEL POZO P,3.280,48%,32%,513,2020 Fall
ANTH 205,ALVARD M,2.640,21%,39%,514,2020 Fall
ANTH 205,PRATT J,2.733,16%,52%,599,2020 Fall
ANTH 205,VIEIRA DE CASTRO L,3.294,29%,71%,G01,2020 Fall
ANTH 205,VIEIRA DE CASTRO L,3.375,38%,62%,G02,2020 Fall
ANTH 205,LYNCH D,3.105,26%,58%,G03,2020 Fall
ANTH 205,LYNCH D,3.133,40%,40%,G04,2020 Fall
ANTH 210,WINKING J,3.076,33%,48%,501,2020 Fall
ANTH 210,HOPKINS A,3.413,50%,41%,502,2020 Fall
ANTH 210,ACHORN A,3.472,78%,8%,503,2020 Fall
ANTH 210,WINKING J,3.000,32%,42%,504,2020 Fall
ANTH 225,PRANG T,3.098,43%,28%,500,2020 Fall
ANTH 226,KIM H,3.375,62%,12%,501,2020 Fall
ANTH 226,IZZO V,3.285,71%,14%,502,2020 Fall
ANTH 226,JAIN H,2.800,20%,60%,503,2020 Fall
ANTH 300,LYNCH D,3.631,68%,26%,500,2020 Fall
ANTH 305,LINDERHOLM A,3.450,80%,5%,900,2020 Fall
ANTH 312,ANDERSON M,2.812,50%,12%,500,2020 Fall
ANTH 313,KENNEDY C,2.818,32%,32%,500,2020 Fall
ANTH 316,CARLSON D,2.966,32%,39%,500,2020 Fall
ANTH 316,CARLSON D,3.259,52%,22%,501,2020 Fall
ANTH 324,KATTARI K,4.000,100%,0%,200,2020 Fall
ANTH 350,LINDERHOLM A,3.428,57%,36%,500,2020 Fall
ANTH 370,LAPORTE C,3.285,63%,14%,501,2020 Fall
ANTH 402,KENNEDY C,3.714,71%,29%,500,2020 Fall
ANTH 403,LAPORTE C,3.125,44%,34%,500,2020 Fall
ANTH 405,GURSKY S,4.000,100%,0%,500,2020 Fall
ANTH 412,THAKAR H,3.583,67%,25%,500,2020 Fall
ANTH 412,GOEBEL F,2.600,40%,30%,501,2020 Fall
ANTH 415,ANDERSON M,3.368,63%,21%,900,2020 Fall
ANTH 430,HOPKINS A,3.625,81%,12%,500,2020 Fall
ANTH 458,WINKING J,2.823,47%,29%,500,2020 Fall
ANTH 484,THAKAR H,4.000,100%,0%,501,2020 Fall
ANTH 485,WRIGHT L,0.000,100%,0%,524,2020 Fall
ANTH 489,KENNEDY C,3.166,33%,50%,501,2020 Fall
ANTH 489,LEMUS S,3.260,65%,13%,900,2020 Fall
ANTH 601,DE RUITER D,3.923,92%,8%,600,2020 Fall
