course,prof,gpa,% of A,% of B,section_,semester
EDHP 630,ARNOLD S,3.928,93%,7%,700,2020 Fall
HCPI 655,MIRANDA M,3.888,89%,11%,700,2020 Fall
MPHY 624,VANBUREN V,3.950,95%,5%,601,2020 Fall
MPHY 624,VANBUREN V,3.777,78%,22%,602,2020 Fall
MPIM 663,WILSON V,3.583,58%,42%,600,2020 Fall
MSCI 601,CHAKRABORTY S,3.812,81%,19%,601,2020 Fall
MSCI 605,WANG H,4.000,100%,0%,600,2020 Fall
MSCI 609,WILSON V,4.000,100%,0%,305,2020 Fall
MSCI 609,WILSON V,4.000,100%,0%,600,2020 Fall
MSCI 689,CHAKRABORTY S,4.000,100%,0%,601,2020 Fall
MSCI 689,HETTEMA J,4.000,100%,0%,604,2020 Fall
