course,prof,gpa,% of A,% of B,section_,semester
AERS 101,SILVA H,3.807,85%,12%,501,2020 Fall
AERS 101,SILVA H,3.741,74%,26%,502,2020 Fall
AERS 101,SILVA H,3.548,68%,26%,503,2020 Fall
AERS 101,SILVA H,3.593,66%,28%,504,2020 Fall
AERS 101,SILVA H,3.535,68%,18%,505,2020 Fall
AERS 101,SILVA H,3.576,77%,12%,507,2020 Fall
AERS 101,SILVA H,3.562,72%,16%,508,2020 Fall
AERS 101,SILVA H,3.807,81%,19%,509,2020 Fall
AERS 101,SILVA H,3.928,93%,7%,510,2020 Fall
AERS 101,SILVA H,3.642,75%,21%,511,2020 Fall
AERS 201,COOPER H,3.970,97%,3%,501,2020 Fall
AERS 201,COOPER H,3.878,88%,12%,502,2020 Fall
AERS 201,COOPER H,3.750,75%,25%,505,2020 Fall
AERS 201,COOPER H,3.931,93%,7%,506,2020 Fall
AERS 201,COOPER H,3.857,90%,5%,507,2020 Fall
AERS 303,CARTER R,3.769,77%,23%,501,2020 Fall
AERS 303,CARTER R,3.964,96%,4%,502,2020 Fall
AERS 303,CARTER R,3.969,97%,3%,504,2020 Fall
AERS 403,RICHARDSON D,4.000,100%,0%,501,2020 Fall
AERS 403,RICHARDSON D,4.000,100%,0%,502,2020 Fall
AERS 403,RICHARDSON D,4.000,100%,0%,504,2020 Fall
SOMS 111,QUIN C,3.250,59%,29%,501,2020 Fall
SOMS 111,VELA C,3.500,55%,18%,502,2020 Fall
SOMS 111,SIMPSON M,3.857,50%,25%,503,2020 Fall
SOMS 111,VELA C,3.125,43%,14%,504,2020 Fall
SOMS 111,SIMPSON M,3.800,67%,10%,505,2020 Fall
SOMS 111,SIMPSON M,3.722,76%,14%,506,2020 Fall
SOMS 111,SIMPSON M,3.692,73%,14%,507,2020 Fall
SOMS 111,QUIN C,3.636,62%,10%,508,2020 Fall
SOMS 111,VELA C,2.900,35%,10%,509,2020 Fall
SOMS 111,QUIN C,3.666,74%,11%,510,2020 Fall
