course,prof,gpa,% of A,% of B,section_,semester
AGCJ 105,WALTHER D,3.958,96%,4%,500,2017 Spring
AGCJ 105,WALTHER D,3.828,86%,11%,501,2017 Spring
AGCJ 281,LEGGETTE H,3.557,73%,15%,500,2017 Spring
AGCJ 306,DUNSFORD D,3.237,44%,39%,598,2017 Spring
AGCJ 306,DUNSFORD D,3.444,53%,38%,700,2017 Spring
AGCJ 307,RUTHERFORD T,3.617,74%,21%,501,2017 Spring
AGCJ 307,RUTHERFORD T,2.837,43%,22%,700,2017 Spring
AGCJ 312,WALTHER D,4.000,100%,0%,501,2017 Spring
AGCJ 312,MCGRATH P,2.560,20%,32%,700,2017 Spring
AGCJ 313,LEGGETTE H,3.416,46%,50%,901,2017 Spring
AGCJ 313,LEGGETTE H,3.250,50%,40%,902,2017 Spring
AGCJ 313,WALTHER D,3.846,85%,15%,903,2017 Spring
AGCJ 314,REDWINE T,3.478,57%,35%,901,2017 Spring
AGCJ 314,REDWINE T,3.173,48%,30%,902,2017 Spring
AGCJ 366,MCKIM B,3.500,75%,17%,501,2017 Spring
AGCJ 366,MCKIM B,3.428,71%,14%,502,2017 Spring
AGCJ 405,ROUSE L,3.727,82%,9%,501,2017 Spring
AGCJ 405,ROUSE L,3.727,73%,27%,502,2017 Spring
AGCJ 409,ZENT R,4.000,100%,0%,500,2017 Spring
AGCJ 411,MCKIM B,3.583,71%,17%,500,2017 Spring
AGCJ 481,DUNSFORD D,3.250,58%,19%,500,2017 Spring
AGCJ 481,MCKIM B,3.333,33%,67%,520,2017 Spring
AGCJ 489,WALTHER D,3.833,83%,17%,501,2017 Spring
AGCJ 489,COSTELLO L,3.720,76%,20%,502,2017 Spring
AGCJ 494,DUNSFORD D,4.000,100%,0%,515,2017 Spring
AGSC 301,BRIERS G,3.384,58%,27%,500,2017 Spring
AGSC 305,HANAGRIFF R,3.000,32%,45%,700,2017 Spring
AGSC 373,HANCOCK J,3.647,71%,24%,500,2017 Spring
AGSC 383,HANCOCK J,3.529,65%,24%,501,2017 Spring
AGSC 384,EDNEY K,3.687,78%,19%,900,2017 Spring
AGSC 402,MOORE L,3.090,36%,45%,900,2017 Spring
AGSC 405,MURPHY T,3.272,36%,55%,500,2017 Spring
AGSC 425,MURPHY T,3.473,53%,42%,502,2017 Spring
AGSC 436,MURPHY T,3.666,72%,22%,502,2017 Spring
AGSC 481,MURPHY T,3.888,89%,11%,501,2017 Spring
