course,prof,gpa,% of A,% of B,section_,semester
AERO 201,SHRYOCK K,2.926,12%,73%,500,2017 Spring
AERO 210,VADALI S,2.750,19%,50%,200,2017 Spring
AERO 210,VADALI S,2.593,10%,44%,500,2017 Spring
AERO 210,VADALI S,2.685,9%,54%,501,2017 Spring
AERO 212,KARPETIS A,2.920,24%,48%,500,2017 Spring
AERO 214,LE GRAVEREND J,2.921,18%,57%,500,2017 Spring
AERO 214,KINRA V,2.318,12%,23%,501,2017 Spring
AERO 220,AKKAM VEETTIL D,2.963,42%,24%,500,2017 Spring
AERO 220,AKKAM VEETTIL D,3.051,41%,29%,501,2017 Spring
AERO 289,STRGANAC T,3.833,83%,17%,500,2017 Spring
AERO 301,DONZIS D,3.400,40%,60%,200,2017 Spring
AERO 301,DONZIS D,2.750,14%,50%,500,2017 Spring
AERO 302,TICHENOR N,3.954,95%,5%,900,2017 Spring
AERO 302,TICHENOR N,3.550,60%,35%,901,2017 Spring
AERO 302,TICHENOR N,3.789,79%,21%,902,2017 Spring
AERO 303,POLUDNENKO O,3.086,33%,50%,500,2017 Spring
AERO 303,WHITE E,3.200,36%,49%,501,2017 Spring
AERO 304,ZHUANG L,2.736,21%,38%,500,2017 Spring
AERO 306,STROUBOULIS T,3.359,47%,42%,500,2017 Spring
AERO 306,WHITCOMB J,2.842,32%,34%,501,2017 Spring
AERO 310,HALDER A,2.602,19%,30%,500,2017 Spring
AERO 321,VALASEK J,3.333,56%,33%,200,2017 Spring
AERO 321,VALASEK J,2.494,13%,31%,500,2017 Spring
AERO 351,FONTENOT R,2.357,11%,29%,500,2017 Spring
AERO 351,CIZMAS P,2.378,19%,19%,501,2017 Spring
AERO 401,LUTZ W,4.000,100%,0%,500,2017 Spring
AERO 401,CHAMITOFF G,4.000,100%,0%,503,2017 Spring
AERO 402,ELMENDORF H,4.000,100%,0%,501,2017 Spring
AERO 402,POLLOCK T,4.000,100%,0%,502,2017 Spring
AERO 405,HARTL D,3.418,47%,49%,500,2017 Spring
AERO 413,NARAGHI M,2.800,15%,55%,500,2017 Spring
