course,prof,gpa,% of A,% of B,section_,semester
AERS 102,COSTA F,3.750,75%,25%,502,2017 Spring
AERS 102,COSTA F,3.666,67%,33%,503,2017 Spring
AERS 102,COSTA F,3.692,69%,31%,504,2017 Spring
AERS 102,COSTA F,3.730,73%,27%,505,2017 Spring
AERS 102,COSTA F,3.500,50%,50%,507,2017 Spring
AERS 102,COSTA F,3.318,32%,68%,508,2017 Spring
AERS 102,COSTA F,3.611,61%,39%,509,2017 Spring
AERS 102,COSTA F,3.833,83%,17%,510,2017 Spring
AERS 102,COSTA F,3.566,57%,43%,512,2017 Spring
AERS 202,JORDAN C,3.952,95%,5%,501,2017 Spring
AERS 202,JORDAN C,3.928,93%,7%,502,2017 Spring
AERS 202,JORDAN C,3.666,75%,21%,506,2017 Spring
AERS 202,JORDAN C,3.956,96%,4%,507,2017 Spring
AERS 304,SANGER N,3.958,96%,4%,501,2017 Spring
AERS 304,SANGER N,3.958,96%,4%,502,2017 Spring
AERS 304,SANGER N,4.000,100%,0%,503,2017 Spring
AERS 404,KOSTER B,3.857,86%,14%,501,2017 Spring
AERS 404,KOSTER B,3.956,96%,4%,502,2017 Spring
AERS 404,KOSTER B,3.875,88%,12%,504,2017 Spring
SOMS 111,DOLAN S,4.000,100%,0%,501,2017 Spring
SOMS 180,DULKE M,3.545,64%,27%,512,2017 Spring
SOMS 180,NORRIS D,3.909,91%,9%,513,2017 Spring
SOMS 180,NORRIS D,3.888,89%,11%,518,2017 Spring
SOMS 280,FLEMING J,3.500,56%,38%,501,2017 Spring
SOMS 280,FELTS T,3.244,36%,53%,502,2017 Spring
SOMS 280,FELTS T,4.000,100%,0%,503,2017 Spring
SOMS 280,FELTS T,4.000,100%,0%,504,2017 Spring
SOMS 280,HASSMAN D,3.477,59%,32%,505,2017 Spring
SOMS 280,GARDNER J,4.000,100%,0%,507,2017 Spring
SOMS 280,FLEMING J,3.704,75%,20%,508,2017 Spring
SOMS 280,FELTS T,3.677,68%,32%,509,2017 Spring
SOMS 280,BRUMMETT K,3.565,65%,26%,511,2017 Spring
SOMS 280,FELTS T,2.875,19%,56%,512,2017 Spring
SOMS 280,SCHLATHER B,3.477,50%,48%,513,2017 Spring
SOMS 280,FELTS T,3.538,62%,31%,514,2017 Spring
SOMS 280,FELTS T,3.750,75%,25%,515,2017 Spring
SOMS 280,HAUFFE F,3.535,57%,39%,516,2017 Spring
SOMS 280,FELTS T,3.413,45%,52%,517,2017 Spring
SOMS 280,SCHLATHER B,3.600,70%,23%,518,2017 Spring
SOMS 280,BRUMMETT K,3.722,72%,28%,520,2017 Spring
SOMS 280,FELTS T,2.666,11%,61%,521,2017 Spring
SOMS 280,HAUFFE F,3.644,69%,27%,522,2017 Spring
SOMS 381,BROWN B,3.761,86%,10%,531,2017 Spring
SOMS 381,MCCLURE M,3.625,62%,38%,532,2017 Spring
SOMS 381,CRAWFORD K,3.869,96%,0%,533,2017 Spring
SOMS 381,BROWN T,3.411,71%,12%,534,2017 Spring
SOMS 381,WENTLING D,3.952,95%,5%,535,2017 Spring
SOMS 381,ARMSTRONG A,3.875,88%,12%,536,2017 Spring
SOMS 381,SCOGGINS J,4.000,100%,0%,537,2017 Spring
SOMS 381,FRYSINGER V,3.500,65%,30%,538,2017 Spring
SOMS 381,FRYSINGER V,3.650,75%,15%,539,2017 Spring
SOMS 381,BROWN B,3.809,90%,5%,540,2017 Spring
SOMS 381,IVEY C,3.800,93%,0%,541,2017 Spring
SOMS 381,WENTLING D,3.850,90%,5%,542,2017 Spring
SOMS 381,SCOGGINS J,4.000,100%,0%,543,2017 Spring
SOMS 381,SHEHANE M,3.722,78%,17%,544,2017 Spring
SOMS 381,SCOGGINS J,4.000,100%,0%,545,2017 Spring
SOMS 381,ARMSTRONG A,4.000,100%,0%,549,2017 Spring
SOMS 482,RANDOLPH D,3.214,50%,36%,501,2017 Spring
SOMS 482,GONZALEZ Y,3.944,94%,6%,550,2017 Spring
SOMS 482,MOONEY K,4.000,100%,0%,551,2017 Spring
SOMS 482,MOONEY K,3.937,94%,6%,552,2017 Spring
SOMS 482,ARCAK C,3.842,84%,16%,553,2017 Spring
SOMS 482,BLAIR J,3.818,82%,18%,554,2017 Spring
SOMS 482,BROWN T,3.928,93%,7%,555,2017 Spring
