course,prof,gpa,% of A,% of B,section_,semester
ATMO 201,CONLEE D,3.036,38%,32%,501,2018 Spring
ATMO 201,LOGAN T,3.527,59%,35%,502,2018 Spring
ATMO 201,SCHUMACHER C,2.962,31%,43%,503,2018 Spring
ATMO 201,NIELSEN-GAMMON J,2.639,22%,37%,504,2018 Spring
ATMO 201,SCHADE G,2.846,15%,62%,505,2018 Spring
ATMO 201,LOGAN T,3.394,46%,48%,506,2018 Spring
ATMO 201,LOGAN T,3.302,44%,42%,507,2018 Spring
ATMO 202,LOGAN T,3.521,65%,22%,501,2018 Spring
ATMO 202,LOGAN T,3.913,91%,9%,502,2018 Spring
ATMO 202,LOGAN T,3.750,80%,15%,504,2018 Spring
ATMO 202,LOGAN T,3.625,75%,21%,505,2018 Spring
ATMO 202,LOGAN T,3.666,67%,33%,508,2018 Spring
ATMO 203,CONLEE D,3.277,44%,39%,501,2018 Spring
ATMO 203,CONLEE D,3.421,53%,37%,502,2018 Spring
ATMO 321,XU Y,3.400,55%,30%,500,2018 Spring
ATMO 324,NIELSEN-GAMMON J,2.937,56%,12%,501,2018 Spring
ATMO 324,NIELSEN-GAMMON J,3.700,70%,30%,502,2018 Spring
ATMO 352,EPIFANIO C,3.631,74%,16%,501,2018 Spring
ATMO 352,EPIFANIO C,3.181,18%,82%,502,2018 Spring
ATMO 435,KORTY R,3.068,38%,38%,501,2018 Spring
ATMO 441,BOWMAN K,2.818,27%,45%,501,2018 Spring
ATMO 455,SZUNYOGH I,3.750,75%,25%,500,2018 Spring
ATMO 456,CONLEE D,3.550,65%,30%,900,2018 Spring
ATMO 461,WINKLEY S,4.000,100%,0%,501,2018 Spring
ATMO 463,COLLINS D,3.166,33%,50%,500,2018 Spring
ATMO 463,COLLINS D,3.000,38%,38%,900,2018 Spring
ATMO 491,CONLEE D,0.000,100%,0%,530,2018 Spring
ATMO 611,PANETTA R,2.833,0%,83%,600,2018 Spring
ATMO 613,ZHANG R,3.200,40%,40%,600,2018 Spring
GEOS 105,THORNTON D,2.901,22%,51%,500,2018 Spring
GEOS 205,ROARK E,3.625,79%,12%,500,2018 Spring
GEOS 210,SARAVANAN R,3.020,27%,57%,500,2018 Spring
GEOS 210,SARAVANAN R,3.090,32%,48%,501,2018 Spring
GEOS 405,JOCHENS A,3.950,95%,5%,901,2018 Spring
GEOS 405,ROARK E,3.529,59%,35%,902,2018 Spring
GEOS 405,WILLIAMS T,3.722,89%,6%,905,2018 Spring
GEOS 430,JOCHENS A,3.810,81%,19%,500,2018 Spring
GEOS 444,SCHADE G,3.073,29%,49%,500,2018 Spring
GEOS 470,DIMARCO S,3.111,44%,33%,500,2018 Spring
GEOS 470,POTTER H,2.272,18%,45%,501,2018 Spring
GEOS 481,RICHARDSON M,3.333,58%,25%,900,2018 Spring
GEOS 481,RICHARDSON M,4.000,100%,0%,901,2018 Spring
GEOS 489,JEPSON W,4.000,100%,0%,501,2018 Spring
GEOG 201,WATKINS J,3.155,39%,43%,501,2018 Spring
GEOG 201,SWANSON N,3.100,40%,40%,502,2018 Spring
GEOG 201,THOMPSON C,3.775,86%,8%,503,2018 Spring
GEOG 202,PATZEWITSCH W,2.911,31%,36%,501,2018 Spring
GEOG 202,PROUT E,3.076,42%,34%,502,2018 Spring
GEOG 202,PROUT E,3.666,72%,22%,503,2018 Spring
GEOG 202,PATZEWITSCH W,2.800,29%,32%,506,2018 Spring
GEOG 202,SMITH J,3.193,45%,36%,599,2018 Spring
GEOG 203,BOMBARDI R,3.181,36%,52%,501,2018 Spring
GEOG 203,FRAUENFELD O,2.894,31%,34%,503,2018 Spring
GEOG 203,LAFON C,2.957,30%,41%,504,2018 Spring
GEOG 203,LAFON C,3.034,32%,45%,505,2018 Spring
GEOG 205,PATZEWITSCH W,3.647,76%,16%,501,2018 Spring
GEOG 213,GUNERALP I,3.444,50%,44%,501,2018 Spring
GEOG 213,GUNERALP I,3.285,57%,24%,502,2018 Spring
GEOG 213,GUNERALP I,3.440,56%,36%,503,2018 Spring
GEOG 213,GUNERALP I,3.578,74%,16%,505,2018 Spring
GEOG 213,GUNERALP I,2.434,26%,17%,506,2018 Spring
GEOG 213,GUNERALP I,3.826,83%,17%,508,2018 Spring
GEOG 213,GUNERALP I,3.210,53%,16%,509,2018 Spring
GEOG 213,GUNERALP I,3.454,68%,14%,510,2018 Spring
GEOG 213,GUNERALP I,3.111,39%,44%,512,2018 Spring
GEOG 213,GUNERALP I,3.384,77%,8%,516,2018 Spring
GEOG 213,GUNERALP I,2.777,17%,50%,519,2018 Spring
GEOG 213,GUNERALP I,3.187,56%,25%,523,2018 Spring
GEOG 301,SMITH J,3.113,45%,31%,500,2018 Spring
GEOG 304,SWANSON N,2.932,30%,44%,500,2018 Spring
GEOG 305,PROUT E,3.141,36%,42%,500,2018 Spring
GEOG 306,GUNERALP B,2.942,35%,37%,500,2018 Spring
GEOG 312,MCROBERTS D,3.202,42%,43%,500,2018 Spring
GEOG 323,BRANNSTROM C,3.235,41%,47%,500,2018 Spring
GEOG 324,BOMBARDI R,2.900,25%,40%,900,2018 Spring
GEOG 325,PROUT E,3.086,43%,30%,500,2018 Spring
GEOG 330,JEPSON W,2.528,16%,31%,500,2018 Spring
GEOG 331,TCHAKERIAN V,2.432,14%,24%,500,2018 Spring
GEOG 335,EVANS A,2.772,23%,41%,500,2018 Spring
GEOG 352,LYLE S,3.500,67%,28%,500,2018 Spring
GEOG 352,LYLE S,3.578,68%,21%,501,2018 Spring
GEOG 352,LYLE S,3.055,50%,22%,502,2018 Spring
GEOG 360,GUNERALP I,2.932,27%,46%,500,2018 Spring
GEOG 380,LOISEL J,3.760,88%,8%,500,2018 Spring
GEOG 380,SWANSON N,3.083,33%,58%,501,2018 Spring
GEOG 390,THOMPSON C,2.937,25%,44%,502,2018 Spring
GEOG 390,THOMPSON C,3.058,35%,47%,503,2018 Spring
GEOG 390,THOMPSON C,3.058,41%,41%,504,2018 Spring
GEOG 390,THOMPSON C,2.571,21%,29%,505,2018 Spring
GEOG 390,THOMPSON C,3.235,53%,35%,506,2018 Spring
GEOG 390,THOMPSON C,3.352,53%,29%,507,2018 Spring
GEOG 398,PATZEWITSCH W,3.421,53%,37%,500,2018 Spring
GEOG 400,TCHAKERIAN V,2.760,28%,28%,500,2018 Spring
GEOG 401,WATKINS J,3.560,64%,30%,500,2018 Spring
GEOG 420,PROUT E,3.652,70%,26%,500,2018 Spring
GEOG 430,DAVIS D,3.956,96%,4%,900,2018 Spring
GEOG 440,SMITH J,3.195,32%,56%,500,2018 Spring
GEOG 450,LAFON C,2.958,17%,62%,500,2018 Spring
GEOG 475,BISHOP M,1.947,5%,16%,501,2018 Spring
GEOG 475,BISHOP M,2.277,0%,56%,502,2018 Spring
GEOG 475,BISHOP M,2.062,6%,31%,503,2018 Spring
GEOG 475,BISHOP M,2.111,11%,22%,504,2018 Spring
GEOG 476,BISHOP M,2.545,18%,27%,900,2018 Spring
GEOG 476,GUNERALP B,2.944,22%,56%,901,2018 Spring
GEOG 478,GOLDBERG D,3.263,58%,26%,500,2018 Spring
GEOG 478,GOLDBERG D,3.263,63%,11%,501,2018 Spring
GEOG 478,GOLDBERG D,3.315,68%,16%,502,2018 Spring
GEOG 484,WELLMAN K,4.000,89%,11%,501,2018 Spring
GEOG 485,GOLDBERG D,4.000,100%,0%,517,2018 Spring
GEOG 491,LOISEL J,4.000,100%,0%,526,2018 Spring
GEOG 611,O'REILLY K,3.500,50%,50%,600,2018 Spring
GEOG 626,GUNERALP I,3.714,71%,29%,600,2018 Spring
GEOG 651,FILIPPI A,3.692,69%,31%,775,2018 Spring
GEOG 659,LYLE S,4.000,100%,0%,775,2018 Spring
GEOG 660,THOMPSON C,4.000,100%,0%,600,2018 Spring
GEOG 660,KLEIN A,3.823,82%,18%,775,2018 Spring
GEOG 662,LYLE S,4.000,100%,0%,775,2018 Spring
GEOG 665,FILIPPI A,3.833,83%,17%,701,2018 Spring
GEOG 665,FILIPPI A,3.444,56%,33%,775,2018 Spring
GEOG 689,LYLE S,4.000,100%,0%,775,2018 Spring
GEOG 695,GOLDBERG D,4.000,100%,0%,600,2018 Spring
GEOL 101,MILLER B,3.060,27%,54%,501,2018 Spring
GEOL 101,DUAN B,2.629,23%,30%,503,2018 Spring
GEOL 101,TORREZ B,2.700,16%,50%,599,2018 Spring
GEOL 102,SPARKS D,3.055,33%,50%,501,2018 Spring
GEOL 102,SPARKS D,3.210,32%,58%,502,2018 Spring
GEOL 102,SPARKS D,3.117,41%,41%,503,2018 Spring
GEOL 102,SPARKS D,3.300,35%,60%,504,2018 Spring
GEOL 102,SPARKS D,3.250,40%,45%,505,2018 Spring
GEOL 102,SPARKS D,3.300,30%,70%,506,2018 Spring
GEOL 102,SPARKS D,3.333,43%,48%,507,2018 Spring
GEOL 102,SPARKS D,3.277,33%,61%,508,2018 Spring
GEOL 102,SPARKS D,3.176,35%,53%,509,2018 Spring
GEOL 104,KRONENBERG A,2.882,24%,53%,501,2018 Spring
GEOL 104,KRONENBERG A,3.166,28%,61%,502,2018 Spring
GEOL 104,KRONENBERG A,2.625,12%,50%,503,2018 Spring
GEOL 104,KRONENBERG A,2.846,23%,38%,504,2018 Spring
GEOL 106,YANCEY T,3.375,62%,25%,501,2018 Spring
GEOL 106,YANCEY T,3.642,71%,21%,502,2018 Spring
