course,prof,gpa,% of A,% of B,section_,semester
BIOL 107,WINEMILLER L,2.647,24%,35%,501,2018 Spring
BIOL 107,WINEMILLER L,2.909,27%,41%,502,2018 Spring
BIOL 107,WINEMILLER L,2.454,23%,32%,503,2018 Spring
BIOL 107,WINEMILLER L,3.142,52%,24%,504,2018 Spring
BIOL 107,WINEMILLER L,2.913,39%,26%,505,2018 Spring
BIOL 107,WINEMILLER L,2.625,25%,38%,506,2018 Spring
BIOL 107,WINEMILLER L,2.476,19%,24%,507,2018 Spring
BIOL 107,WINEMILLER L,2.750,30%,30%,508,2018 Spring
BIOL 107,WINEMILLER L,2.750,25%,25%,509,2018 Spring
BIOL 107,WINEMILLER L,2.714,24%,48%,510,2018 Spring
BIOL 111,WAN W,2.954,45%,27%,501,2018 Spring
BIOL 111,WAN W,3.000,33%,42%,502,2018 Spring
BIOL 111,WAN W,3.045,55%,14%,503,2018 Spring
BIOL 111,WAN W,2.857,19%,57%,504,2018 Spring
BIOL 111,WAN W,2.909,27%,41%,505,2018 Spring
BIOL 111,WAN W,2.954,32%,45%,506,2018 Spring
BIOL 111,WAN W,3.047,33%,43%,507,2018 Spring
BIOL 111,WAN W,3.291,46%,42%,508,2018 Spring
BIOL 111,WAN W,3.250,46%,42%,509,2018 Spring
BIOL 111,WAN W,3.347,57%,30%,510,2018 Spring
BIOL 111,KEMP W,2.333,19%,24%,511,2018 Spring
BIOL 111,KEMP W,2.473,26%,32%,512,2018 Spring
BIOL 111,KEMP W,2.842,21%,47%,513,2018 Spring
BIOL 111,KEMP W,2.571,10%,43%,514,2018 Spring
BIOL 111,KEMP W,2.461,15%,31%,515,2018 Spring
BIOL 111,KEMP W,2.470,12%,47%,516,2018 Spring
BIOL 111,KEMP W,2.791,33%,25%,517,2018 Spring
BIOL 111,KEMP W,2.400,15%,35%,518,2018 Spring
BIOL 111,KEMP W,2.470,29%,18%,519,2018 Spring
BIOL 111,KEMP W,2.521,17%,26%,520,2018 Spring
BIOL 111,WAN W,2.909,27%,41%,521,2018 Spring
BIOL 111,WAN W,3.086,35%,48%,522,2018 Spring
BIOL 111,WAN W,3.181,45%,32%,523,2018 Spring
BIOL 111,WAN W,2.826,35%,22%,524,2018 Spring
BIOL 111,WAN W,1.923,8%,15%,525,2018 Spring
BIOL 111,WAN W,2.894,42%,26%,526,2018 Spring
BIOL 111,WAN W,2.619,19%,38%,527,2018 Spring
BIOL 111,WAN W,2.277,28%,17%,529,2018 Spring
BIOL 111,WAN W,3.190,43%,33%,530,2018 Spring
BIOL 111,KEMP W,2.045,9%,18%,531,2018 Spring
BIOL 111,KEMP W,2.368,5%,53%,533,2018 Spring
BIOL 111,KEMP W,2.250,17%,33%,534,2018 Spring
BIOL 111,KEMP W,1.954,9%,18%,535,2018 Spring
BIOL 111,KEMP W,2.521,22%,17%,536,2018 Spring
BIOL 111,KEMP W,1.526,0%,16%,537,2018 Spring
BIOL 111,KEMP W,1.842,0%,26%,538,2018 Spring
BIOL 111,KEMP W,2.142,14%,24%,539,2018 Spring
BIOL 111,KEMP W,2.555,22%,28%,540,2018 Spring
BIOL 111,WAN W,3.200,60%,0%,541,2018 Spring
BIOL 111,WAN W,3.260,57%,22%,542,2018 Spring
