course,prof,gpa,% of A,% of B,section_,semester
ARCH 206,KIM H,4.000,100%,0%,500,2019 Spring
ARCH 206,KIM H,3.562,69%,19%,501,2019 Spring
ARCH 206,LUTZ S,3.375,62%,25%,502,2019 Spring
ARCH 206,HAWKINS A,2.666,25%,33%,503,2019 Spring
ARCH 206,ESQUIVEL J,4.000,100%,0%,504,2019 Spring
ARCH 206,DE LIMA VAZ XAVIER,4.000,100%,0%,505,2019 Spring
ARCH 206,VAHDAT ZAD V,3.647,65%,35%,506,2019 Spring
ARCH 212,LU Z,3.253,46%,40%,500,2019 Spring
ARCH 212,LU Z,3.038,31%,46%,501,2019 Spring
ARCH 213,BELTRAN L,3.153,42%,40%,500,2019 Spring
ARCH 213,BELTRAN L,3.081,35%,49%,501,2019 Spring
ARCH 216,MANSOORI M,3.769,77%,23%,500,2019 Spring
ARCH 216,KIM H,3.714,71%,29%,501,2019 Spring
ARCH 249,CAFFEY S,3.857,93%,0%,201,2019 Spring
ARCH 249,CAFFEY S,3.107,49%,27%,503,2019 Spring
ARCH 249,CAFFEY S,3.622,73%,16%,504,2019 Spring
ARCH 249,CAFFEY S,3.530,67%,23%,700,2019 Spring
ARCH 250,KLEIN N,4.000,100%,0%,200,2019 Spring
ARCH 250,KLEIN N,3.345,54%,33%,501,2019 Spring
ARCH 250,KLEIN N,3.380,54%,34%,502,2019 Spring
ARCH 250,STEWART Z,2.531,32%,23%,503,2019 Spring
ARCH 250,CAMPAGNOL G,3.583,72%,20%,700,2019 Spring
ARCH 250,CAMPAGNOL G,3.838,87%,12%,701,2019 Spring
ARCH 260,IISAKA M,4.000,100%,0%,500,2019 Spring
ARCH 305,VAHDAT ZAD V,3.000,30%,50%,931,2019 Spring
ARCH 305,CATAO CARTAXO,4.000,100%,0%,932,2019 Spring
ARCH 305,STEWART K,3.909,91%,9%,933,2019 Spring
ARCH 305,LOPEZ DINARDI M,3.818,82%,18%,934,2019 Spring
ARCH 317,GORJIAN M,3.909,91%,9%,500,2019 Spring
ARCH 327,OSTADALIMAKHMALBAF,3.875,88%,12%,500,2019 Spring
ARCH 328,OBRIEN M,3.857,86%,14%,500,2019 Spring
ARCH 331,NICHOLS A,2.391,15%,37%,500,2019 Spring
ARCH 335,HABERL J,3.230,35%,54%,500,2019 Spring
ARCH 345,HOLLIDAY S,3.310,50%,38%,502,2019 Spring
ARCH 346,GLOWACKI K,3.259,33%,59%,500,2019 Spring
ARCH 350,CAMPAGNOL G,3.382,53%,36%,501,2019 Spring
ARCH 350,CAMPAGNOL G,3.315,49%,36%,700,2019 Spring
ARCH 406,ESQUIVEL J,4.000,100%,0%,501,2019 Spring
ARCH 406,GEVA A,3.500,50%,50%,502,2019 Spring
ARCH 406,AITANI K,3.888,89%,11%,503,2019 Spring
ARCH 406,MANN G,4.000,100%,0%,504,2019 Spring
ARCH 406,HAMILTON D,3.916,92%,8%,505,2019 Spring
ARCH 421,CULP C,2.937,44%,31%,500,2019 Spring
ARCH 434,KLEIN N,2.666,24%,33%,500,2019 Spring
ARCH 458,HILL R,4.000,100%,0%,200,2019 Spring
ARCH 458,HILL R,3.740,77%,22%,500,2019 Spring
ARCH 485,ABBOTT E,3.958,96%,4%,501,2019 Spring
ARCH 494,ABBOTT E,4.000,100%,0%,570,2019 Spring
ARCH 602,BORGES GONZALEZ A,3.363,45%,45%,600,2019 Spring
ARCH 606,HSU F,3.000,0%,100%,601,2019 Spring
ARCH 606,LU Z,3.900,90%,10%,602,2019 Spring
ARCH 606,ERMINY M,3.375,38%,62%,603,2019 Spring
ARCH 606,ALI A,3.625,62%,38%,604,2019 Spring
ARCH 608,HOLLIDAY R,3.846,85%,15%,601,2019 Spring
ARCH 608,HALIBURTON J,4.000,100%,0%,602,2019 Spring
ARCH 608,GIBBS B,3.555,56%,44%,603,2019 Spring
ARCH 614,NICHOLS A,2.100,10%,40%,600,2019 Spring
ARCH 615,HABERL J,2.727,9%,55%,600,2019 Spring
ARCH 620,HABERL J,3.600,60%,40%,600,2019 Spring
ARCH 631,NICHOLS A,2.800,0%,80%,600,2019 Spring
ARCH 633,BALTAZAR CERVANTES,3.285,43%,43%,600,2019 Spring
ARCH 634,BELTRAN L,4.000,100%,0%,600,2019 Spring
ARCH 637,AITANI K,4.000,100%,0%,600,2019 Spring
ARCH 639,HSU F,3.000,0%,100%,600,2019 Spring
ARCH 643,CULP C,4.000,100%,0%,600,2019 Spring
ARCH 644,STEWART Z,3.700,70%,30%,600,2019 Spring
ARCH 644,CAFFEY S,4.000,100%,0%,601,2019 Spring
ARCH 646,JAIN P,3.928,93%,7%,600,2019 Spring
ARCH 649,GEVA A,3.833,83%,17%,600,2019 Spring
ARCH 657,MIRANDA V,3.818,82%,18%,600,2019 Spring
ARCH 660,PENTECOST A,3.733,73%,27%,600,2019 Spring
ARCH 675,ZHU X,3.545,55%,45%,600,2019 Spring
ARCH 685,ERMINY M,3.800,80%,20%,610,2019 Spring
ARCH 685,CAFFEY S,4.000,100%,0%,615,2019 Spring
ARCH 685,OBRIEN M,4.000,100%,0%,619,2019 Spring
ARCH 685,AITANI K,3.916,83%,17%,633,2019 Spring
ARCH 685,HAMILTON D,3.800,80%,20%,657,2019 Spring
ARCH 689,ERMINY M,3.545,55%,45%,600,2019 Spring
ARCH 689,RODIEK S,4.000,100%,0%,601,2019 Spring
ARCH 689,PENTECOST A,3.833,83%,17%,603,2019 Spring
ENDS 101,HILL R,3.880,88%,12%,201,2019 Spring
ENDS 101,HILL R,4.000,100%,0%,202,2019 Spring
ENDS 101,HILL R,3.961,96%,4%,203,2019 Spring
ENDS 101,HILL R,3.960,96%,4%,204,2019 Spring
ENDS 101,HILL R,3.923,92%,8%,205,2019 Spring
ENDS 101,HILL R,4.000,100%,0%,206,2019 Spring
ENDS 101,HILL R,4.000,100%,0%,207,2019 Spring
ENDS 101,CAFFEY S,3.725,82%,14%,501,2019 Spring
ENDS 101,CAFFEY S,3.877,92%,6%,701,2019 Spring
ENDS 105,ROGERS J,3.333,33%,67%,500,2019 Spring
ENDS 108,HE W,3.923,92%,8%,200,2019 Spring
ENDS 108,TATE J,3.555,78%,6%,500,2019 Spring
ENDS 108,BORGES GONZALEZ A,3.277,50%,28%,501,2019 Spring
ENDS 108,FAULKNER M,3.277,56%,22%,502,2019 Spring
ENDS 108,MAFFEI G,3.400,40%,60%,503,2019 Spring
ENDS 108,TRIPP A,3.105,37%,42%,504,2019 Spring
ENDS 115,DE LIMA VAZ XAVIER,3.850,90%,5%,500,2019 Spring
CARC 301,CLAYTON M,3.111,22%,67%,550,2019 Spring
CARC 301,ROLDAN M,4.000,100%,0%,551,2019 Spring
CARC 301,HONEYCUTT A,4.000,100%,0%,552,2019 Spring
CARC 311,REID R,4.000,100%,0%,550,2019 Spring
CARC 311,CLAYTON M,4.000,100%,0%,551,2019 Spring
CARC 311,ROLDAN M,4.000,100%,0%,552,2019 Spring
CARC 311,HONEYCUTT A,4.000,100%,0%,553,2019 Spring
CARC 331,DI PASQUALE G,3.852,85%,15%,550,2019 Spring
CARC 331,ROLDAN M,3.785,79%,21%,551,2019 Spring
CARC 331,HONEYCUTT A,4.000,100%,0%,552,2019 Spring
CARC 481,VAN ZANDT S,3.088,44%,24%,500,2019 Spring
CARC 481,VAN ZANDT S,3.785,79%,21%,501,2019 Spring
CARC 481,ABBOTT E,4.000,100%,0%,502,2019 Spring
CARC 481,FEIGENBAUM L,4.000,100%,0%,503,2019 Spring
CARC 485,FEIGENBAUM L,4.000,100%,0%,501,2019 Spring
CARC 485,ABBOTT E,4.000,100%,0%,502,2019 Spring
CARC 485,HONEYCUTT A,3.809,81%,19%,553,2019 Spring
CARC 601,TASSINARY L,3.400,40%,60%,600,2019 Spring
CARC 602,MEYER M,3.555,56%,44%,600,2019 Spring
COSC 153,NICHOLS J,4.000,100%,0%,500,2019 Spring
COSC 175,WORKMAN R,2.750,21%,42%,901,2019 Spring
COSC 175,WORKMAN R,3.200,40%,40%,902,2019 Spring
COSC 175,NICHOLS J,4.000,100%,0%,903,2019 Spring
COSC 175,WORKMAN R,2.840,20%,44%,904,2019 Spring
COSC 175,RYBKOWSKI Z,3.076,27%,62%,905,2019 Spring
COSC 175,EUSTACE G,3.461,58%,31%,906,2019 Spring
COSC 175,KANG H,3.038,27%,54%,907,2019 Spring
COSC 253,SIMMS L,2.346,11%,36%,501,2019 Spring
COSC 253,SIMMS L,3.054,22%,65%,502,2019 Spring
COSC 253,CARLSON K,3.283,50%,32%,700,2019 Spring
COSC 254,SIMMS L,2.636,17%,42%,501,2019 Spring
COSC 254,NICHOLS J,3.594,65%,30%,502,2019 Spring
COSC 275,PALMER R,3.540,65%,30%,501,2019 Spring
COSC 275,PALMER R,3.666,73%,21%,502,2019 Spring
COSC 275,PALMER R,3.440,52%,40%,503,2019 Spring
COSC 275,EUSTACE G,3.027,32%,38%,504,2019 Spring
COSC 275,EUSTACE G,2.900,22%,50%,505,2019 Spring
COSC 301,WILLIAMSON K,3.041,17%,71%,501,2019 Spring
COSC 301,WILLIAMSON K,2.833,12%,58%,502,2019 Spring
COSC 301,WILLIAMSON K,2.708,8%,54%,503,2019 Spring
COSC 301,WILLIAMSON K,2.363,0%,36%,504,2019 Spring
COSC 301,WILLIAMSON K,2.666,4%,58%,505,2019 Spring
COSC 301,WILLIAMSON K,2.250,0%,42%,506,2019 Spring
COSC 310,BOLDT G,3.955,96%,4%,500,2019 Spring
COSC 321,CHOI K,2.882,26%,37%,501,2019 Spring
COSC 321,OSTADALIMAKHMALBAF,3.220,26%,70%,502,2019 Spring
COSC 325,HOUSTON J,2.738,15%,53%,501,2019 Spring
COSC 326,BRYANT J,2.788,13%,54%,500,2019 Spring
COSC 333,MARRARO A,1.897,0%,10%,500,2019 Spring
COSC 353,ESCAMILLA E,3.030,15%,73%,501,2019 Spring
COSC 353,CRONIN H,2.870,3%,81%,502,2019 Spring
COSC 353,CRONIN H,2.960,4%,88%,503,2019 Spring
COSC 353,ESCAMILLA E,3.161,16%,84%,504,2019 Spring
COSC 364,MCGOWAN A,3.548,68%,26%,501,2019 Spring
COSC 364,MCGOWAN A,3.950,95%,5%,504,2019 Spring
COSC 364,MCGOWAN A,3.258,42%,42%,506,2019 Spring
COSC 364,MCGOWAN A,3.727,73%,27%,507,2019 Spring
COSC 375,BOLDT G,2.764,6%,68%,501,2019 Spring
COSC 375,BOLDT G,3.025,21%,67%,502,2019 Spring
COSC 375,BOLDT G,3.421,42%,58%,503,2019 Spring
COSC 375,BOLDT G,3.100,10%,90%,504,2019 Spring
COSC 381,GUERRA SANTOS H,3.794,82%,15%,500,2019 Spring
COSC 410,FICKEL L,3.871,92%,5%,500,2019 Spring
COSC 411,FICKEL L,3.922,96%,1%,500,2019 Spring
COSC 421,DUDLEY D,3.226,34%,56%,501,2019 Spring
COSC 440,HOUSTON J,2.954,18%,59%,930,2019 Spring
COSC 441,BIRDWELL R,3.416,46%,50%,930,2019 Spring
COSC 442,FERNANDEZ-SOLIS J,3.666,67%,33%,931,2019 Spring
