course,prof,gpa,% of A,% of B,section_,semester
ACCT 209,CLARKE M,2.716,22%,35%,501,2019 Spring
ACCT 209,CLARKE M,2.797,25%,36%,502,2019 Spring
ACCT 209,CLARKE M,2.400,13%,47%,503,2019 Spring
ACCT 210,STRAWSER R,2.576,28%,31%,501,2019 Spring
ACCT 229,KNOOP J,3.523,57%,38%,200,2019 Spring
ACCT 229,KNOOP J,3.263,37%,53%,201,2019 Spring
ACCT 229,KNOOP J,3.541,58%,38%,202,2019 Spring
ACCT 229,BARRETT J,2.694,17%,42%,501,2019 Spring
ACCT 229,BARRETT J,2.645,16%,45%,502,2019 Spring
ACCT 229,BARRETT J,2.393,12%,42%,503,2019 Spring
ACCT 229,HEAD M,2.333,14%,31%,504,2019 Spring
ACCT 229,KNOOP J,2.843,31%,28%,505,2019 Spring
ACCT 229,ARNOSKY C,2.750,28%,28%,506,2019 Spring
ACCT 229,ARNOSKY C,2.312,16%,25%,507,2019 Spring
ACCT 229,ARNOSKY C,2.414,20%,22%,508,2019 Spring
ACCT 229,ARNOSKY C,2.191,6%,28%,509,2019 Spring
ACCT 229,BARBIER E,2.225,12%,25%,510,2019 Spring
ACCT 229,BARBIER E,2.533,13%,47%,511,2019 Spring
ACCT 229,WEAVER A,2.347,13%,33%,512,2019 Spring
ACCT 229,FLAM R,2.655,31%,24%,513,2019 Spring
ACCT 230,STRAWSER R,3.827,83%,17%,201,2019 Spring
ACCT 230,ALLEN N,2.875,24%,48%,501,2019 Spring
ACCT 230,ALLEN N,2.615,20%,37%,502,2019 Spring
ACCT 321,ROACH K,4.000,100%,0%,500,2019 Spring
ACCT 322,WILLIAMS M,3.845,87%,11%,500,2019 Spring
ACCT 327,LARKIN R,2.406,16%,25%,500,2019 Spring
ACCT 327,LARKIN R,3.200,40%,40%,501,2019 Spring
ACCT 327,LARKIN R,2.827,28%,28%,502,2019 Spring
ACCT 327,NEEL T,2.520,8%,48%,505,2019 Spring
ACCT 327,NEEL T,2.733,30%,27%,506,2019 Spring
ACCT 327,NEEL T,2.812,28%,47%,507,2019 Spring
ACCT 327,NEEL T,2.967,32%,39%,508,2019 Spring
ACCT 328,KOLASINSKI A,2.931,20%,57%,502,2019 Spring
ACCT 328,KOLASINSKI A,3.097,41%,32%,503,2019 Spring
ACCT 328,GROSSMAN S,3.021,22%,59%,504,2019 Spring
ACCT 328,GROSSMAN S,3.065,24%,59%,505,2019 Spring
ACCT 328,GROSSMAN S,3.276,40%,47%,506,2019 Spring
ACCT 329,FARMER K,3.474,56%,36%,501,2019 Spring
ACCT 405,ROACH K,3.536,56%,42%,501,2019 Spring
