course,prof,gpa,% of A,% of B,section_,semester
CEHD 603,GOODSON P,3.714,71%,29%,600,2019 Spring
EDAD 601,HAYNES DAVISON C,4.000,100%,0%,600,2019 Spring
EDAD 605,IRBY B,3.872,94%,4%,700,2019 Spring
EDAD 606,FAHRENWALD C,3.851,89%,7%,700,2019 Spring
EDAD 608,POENITZSCH N,4.000,100%,0%,700,2019 Spring
EDAD 609,POENITZSCH N,4.000,100%,0%,700,2019 Spring
EDAD 610,BROWN J,4.000,100%,0%,600,2019 Spring
EDAD 611,NELSON B,4.000,100%,0%,602,2019 Spring
EDAD 616,SAAVEDRA A,4.000,100%,0%,600,2019 Spring
EDAD 618,LECHUGA V,4.000,100%,0%,600,2019 Spring
EDAD 624,FAHRENWALD C,3.964,96%,4%,700,2019 Spring
EDAD 625,DIXON N,4.000,100%,0%,600,2019 Spring
EDAD 635,WEBB-JOHNSON G,4.000,100%,0%,700,2019 Spring
EDAD 638,WEBB-JOHNSON G,4.000,100%,0%,700,2019 Spring
EDAD 650,BAILEY K,4.000,100%,0%,600,2019 Spring
EDAD 652,SAAVEDRA A,3.846,85%,15%,600,2019 Spring
EDAD 658,ROBERTS D,3.888,89%,11%,600,2019 Spring
EDAD 670,BAILEY K,3.857,86%,14%,600,2019 Spring
EDAD 683,LECHUGA V,4.000,100%,0%,600,2019 Spring
EDAD 687,LUEVANOS E,3.833,83%,17%,700,2019 Spring
EDAD 688,BOWEN D,3.400,60%,20%,600,2019 Spring
EDAD 689,STANLEY C,4.000,100%,0%,600,2019 Spring
EHRD 203,MARK C,3.341,59%,29%,501,2019 Spring
EHRD 203,MARK C,3.785,83%,12%,502,2019 Spring
EHRD 210,KIBLER M,3.891,89%,11%,501,2019 Spring
EHRD 210,MCNAUGHTEN D,3.666,79%,8%,599,2019 Spring
EHRD 315,MARK C,3.687,81%,12%,500,2019 Spring
EHRD 315,MARK C,3.647,68%,29%,599,2019 Spring
EHRD 371,RICKETTS C,3.178,61%,18%,901,2019 Spring
EHRD 371,SANTOS R,3.833,90%,3%,920,2019 Spring
EHRD 371,SANTOS R,3.366,73%,3%,921,2019 Spring
EHRD 372,MUYIA M,3.564,72%,21%,599,2019 Spring
EHRD 374,MUYIA M,3.838,84%,16%,501,2019 Spring
EHRD 374,MUYIA M,3.500,61%,29%,598,2019 Spring
EHRD 374,MUYIA M,3.312,44%,44%,599,2019 Spring
EHRD 391,SANDLIN J,3.181,45%,30%,501,2019 Spring
EHRD 391,SANDLIN J,3.222,50%,33%,502,2019 Spring
EHRD 405,FERGUSON-CAMMARATA,3.725,82%,12%,598,2019 Spring
EHRD 405,FERGUSON-CAMMARATA,3.447,55%,37%,599,2019 Spring
EHRD 408,PONJUAN L,3.391,52%,39%,500,2019 Spring
EHRD 408,SANDLIN J,3.541,71%,17%,550,2019 Spring
EHRD 413,MCDONALD W,3.423,54%,35%,500,2019 Spring
EHRD 413,HUTCHINS N,3.769,85%,8%,501,2019 Spring
EHRD 477,SMITH B,3.764,85%,9%,500,2019 Spring
EHRD 477,SMITH B,3.342,61%,21%,599,2019 Spring
EHRD 481,FOWLER R,3.894,92%,5%,500,2019 Spring
EHRD 481,FOWLER R,3.692,77%,15%,501,2019 Spring
EHRD 490,SANDLIN J,3.037,33%,44%,901,2019 Spring
EHRD 490,PONJUAN L,3.933,93%,7%,902,2019 Spring
EHRD 490,SANDLIN J,3.600,60%,40%,970,2019 Spring
EHRD 603,DOOLEY L,3.764,82%,12%,700,2019 Spring
EHRD 605,DOOLEY L,3.952,95%,5%,600,2019 Spring
EHRD 612,WANG J,3.761,90%,5%,600,2019 Spring
EHRD 613,DIRANI K,4.000,100%,0%,700,2019 Spring
EHRD 614,BEYERLEIN M,3.913,91%,9%,700,2019 Spring
EHRD 616,ROUMELL E,4.000,100%,0%,699,2019 Spring
EHRD 616,ROUMELL E,3.750,81%,12%,700,2019 Spring
EHRD 619,WATSON N,4.000,100%,0%,600,2019 Spring
EHRD 624,OPENGART R,3.913,91%,9%,700,2019 Spring
EHRD 625,BEYERLEIN M,3.904,90%,10%,600,2019 Spring
EHRD 630,ROUMELL E,3.904,95%,0%,700,2019 Spring
EHRD 631,BAUMGARTNER L,3.785,86%,7%,700,2019 Spring
EHRD 642,SANTOS R,4.000,100%,0%,700,2019 Spring
EHRD 647,BAUMGARTNER L,3.857,86%,14%,700,2019 Spring
EHRD 651,MADSEN J,4.000,100%,0%,600,2019 Spring
EHRD 656,ALFRED M,3.900,90%,10%,600,2019 Spring
TCMG 272,MENDOZA DIAZ N,3.214,29%,64%,501,2019 Spring
TCMG 272,MENDOZA DIAZ N,2.960,32%,32%,502,2019 Spring
TCMG 274,WORKMAN M,3.843,91%,3%,599,2019 Spring
TCMG 303,WALKER D,3.640,72%,20%,500,2019 Spring
TCMG 303,WALKER D,3.812,84%,12%,501,2019 Spring
TCMG 308,MAI B,2.869,30%,39%,501,2019 Spring
TCMG 308,WALKER D,3.731,90%,2%,598,2019 Spring
TCMG 316,MIKEAL A,3.857,89%,7%,500,2019 Spring
TCMG 402,QUIROZ R,3.615,67%,28%,598,2019 Spring
TCMG 402,QUIROZ R,3.179,38%,44%,599,2019 Spring
TCMG 412,WORKMAN M,3.593,81%,9%,599,2019 Spring
BEFB 470,ACOSTA S,4.000,100%,0%,500,2019 Spring
BEFB 476,ACOSTA S,4.000,100%,0%,500,2019 Spring
BIED 610,TANG S,3.875,88%,12%,699,2019 Spring
BIED 615,LARA-ALECIO R,3.400,80%,0%,700,2019 Spring
BIED 632,RIVERA H,4.000,100%,0%,701,2019 Spring
BIED 689,JIMENEZ D,3.914,98%,0%,700,2019 Spring
CPSY 632,OJEDA L,4.000,100%,0%,600,2019 Spring
CPSY 637,OJEDA L,4.000,100%,0%,600,2019 Spring
CPSY 662,RIDLEY C,4.000,100%,0%,600,2019 Spring
CPSY 679,RIDLEY C,4.000,100%,0%,600,2019 Spring
CPSY 683,MCCORD C,4.000,100%,0%,614,2019 Spring
CPSY 683,CASTILLO L,4.000,100%,0%,700,2019 Spring
EDTC 608,SWEANY N,3.882,88%,12%,700,2019 Spring
EDTC 621,PEDERSEN S,3.947,95%,5%,700,2019 Spring
EDTC 642,SWEANY N,4.000,100%,0%,700,2019 Spring
EDTC 651,PEDERSEN S,4.000,100%,0%,700,2019 Spring
EDTC 654,SWEANY N,3.714,86%,10%,700,2019 Spring
EPFB 210,MONTAGUE M,3.820,87%,10%,500,2019 Spring
EPSY 320,JUNTUNE J,3.555,78%,11%,500,2019 Spring
EPSY 320,JUNTUNE J,3.454,75%,11%,700,2019 Spring
EPSY 320,GAGNE J,3.809,86%,10%,701,2019 Spring
EPSY 321,ETTEKAL I,3.562,56%,44%,500,2019 Spring
EPSY 433,RAMOS GARCIMARTIN H,3.083,67%,4%,500,2019 Spring
EPSY 433,RAMOS GARCIMARTIN H,3.595,72%,15%,700,2019 Spring
EPSY 435,RAMOS S,3.514,83%,3%,501,2019 Spring
EPSY 435,RAMOS S,3.600,74%,17%,502,2019 Spring
EPSY 435,RAMOS GARCIMARTIN H,3.559,68%,24%,700,2019 Spring
EPSY 435,RAMOS S,3.296,59%,24%,701,2019 Spring
EPSY 485,JUNTUNE J,3.552,73%,18%,546,2019 Spring
EPSY 485,WOODWARD R,4.000,100%,0%,550,2019 Spring
EPSY 602,WOODWARD R,3.833,83%,17%,600,2019 Spring
EPSY 602,JUNTUNE J,3.724,93%,0%,700,2019 Spring
EPSY 606,GAGNE J,3.500,88%,0%,600,2019 Spring
EPSY 622,RAMOS S,4.000,100%,0%,699,2019 Spring
EPSY 622,RAMOS S,3.333,72%,11%,700,2019 Spring
EPSY 625,YOON M,3.650,65%,35%,600,2019 Spring
EPSY 627,ARMSTRONG T,3.555,100%,0%,600,2019 Spring
EPSY 630,THOMPSON J,4.000,100%,0%,600,2019 Spring
EPSY 630,VANNEST K,3.827,83%,17%,700,2019 Spring
EPSY 635,ETTEKAL I,3.800,80%,20%,600,2019 Spring
EPSY 635,RAMOS GARCIMARTIN H,3.800,80%,20%,700,2019 Spring
EPSY 636,WOODWARD R,3.416,42%,58%,700,2019 Spring
EPSY 641,BAEK E,3.954,95%,5%,600,2019 Spring
EPSY 641,LUO W,4.000,100%,0%,601,2019 Spring
EPSY 642,THOMPSON C,4.000,100%,0%,600,2019 Spring
EPSY 645,JUNTUNE J,3.687,88%,6%,700,2019 Spring
EPSY 646,LIEW J,4.000,100%,0%,700,2019 Spring
EPSY 648,JUNTUNE J,4.000,100%,0%,600,2019 Spring
EPSY 651,KWOK O,3.977,98%,2%,600,2019 Spring
EPSY 652,LUO W,4.000,100%,0%,600,2019 Spring
EPSY 655,YOON M,3.923,92%,8%,600,2019 Spring
EPSY 673,WOLTERING S,3.555,56%,44%,600,2019 Spring
INST 210,FOGARTY M,3.851,85%,15%,501,2019 Spring
INST 210,FOGARTY M,3.920,92%,8%,502,2019 Spring
INST 210,FOGARTY M,3.958,96%,4%,503,2019 Spring
INST 210,FOGARTY M,3.800,85%,10%,504,2019 Spring
INST 210,FOGARTY M,3.944,94%,6%,505,2019 Spring
INST 210,FOGARTY M,3.909,91%,9%,506,2019 Spring
INST 210,FOGARTY M,3.863,86%,14%,508,2019 Spring
INST 210,FOGARTY M,3.928,93%,7%,509,2019 Spring
INST 210,FOGARTY M,4.000,100%,0%,510,2019 Spring
INST 210,FOGARTY M,3.708,83%,4%,511,2019 Spring
INST 301,WOODWARD R,3.480,56%,36%,500,2019 Spring
INST 301,WOODWARD R,3.600,60%,40%,550,2019 Spring
INST 301,RAMOS S,3.433,79%,4%,700,2019 Spring
SEFB 420,MONTAGUE M,3.923,92%,8%,501,2019 Spring
SPED 302,FOGARTY M,4.000,100%,0%,500,2019 Spring
SPED 310,BYRNS G,3.611,67%,28%,900,2019 Spring
SPED 311,MCCORMICK A,3.689,72%,24%,500,2019 Spring
SPED 312,BYRNS G,3.777,83%,11%,500,2019 Spring
SPED 314,BILLINGS ASHCRAFT S,3.965,97%,3%,500,2019 Spring
SPED 414,GILSON C,3.758,79%,17%,500,2019 Spring
