course,prof,gpa,% of A,% of B,section_,semester
BUSH 631,LENZ E,3.892,89%,11%,601,2019 Spring
BUSH 631,BULLOCK J,3.625,81%,12%,700,2019 Spring
BUSH 632,BULLOCK J,3.818,82%,18%,600,2019 Spring
BUSH 635,MARCHBANKS M,3.157,58%,21%,601,2019 Spring
BUSH 635,CORTES K,3.789,79%,21%,602,2019 Spring
BUSH 635,MU R,3.727,73%,27%,603,2019 Spring
INTA 601,CREAN J,3.705,71%,29%,600,2019 Spring
INTA 603,RUSSELL R,3.250,58%,25%,700,2019 Spring
INTA 604,RUSSELL R,3.333,58%,33%,700,2019 Spring
INTA 605,CESARIO B,3.545,55%,45%,601,2019 Spring
INTA 605,MAYBORN W,3.631,63%,37%,602,2019 Spring
INTA 605,TALBOT B,3.800,80%,20%,700,2019 Spring
INTA 608,LENZ E,3.766,77%,23%,600,2019 Spring
INTA 609,YOUNG D,3.538,54%,46%,700,2019 Spring
INTA 613,NAPPER L,3.600,60%,40%,601,2019 Spring
INTA 613,NAPPER L,3.800,80%,20%,602,2019 Spring
INTA 617,MAYBORN W,3.750,75%,25%,600,2019 Spring
INTA 621,NORRIS W,3.666,67%,33%,600,2019 Spring
INTA 625,ROBERTSON R,3.823,82%,18%,600,2019 Spring
INTA 632,MU R,3.727,82%,9%,600,2019 Spring
INTA 636,NATSIOS A,3.545,82%,9%,600,2019 Spring
INTA 638,GOTTLIEB J,3.666,67%,33%,601,2019 Spring
INTA 640,SNIDER E,3.700,70%,30%,600,2019 Spring
INTA 647,HUANG R,3.857,86%,14%,600,2019 Spring
INTA 650,SIEVERT R,3.560,56%,44%,600,2019 Spring
INTA 651,RUSSELL R,3.833,83%,17%,700,2019 Spring
INTA 652,OLSON J,3.500,50%,50%,600,2019 Spring
INTA 652,DALY S,4.000,100%,0%,700,2019 Spring
INTA 654,BLACKWELL J,3.333,67%,22%,700,2019 Spring
INTA 655,MARIN THORNTON G,3.823,88%,6%,600,2019 Spring
INTA 657,HOWELL M,3.800,80%,20%,600,2019 Spring
INTA 659,HUANG R,3.571,57%,43%,600,2019 Spring
INTA 661,MARIN THORNTON G,3.909,91%,9%,600,2019 Spring
