course,prof,gpa,% of A,% of B,section_,semester
NURS 305,PULLIUM C,3.882,90%,8%,598,2019 Spring
NURS 305,PULLIUM C,3.809,81%,19%,599,2019 Spring
NURS 312,MARKLUND L,3.625,65%,33%,500,2019 Spring
NURS 312,BRUCE R,3.500,55%,41%,501,2019 Spring
NURS 313,GRUBEN D,3.333,33%,67%,500,2019 Spring
NURS 313,GRUBEN D,3.181,23%,73%,501,2019 Spring
NURS 314,GRUBEN D,3.791,79%,21%,900,2019 Spring
NURS 314,GRUBEN D,3.454,45%,55%,901,2019 Spring
NURS 315,SEABACK W,3.657,67%,32%,500,2019 Spring
NURS 315,SEABACK W,3.363,36%,64%,501,2019 Spring
NURS 316,MAULDIN B,3.122,29%,55%,500,2019 Spring
NURS 316,MAULDIN B,2.818,14%,59%,501,2019 Spring
NURS 320,BOSENBARK M,3.120,16%,80%,500,2019 Spring
NURS 320,BOSENBARK M,2.714,14%,43%,501,2019 Spring
NURS 323,WHITE-COREY S,3.326,39%,55%,500,2019 Spring
NURS 323,WELLS-BEEDE E,3.409,50%,45%,501,2019 Spring
NURS 411,DORMIRE S,3.923,92%,8%,500,2019 Spring
NURS 413,PITTMAN A,3.571,57%,43%,500,2019 Spring
NURS 413,PITTMAN A,3.545,55%,45%,501,2019 Spring
NURS 420,MUFICH M,3.642,68%,29%,500,2019 Spring
NURS 420,MUFICH M,3.052,37%,32%,501,2019 Spring
NURS 421,VAN S,3.647,65%,35%,500,2019 Spring
NURS 421,VAN S,3.210,26%,68%,501,2019 Spring
NURS 424,CONTRERAS N,3.760,76%,24%,598,2019 Spring
NURS 424,CONTRERAS N,3.800,80%,20%,599,2019 Spring
NURS 430,MULCAHY A,3.934,96%,2%,500,2019 Spring
NURS 430,MULCAHY A,4.000,100%,0%,501,2019 Spring
NURS 460,BONNER R,3.428,57%,29%,700,2019 Spring
NURS 460,AUTHEMENT R,3.937,94%,6%,701,2019 Spring
NURS 461,AUTHEMENT R,3.750,75%,25%,700,2019 Spring
NURS 461,BURNS R,3.571,57%,43%,701,2019 Spring
NURS 463,AUTHEMENT R,3.877,93%,5%,700,2019 Spring
NURS 466,NEAL C,3.709,81%,16%,700,2019 Spring
NURS 468,MCKEE S,3.828,83%,17%,700,2019 Spring
NURS 468,NARVAEZ L,3.851,85%,15%,701,2019 Spring
NURS 624,JOHNSON C,3.176,24%,71%,700,2019 Spring
NURS 632,ZHOU Y,4.000,100%,0%,700,2019 Spring
NURS 634,UTTERBACK V,4.000,100%,0%,600,2019 Spring
NURS 652,GARY J,3.920,92%,8%,700,2019 Spring
NURS 653,PULLIUM C,3.416,42%,58%,700,2019 Spring
NURS 654,PAGE R,3.958,96%,4%,700,2019 Spring
NURS 656,MONTALVO-LIENDO N,3.913,91%,9%,700,2019 Spring
