course,prof,gpa,% of A,% of B,section_,semester
PHEO 600,BENDEN M,3.600,70%,20%,600,2019 Spring
PHEO 610,CIZMAS L,3.823,88%,6%,600,2019 Spring
PHEO 612,CARRILLO G,4.000,100%,0%,698,2019 Spring
PHEO 640,PICKENS A,3.466,47%,53%,600,2019 Spring
PHEO 645,BENDEN M,3.625,62%,38%,600,2019 Spring
PHEO 650,RENE A,4.000,100%,0%,699,2019 Spring
PHEO 655,PERES C,3.700,70%,30%,600,2019 Spring
PHEO 679,BENDEN M,3.833,83%,17%,600,2019 Spring
PHEB 602,ZHENG Q,3.857,86%,14%,701,2019 Spring
PHEB 603,ZHAO H,3.914,91%,9%,601,2019 Spring
PHEB 603,ZHAO H,3.318,41%,50%,700,2019 Spring
PHEB 605,XU X,4.000,100%,0%,600,2019 Spring
PHEB 605,ZANWAR P,3.842,84%,16%,700,2019 Spring
PHEB 606,EWORUKE E,3.400,60%,20%,700,2019 Spring
PHEB 612,ZANWAR P,3.967,97%,3%,700,2019 Spring
PHEB 612,ZANWAR P,3.866,93%,0%,701,2019 Spring
PHEB 614,ZHENG Q,3.142,14%,86%,701,2019 Spring
PHEB 619,FISCHER R,3.705,71%,29%,600,2019 Spring
PHEB 621,KALBASI S,4.000,100%,0%,600,2019 Spring
PHEB 624,GORMAN D,3.888,89%,11%,700,2019 Spring
PHPM 603,HUBER J,3.857,86%,14%,600,2019 Spring
PHPM 605,HATALA J,3.444,44%,56%,600,2019 Spring
PHPM 605,HATALA J,3.833,83%,17%,700,2019 Spring
PHPM 614,WASHBURN D,3.686,69%,31%,600,2019 Spring
PHPM 614,FORD E,4.000,100%,0%,601,2019 Spring
PHPM 617,COTE M,3.714,71%,29%,600,2019 Spring
PHPM 623,CARRINO G,3.907,92%,8%,600,2019 Spring
PHPM 624,MCNAIR L,3.791,79%,21%,600,2019 Spring
PHPM 631,KUM H,3.850,85%,15%,600,2019 Spring
PHPM 633,BOLIN J,3.944,94%,6%,600,2019 Spring
PHPM 637,CALLAGHAN T,3.666,67%,33%,600,2019 Spring
PHPM 638,WASHBURN D,3.800,80%,20%,600,2019 Spring
PHPM 640,MCMAUGHAN MOUDOUNI,3.978,98%,2%,600,2019 Spring
PHPM 643,CALLAGHAN T,3.600,60%,40%,600,2019 Spring
PHPM 653,MORRISEY M,4.000,100%,0%,600,2019 Spring
PHPM 654,MORRISEY M,3.521,52%,48%,600,2019 Spring
PHPM 674,OHSFELDT R,4.000,100%,0%,600,2019 Spring
PHPM 676,OHSFELDT R,4.000,100%,0%,600,2019 Spring
PHPM 680,SCHMIT C,3.888,89%,11%,600,2019 Spring
PHPM 685,MORRISEY M,4.000,100%,0%,613,2019 Spring
PHPM 689,HATALA J,3.600,60%,40%,601,2019 Spring
PHPM 689,BUCKLEY J,4.000,100%,0%,603,2019 Spring
HPCH 605,SHARKEY J,2.882,24%,41%,601,2019 Spring
HPCH 605,SHARKEY J,3.400,60%,20%,602,2019 Spring
HPCH 607,TAI-SEALE T,3.941,94%,6%,699,2019 Spring
HPCH 610,BURDINE J,4.000,100%,0%,600,2019 Spring
HPCH 610,BURDINE J,4.000,100%,0%,601,2019 Spring
HPCH 611,HONG Y,3.866,87%,13%,600,2019 Spring
HPCH 611,FLORES K,4.000,100%,0%,601,2019 Spring
HPCH 613,MIER N,3.600,60%,40%,601,2019 Spring
HPCH 671,COLWELL G,4.000,100%,0%,600,2019 Spring
PHLT 302,RAMIREZ G,3.954,98%,1%,599,2019 Spring
PHLT 302,RAMIREZ G,3.657,87%,3%,M99,2019 Spring
PHLT 303,STASI S,3.708,73%,25%,500,2019 Spring
