course,prof,gpa,% of A,% of B,section_,semester
BIMS 101,IVANOV I,3.946,96%,4%,501,2019 Spring
BIMS 101,IVANOV I,3.920,95%,4%,502,2019 Spring
BIMS 101,TIAN Y,3.991,99%,1%,504,2019 Spring
BIMS 101,BUSCH C,3.918,92%,8%,M01,2019 Spring
BIMS 110,YOUNG C,3.959,97%,2%,501,2019 Spring
BIMS 110,YOUNG C,3.934,97%,2%,502,2019 Spring
BIMS 201,CROUCH E,3.558,62%,32%,500,2019 Spring
BIMS 289,YOUNG C,3.944,99%,0%,500,2019 Spring
BIMS 289,YOUNG C,3.883,93%,5%,501,2019 Spring
BIMS 320,SEABURY C,3.833,83%,17%,200,2019 Spring
BIMS 320,DERR J,3.233,46%,36%,502,2019 Spring
BIMS 320,MURPHY W,2.820,22%,43%,503,2019 Spring
BIMS 320,SKOW L,3.000,35%,33%,504,2019 Spring
BIMS 421,VENKATRAJ V,3.840,84%,16%,500,2019 Spring
BIMS 481,CURLEY K,3.444,44%,56%,500,2019 Spring
BIMS 481,WELSH C,4.000,100%,0%,501,2019 Spring
BIMS 481,SUVA L,4.000,100%,0%,502,2019 Spring
BIMS 481,DAVIS B,4.000,100%,0%,503,2019 Spring
BIMS 485,CROUCH E,4.000,100%,0%,501,2019 Spring
BIMS 485,CROUCH E,4.000,100%,0%,543,2019 Spring
BIMS 489,YOUNG C,3.909,91%,9%,500,2019 Spring
BIMS 489,YOUNG C,3.900,96%,2%,501,2019 Spring
BIMS 489,YOUNG C,3.846,88%,8%,502,2019 Spring
BIMS 489,YOUNG C,3.911,93%,4%,503,2019 Spring
BIMS 491,CROUCH E,4.000,100%,0%,932,2019 Spring
VMID 686,JOHNSON G,4.000,100%,0%,600,2019 Spring
VIBS 243,JOHNSON L,3.735,79%,15%,500,2019 Spring
VIBS 243,JOHNSON L,3.533,62%,30%,501,2019 Spring
VIBS 285,JOHNSON L,4.000,100%,0%,515,2019 Spring
VIBS 289,KLEMM W,3.611,80%,13%,599,2019 Spring
VIBS 305,PINE M,3.136,32%,50%,200,2019 Spring
VIBS 305,PINE M,2.582,18%,37%,500,2019 Spring
VIBS 305,PINE M,2.747,31%,32%,501,2019 Spring
VIBS 420,SNELL J,3.916,92%,8%,501,2019 Spring
VIBS 420,SNELL J,4.000,100%,0%,502,2019 Spring
VIBS 422,AROSH S,3.965,97%,3%,500,2019 Spring
VIBS 443,JOHNSON L,2.758,34%,34%,900,2019 Spring
VIBS 456,CURLEY K,3.454,73%,18%,900,2019 Spring
VIBS 485,JOHNSON L,4.000,100%,0%,500,2019 Spring
VIBS 485,GADDY D,4.000,100%,0%,532,2019 Spring
VIBS 489,PINE M,4.000,100%,0%,500,2019 Spring
VIBS 602,JOHNSON L,3.727,73%,27%,601,2019 Spring
VIBS 609,LI Q,4.000,100%,0%,600,2019 Spring
VIBS 622,AROSH S,4.000,100%,0%,600,2019 Spring
VIBS 627,BURGHARDT R,3.800,80%,20%,600,2019 Spring
VIBS 645,RUSYN I,3.666,67%,33%,600,2019 Spring
VIBS 658,HARTBERG Y,3.400,40%,60%,600,2019 Spring
VIBS 664,GASTEL B,4.000,100%,0%,600,2019 Spring
VIBS 670,RUSYN I,3.500,50%,50%,600,2019 Spring
VIBS 689,GASTEL B,3.400,40%,60%,600,2019 Spring
VLCS 422,COHEN N,3.937,95%,5%,501,2019 Spring
VLCS 485,COHEN N,4.000,100%,0%,503,2019 Spring
VTPP 123,LYONS L,3.794,85%,10%,501,2019 Spring
VTPP 123,LYONS L,3.775,78%,22%,502,2019 Spring
VTPP 123,LYONS L,3.975,98%,2%,503,2019 Spring
VTPP 123,LYONS L,3.975,98%,2%,504,2019 Spring
VTPP 224,QUICK C,4.000,100%,0%,501,2019 Spring
VTPP 224,QUICK C,4.000,100%,0%,502,2019 Spring
VTPP 235,QUICK C,4.000,100%,0%,500,2019 Spring
VTPP 235,QUICK C,3.818,94%,0%,501,2019 Spring
VTPP 235,QUICK C,4.000,100%,0%,502,2019 Spring
VTPP 285,RAMADOSS J,3.937,94%,6%,503,2019 Spring
VTPP 323,BLUE MCLENDON A,2.973,41%,27%,500,2019 Spring
VTPP 401,WASSER J,4.000,100%,0%,550,2019 Spring
VTPP 423,HERMAN J,2.688,26%,34%,501,2019 Spring
VTPP 423,HERMAN J,2.179,13%,31%,502,2019 Spring
VTPP 423,DAVIS A,2.581,16%,44%,503,2019 Spring
VTPP 423,WASSER J,3.909,91%,9%,550,2019 Spring
VTPP 425,HERMAN J,3.285,43%,43%,500,2019 Spring
VTPP 429,BAILEY E,3.230,23%,77%,500,2019 Spring
VTPP 435,RAMADOSS J,3.133,32%,49%,501,2019 Spring
VTPP 435,RAMADOSS J,3.194,39%,43%,502,2019 Spring
VTPP 435,WASSER J,3.900,90%,10%,550,2019 Spring
VTPP 452,GOLDING M,3.200,40%,40%,501,2019 Spring
VTPP 485,RAMADOSS J,4.000,100%,0%,500,2019 Spring
VTPP 485,BLUE MCLENDON A,3.750,96%,4%,508,2019 Spring
VTPP 489,IVANOV I,3.800,80%,20%,500,2019 Spring
VTPP 489,FAJT V,4.000,100%,0%,550,2019 Spring
VTPP 606,STALLONE J,2.875,25%,38%,601,2019 Spring
VTPP 625,HERMAN J,3.400,55%,30%,600,2019 Spring
VTPP 626,HAN G,3.650,70%,25%,600,2019 Spring
