course,prof,gpa,% of A,% of B,section_,semester
ANTH 201,ALVARD M,2.750,25%,25%,500,2020 Spring
ANTH 201,GURSKY S,2.609,10%,44%,501,2020 Spring
ANTH 201,BRYANT V,2.684,18%,44%,599,2020 Spring
ANTH 202,THOMS A,2.657,20%,40%,500,2020 Spring
ANTH 204,GRAF K,2.953,35%,44%,500,2020 Spring
ANTH 205,GAUTHIER-BERUBE M,3.126,49%,33%,500,2020 Spring
ANTH 205,VIEIRA DE CASTRO L,3.435,56%,34%,501,2020 Spring
ANTH 205,LYNCH D,3.821,84%,15%,502,2020 Spring
ANTH 205,LYNCH D,3.831,84%,15%,503,2020 Spring
ANTH 205,GALLOSO R,3.830,91%,3%,505,2020 Spring
ANTH 205,WHITE J,3.285,46%,43%,506,2020 Spring
ANTH 205,MCDONOUGH K,3.114,54%,17%,507,2020 Spring
ANTH 205,BRYANT V,2.958,33%,37%,599,2020 Spring
ANTH 210,PRATT J,3.500,68%,24%,501,2020 Spring
ANTH 210,MATHENY R,3.688,77%,18%,502,2020 Spring
ANTH 225,ANDERSON M,3.190,50%,29%,501,2020 Spring
ANTH 225,GURSKY S,2.742,17%,51%,599,2020 Spring
ANTH 226,IZZO V,4.000,100%,0%,501,2020 Spring
ANTH 226,GANDARILLA M,3.842,89%,5%,502,2020 Spring
ANTH 301,THOMS A,2.523,24%,38%,900,2020 Spring
ANTH 305,LINDERHOLM A,3.235,47%,41%,900,2020 Spring
ANTH 312,ANDERSON M,3.166,42%,42%,500,2020 Spring
ANTH 313,DOSTAL C,3.272,55%,27%,500,2020 Spring
ANTH 316,THEIS R,3.245,48%,34%,501,2020 Spring
ANTH 317,WACHSMANN S,3.565,70%,22%,500,2020 Spring
ANTH 318,CRISMAN K,3.692,69%,31%,500,2020 Spring
ANTH 324,MOENCH M,3.487,57%,36%,501,2020 Spring
ANTH 324,MOENCH M,3.500,65%,24%,502,2020 Spring
ANTH 324,CARDOSO DE CARDOSO,3.400,70%,20%,503,2020 Spring
ANTH 370,LAPORTE C,3.437,66%,22%,500,2020 Spring
ANTH 403,LYNCH D,3.500,75%,17%,500,2020 Spring
ANTH 410,LAPORTE C,3.076,46%,31%,500,2020 Spring
ANTH 415,ANDERSON M,3.466,60%,27%,900,2020 Spring
ANTH 425,WRIGHT L,2.722,22%,39%,500,2020 Spring
ANTH 427,ATHREYA S,4.000,100%,0%,900,2020 Spring
ANTH 436,WACHSMANN S,3.565,74%,17%,500,2020 Spring
ANTH 436,WACHSMANN S,3.368,53%,32%,900,2020 Spring
ANTH 447,GOEBEL F,3.500,67%,17%,500,2020 Spring
ANTH 458,WINKING J,3.500,60%,30%,500,2020 Spring
ANTH 484,THAKAR H,4.000,100%,0%,501,2020 Spring
ANTH 489,BURKE A,3.375,75%,0%,500,2020 Spring
ANTH 489,LEMUS S,3.875,88%,12%,900,2020 Spring
ANTH 602,LINDERHOLM A,3.777,78%,22%,600,2020 Spring
ANTH 604,ALVARD M,4.000,100%,0%,600,2020 Spring
ANTH 606,HAMILTON D,3.444,44%,56%,600,2020 Spring
ANTH 608,WACHSMANN S,4.000,100%,0%,600,2020 Spring
ANTH 616,VIEIRA DE CASTRO L,4.000,100%,0%,600,2020 Spring
ANTH 629,CRISMAN K,3.666,67%,33%,600,2020 Spring
ANTH 647,GOEBEL F,4.000,100%,0%,600,2020 Spring
ANTH 689,DOSTAL C,3.714,71%,29%,602,2020 Spring
AFST 209,CARTER-SOWELL A,3.200,30%,60%,500,2020 Spring
AFST 317,MOORE W,3.625,75%,12%,500,2020 Spring
AFST 323,MAY R,3.000,20%,60%,500,2020 Spring
AFST 481,LAWO-SUKAM A,3.142,57%,14%,500,2020 Spring
FILM 251,SIMMS M,3.360,57%,26%,502,2020 Spring
FILM 251,SIMMS M,3.275,60%,21%,503,2020 Spring
FILM 299,MILLER C,3.870,87%,13%,500,2020 Spring
FILM 299,MILLER C,3.705,76%,22%,501,2020 Spring
FILM 343,MILLER C,4.000,100%,0%,500,2020 Spring
FILM 351,MOREY A,3.000,40%,20%,500,2020 Spring
FILM 356,FRANCIS J,3.200,40%,40%,501,2020 Spring
FILM 356,MOREY A,3.200,40%,40%,502,2020 Spring
FILM 394,LENIHAN J,2.600,0%,60%,500,2020 Spring
FILM 417,HUMPHREY D,3.000,50%,20%,500,2020 Spring
FILM 481,HUMPHREY D,3.812,81%,19%,500,2020 Spring
FILM 489,SIMMS M,4.000,100%,0%,501,2020 Spring
LBAR 181,OBERHELMAN S,3.888,89%,11%,507,2020 Spring
LBAR 181,OBERHELMAN S,3.933,93%,7%,508,2020 Spring
LBAR 181,OBERHELMAN S,3.736,79%,16%,509,2020 Spring
LBAR 181,OBERHELMAN S,4.000,100%,0%,510,2020 Spring
LBAR 181,DORSEY L,3.347,61%,30%,511,2020 Spring
LBAR 181,LAPORTE C,3.950,95%,5%,512,2020 Spring
LMAS 201,PLANKEY- VIDELA N,3.666,76%,14%,500,2020 Spring
RELS 200,VELDMAN R,3.455,52%,42%,500,2020 Spring
RELS 202,BARE D,2.923,35%,27%,500,2020 Spring
RELS 222,BARE D,3.157,37%,47%,500,2020 Spring
RELS 312,HAVENS J,3.210,58%,21%,900,2020 Spring
RELS 356,DOX D,3.368,58%,21%,900,2020 Spring
RELS 360,PERRY N,3.909,91%,9%,500,2020 Spring
RELS 360,WOLLOCK J,4.000,100%,0%,501,2020 Spring
RELS 420,VELDMAN R,3.636,73%,18%,900,2020 Spring
RELS 436,WACHSMANN S,4.000,100%,0%,500,2020 Spring
WGST 207,LAKKIMSETTI C,2.720,16%,40%,501,2020 Spring
WGST 207,OCHOA M,2.900,50%,20%,502,2020 Spring
WGST 210,EDENS P,3.315,53%,37%,502,2020 Spring
WGST 210,EDENS P,3.333,58%,25%,503,2020 Spring
WGST 300,EDENS P,3.071,36%,50%,503,2020 Spring
WGST 316,LAKKIMSETTI C,3.500,50%,50%,500,2020 Spring
WGST 343,MILLER C,3.600,60%,40%,500,2020 Spring
WGST 374,BHATTACHARYA N,4.000,100%,0%,500,2020 Spring
WGST 401,DUBRIWNY T,3.823,88%,6%,900,2020 Spring
WGST 410,MORRIS T,3.600,60%,40%,500,2020 Spring
WGST 420,MILLER L,3.200,40%,40%,900,2020 Spring
WGST 430,SCHWARTZ M,3.000,40%,40%,500,2020 Spring
WGST 473,MCNAMARA S,4.000,100%,0%,500,2020 Spring
COMM 203,CONRAD C,3.950,95%,5%,200,2020 Spring
COMM 203,TARVIN D,2.900,40%,10%,201,2020 Spring
COMM 203,STREET N,3.000,17%,65%,500,2020 Spring
COMM 203,STREET N,3.280,32%,64%,501,2020 Spring
COMM 203,STREET N,3.083,33%,50%,502,2020 Spring
COMM 203,STREET N,3.086,26%,65%,503,2020 Spring
COMM 203,STREET N,3.173,30%,57%,504,2020 Spring
