course,prof,gpa,% of A,% of B,section_,semester
EDAD 606,WEBB-JOHNSON G,4.000,100%,0%,700,2017 Summer
EDAD 608,MORRIS E,4.000,100%,0%,700,2017 Summer
EDAD 609,POENITZSCH N,3.875,88%,12%,700,2017 Summer
EDAD 610,MUSOBA G,4.000,100%,0%,100,2017 Summer
EDAD 619,RODRIGUEZ R,3.785,79%,21%,700,2017 Summer
EDAD 623,HASTINGS C,4.000,100%,0%,700,2017 Summer
EDAD 635,BLANSON A,4.000,100%,0%,700,2017 Summer
EDAD 637,HOLLEY S,3.866,87%,13%,700,2017 Summer
EDAD 669,BAILEY K,4.000,100%,0%,100,2017 Summer
EHRD 203,FOWLER R,3.857,89%,7%,700,2017 Summer
EHRD 210,MARK C,3.033,33%,43%,700,2017 Summer
EHRD 289,PONJUAN L,3.666,67%,33%,100,2017 Summer
EHRD 315,MARK C,3.833,83%,17%,700,2017 Summer
EHRD 371,BAILEY K,3.827,86%,10%,700,2017 Summer
EHRD 372,MUYIA M,3.551,69%,17%,700,2017 Summer
EHRD 374,MUYIA M,3.068,41%,34%,700,2017 Summer
EHRD 391,MUSOBA G,3.192,42%,38%,700,2017 Summer
EHRD 405,WORKMAN M,3.218,69%,6%,700,2017 Summer
EHRD 408,SANDOVAL C,3.480,60%,32%,700,2017 Summer
EHRD 408,SANDLIN J,3.464,68%,18%,701,2017 Summer
EHRD 477,SMITH B,3.392,57%,25%,701,2017 Summer
EHRD 481,FOWLER R,3.961,96%,4%,100,2017 Summer
EHRD 490,SANDLIN J,2.857,29%,36%,701,2017 Summer
EHRD 490,SANDLIN J,3.000,23%,54%,702,2017 Summer
EHRD 605,DOOLEY L,4.000,100%,0%,700,2017 Summer
EHRD 618,MINNIS S,3.956,96%,4%,700,2017 Summer
EHRD 622,WANG J,3.789,84%,11%,700,2017 Summer
EHRD 627,ROUMELL E,3.600,80%,13%,700,2017 Summer
EHRD 630,MUYIA M,4.000,100%,0%,199,2017 Summer
EHRD 630,MUYIA M,3.684,84%,11%,700,2017 Summer
TCMG 308,WORKMAN M,3.866,93%,0%,700,2017 Summer
TCMG 402,MARK C,3.518,67%,22%,700,2017 Summer
BIED 612,PADRON Y,4.000,100%,0%,700,2017 Summer
CPSY 601,CASTILLO L,3.571,62%,33%,700,2017 Summer
CPSY 603,BLAKE J,3.852,88%,9%,700,2017 Summer
CPSY 630,OJEDA L,4.000,100%,0%,700,2017 Summer
CPSY 683,RIDLEY C,4.000,100%,0%,300,2017 Summer
EDTC 646,QUIROZ R,3.909,91%,9%,700,2017 Summer
EPFB 210,MONTAGUE M,2.916,58%,8%,700,2017 Summer
EPSY 320,HARRIS C,3.866,87%,13%,700,2017 Summer
EPSY 320,LI Y,3.600,90%,0%,701,2017 Summer
EPSY 321,SWEET K,3.928,93%,7%,700,2017 Summer
EPSY 431,RAMOS GARCIMARTIN H,3.871,92%,3%,700,2017 Summer
EPSY 435,IHORN S,3.285,43%,43%,700,2017 Summer
