course,prof,gpa,% of A,% of B,section_,semester
BIOL 112,LEE C,2.823,35%,29%,201,2017 Summer
BIOL 112,LEE C,2.826,26%,52%,202,2017 Summer
BIOL 112,LEE C,2.714,33%,33%,203,2017 Summer
BIOL 112,LEE C,2.363,18%,32%,204,2017 Summer
BIOL 112,LEE C,2.500,14%,43%,205,2017 Summer
BIOL 206,MOYES R,2.933,13%,67%,101,2017 Summer
BIOL 206,MOYES R,3.000,38%,38%,102,2017 Summer
BIOL 214,BERNARDO J,3.000,23%,54%,200,2017 Summer
BIOL 319,COHN W,3.000,24%,57%,301,2017 Summer
BIOL 319,COHN W,2.578,21%,32%,302,2017 Summer
BIOL 319,COHN W,3.100,30%,60%,303,2017 Summer
BIOL 319,COHN W,2.181,9%,27%,304,2017 Summer
BIOL 319,COHN W,2.350,15%,25%,305,2017 Summer
BIOL 319,COHN W,2.888,11%,67%,306,2017 Summer
BIOL 320,TAYLOR L,2.315,16%,21%,301,2017 Summer
BIOL 320,TAYLOR L,2.142,10%,14%,302,2017 Summer
BIOL 320,TAYLOR L,2.200,13%,27%,303,2017 Summer
BIOL 320,TAYLOR L,2.800,25%,40%,304,2017 Summer
BIOL 320,TAYLOR L,2.047,14%,24%,305,2017 Summer
BIOL 320,TAYLOR L,1.785,0%,21%,306,2017 Summer
CHEM 102,MAWK E,2.526,15%,36%,300,2017 Summer
CHEM 112,BETHEL R,2.954,32%,41%,201,2017 Summer
CHEM 112,BETHEL R,3.000,30%,40%,202,2017 Summer
CHEM 112,BETHEL R,3.200,45%,35%,203,2017 Summer
CHEM 222,MULLEN C,2.315,16%,34%,300,2017 Summer
CHEM 227,SCHAEFER A,2.593,26%,23%,300,2017 Summer
CHEM 228,SANTANDER P,2.571,20%,27%,300,2017 Summer
CHEM 228,PONNAMPERUMA K,2.580,18%,40%,301,2017 Summer
CHEM 237,SCHAEFER A,2.833,17%,67%,201,2017 Summer
CHEM 237,SCHAEFER A,3.000,21%,64%,202,2017 Summer
CHEM 238,SCHAEFER A,3.157,16%,84%,201,2017 Summer
CHEM 238,SCHAEFER A,3.000,14%,71%,202,2017 Summer
CHEM 238,SCHAEFER A,2.888,11%,67%,203,2017 Summer
CHEM 238,SCHAEFER A,3.214,21%,79%,204,2017 Summer
CHEM 238,SCHAEFER A,3.000,14%,71%,205,2017 Summer
CHEM 242,MULLEN C,3.181,27%,64%,201,2017 Summer
CHEM 491,GAEDE H,4.000,100%,0%,315,2017 Summer
CHEM 491,SCHWEIKERT E,4.000,100%,0%,335,2017 Summer
NRSC 340,DEFORREST R,2.916,25%,42%,200,2017 Summer
MATH 141,ORCHARD P,2.485,26%,29%,101,2017 Summer
MATH 141,ADENIRAN A,2.842,26%,37%,201,2017 Summer
MATH 141,MITCHELL Z,2.277,33%,11%,202,2017 Summer
MATH 141,YING L,2.642,21%,36%,203,2017 Summer
MATH 142,ALLEN A,2.716,41%,16%,101,2017 Summer
MATH 142,DENG J,3.235,53%,18%,201,2017 Summer
MATH 142,SWIECICKI K,2.210,26%,11%,202,2017 Summer
MATH 142,CORBIN J,2.600,20%,35%,203,2017 Summer
MATH 151,KIM J,2.138,14%,25%,301,2017 Summer
MATH 152,SCHRADER T,1.951,2%,34%,301,2017 Summer
MATH 152,SCHRADER T,2.204,14%,27%,302,2017 Summer
MATH 251,KAHLIG J,2.051,12%,28%,301,2017 Summer
