course,prof,gpa,% of A,% of B,section_,semester
BIMS 485,HENNESSY K,4.000,100%,0%,343,2017 Summer
VIBS 305,HERMAN C,2.850,28%,42%,301,2017 Summer
VIBS 447,WALTZ M,4.000,100%,0%,150,2017 Summer
VIBS 601,HERMAN C,3.400,40%,60%,301,2017 Summer
VIBS 615,BUDKE C,3.720,84%,8%,301,2017 Summer
VIBS 616,ABBOTT L,4.000,100%,0%,101,2017 Summer
VIBS 655,GASTEL B,3.833,83%,17%,301,2017 Summer
VIBS 685,WELSH C,4.000,100%,0%,314,2017 Summer
VIBS 689,ABBOTT L,4.000,100%,0%,100,2017 Summer
VTPP 401,WASSER J,4.000,100%,0%,150,2017 Summer
VTPP 423,HERMAN J,1.921,16%,12%,300,2017 Summer
VTMI 649,FARNELL M,4.000,100%,0%,100,2017 Summer
VTPB 405,OMRAN M,3.641,72%,22%,301,2017 Summer
VTPB 405,OMRAN M,3.581,64%,31%,302,2017 Summer
VTPB 409,OMRAN M,3.392,54%,38%,300,2017 Summer
VTPB 485,DERR J,4.000,100%,0%,150,2017 Summer
VTPB 485,ESTEVE-GASENT M,4.000,100%,0%,207,2017 Summer
