course,prof,gpa,% of A,% of B,section_,semester
ACCT 209,HEAD M,3.085,32%,46%,100,2018 Summer
ACCT 210,ALLEN N,2.672,20%,35%,200,2018 Summer
ACCT 229,HEAD M,2.400,10%,20%,100,2018 Summer
ACCT 229,MUDGE L,2.576,31%,23%,101,2018 Summer
ACCT 230,ALLEN N,2.607,27%,25%,200,2018 Summer
ACCT 321,ROACH K,4.000,100%,0%,100,2018 Summer
ACCT 327,BLASOR T,2.731,30%,33%,100,2018 Summer
ACCT 328,LARKIN R,3.044,38%,34%,200,2018 Summer
ACCT 329,FARMER K,3.554,59%,36%,199,2018 Summer
ACCT 329,FARMER K,3.566,57%,43%,299,2018 Summer
ACCT 403,DEER S,3.500,50%,50%,100,2018 Summer
ACCT 405,TICHENOR N,2.953,23%,50%,100,2018 Summer
ACCT 407,SHAUB M,3.100,27%,57%,900,2018 Summer
ACCT 421,FOSTER C,3.940,94%,6%,931,2018 Summer
ACCT 427,BLASOR T,3.155,29%,57%,100,2018 Summer
ACCT 450,JOHNSON C,4.000,100%,0%,200,2018 Summer
ACCT 603,DEER S,3.888,89%,11%,100,2018 Summer
ACCT 610,KINNEY M,3.575,85%,6%,651,2018 Summer
ACCT 610,KINNEY M,3.636,73%,18%,700,2018 Summer
ACCT 628,SANDERS J,3.864,86%,14%,201,2018 Summer
ACCT 628,SANDERS J,3.714,71%,29%,202,2018 Summer
ACCT 629,FLAGG J,4.000,100%,0%,200,2018 Summer
ACCT 640,FOSTER C,3.160,32%,52%,199,2018 Summer
ACCT 647,REDMAN K,3.354,45%,45%,200,2018 Summer
BUAD 700,FLINT G,3.562,56%,44%,200,2018 Summer
BUAD 701,BLASOR T,3.903,90%,10%,200,2018 Summer
BUAD 702,JASPERSON J,3.935,94%,6%,200,2018 Summer
BUSN 403,MUIR K,3.533,53%,47%,901,2018 Summer
IBUS 401,SEIPP L,3.400,60%,20%,299,2018 Summer
IBUS 402,MCDANIEL S,3.583,75%,17%,350,2018 Summer
IBUS 402,BURTON L,3.454,64%,27%,351,2018 Summer
IBUS 402,HOLLINGER K,3.846,85%,15%,352,2018 Summer
IBUS 403,MCDANIEL S,3.800,80%,20%,350,2018 Summer
IBUS 450,PANINA D,3.875,88%,12%,150,2018 Summer
IBUS 450,PANINA D,4.000,100%,0%,250,2018 Summer
IBUS 456,PANINA D,3.700,73%,23%,250,2018 Summer
IBUS 459,ARAUJO A,4.000,100%,0%,150,2018 Summer
FINC 341,GUYTON S,2.788,34%,31%,201,2018 Summer
FINC 409,GUYTON S,2.269,12%,24%,201,2018 Summer
FINC 445,GASPAR J,3.333,33%,67%,150,2018 Summer
