course,prof,gpa,% of A,% of B,section_,semester
INTA 603,RUSSELL R,3.000,50%,33%,700,2018 Summer
INTA 605,TALBOT B,3.333,44%,44%,700,2018 Summer
INTA 617,CASTILLO J,4.000,100%,0%,100,2018 Summer
INTA 651,RUSSELL R,2.727,55%,18%,700,2018 Summer
INTA 657,MACNAMEE R,4.000,100%,0%,100,2018 Summer
INTA 680,SMITH J,2.846,38%,38%,700,2018 Summer
PSAA 601,BULLOCK J,3.937,94%,6%,700,2018 Summer
PSAA 601,SMITH S,3.666,87%,0%,701,2018 Summer
PSAA 602,COLE S,3.916,92%,8%,700,2018 Summer
PSAA 623,LITTLE C,4.000,100%,0%,700,2018 Summer
PSAA 630,MORRISON J,3.636,64%,36%,700,2018 Summer
PSAA 634,GREER R,3.909,91%,9%,700,2018 Summer
PSAA 636,TAYLOR K,3.928,93%,7%,700,2018 Summer
PSAA 643,LUM J,3.461,69%,23%,700,2018 Summer
PSAA 644,SEAWORTH A,3.133,53%,27%,700,2018 Summer
PSAA 651,DWYER W,2.923,31%,54%,700,2018 Summer
PSAA 656,ROLLINS J,3.466,67%,27%,700,2018 Summer
PSAA 658,WHITTEN G,3.571,71%,14%,700,2018 Summer
PSAA 675,DAVIS D,3.909,91%,9%,700,2018 Summer
PSAA 675,COLE S,4.000,100%,0%,701,2018 Summer
