course,prof,gpa,% of A,% of B,section_,semester
AERO 304,BOYD J,2.540,24%,24%,700,2019 Summer
AERO 489,WHITCOMB J,2.538,23%,23%,700,2019 Summer
AERO 491,CHAMITOFF G,4.000,100%,0%,343,2019 Summer
BMEN 207,KELLER B,3.666,67%,33%,700,2019 Summer
BMEN 211,PEAK C,3.500,58%,33%,300,2019 Summer
BMEN 321,PEAK C,3.285,43%,43%,300,2019 Summer
BMEN 350,CRISCIONE J,3.655,72%,21%,700,2019 Summer
BMEN 448,MORENO M,4.000,100%,0%,350,2019 Summer
BMEN 485,MACHEK J,4.000,100%,0%,301,2019 Summer
CHEN 205,TAMAMIS P,2.387,10%,29%,200,2019 Summer
CHEN 205,HOLTZAPPLE M,2.888,22%,44%,350,2019 Summer
CHEN 205,HOLTZAPPLE M,2.800,40%,20%,450,2019 Summer
CHEN 320,WU H,3.454,73%,18%,700,2019 Summer
CHEN 323,VADDIRAJU S,2.233,10%,17%,701,2019 Summer
CHEN 364,JEONG H,2.866,27%,40%,700,2019 Summer
CHEN 382,HILALY A,3.361,42%,53%,701,2019 Summer
CHEN 451,UGAZ V,3.666,87%,7%,700,2019 Summer
CHEN 455,MASHUGA C,3.513,59%,35%,701,2019 Summer
CHEN 459,SHAHRASHOOB Z,3.375,44%,50%,701,2019 Summer
CHEN 491,TAMAMIS P,4.000,100%,0%,105,2019 Summer
SENG 455,MASHUGA C,2.611,28%,33%,701,2019 Summer
CVEN 302,CHANG K,3.111,33%,44%,300,2019 Summer
CVEN 305,HOGAN H,3.666,67%,33%,150,2019 Summer
CVEN 305,LOWERY L,2.907,26%,43%,301,2019 Summer
CVEN 311,OLIVERA F,3.739,78%,17%,150,2019 Summer
CVEN 322,QUADRIFOGLIO L,3.850,85%,15%,250,2019 Summer
CVEN 339,LONDON M,3.687,69%,31%,300,2019 Summer
CVEN 349,DAMNJANOVIC I,3.700,70%,30%,250,2019 Summer
CVEN 365,CHA M,2.928,21%,50%,301,2019 Summer
CVEN 365,CHA M,3.222,33%,56%,302,2019 Summer
CVEN 399,BRUMBELOW J,0.000,100%,0%,300,2019 Summer
CVEN 399,BRUMBELOW J,0.000,100%,0%,303,2019 Summer
CVEN 403,GHARAIBEH N,4.000,100%,0%,100,2019 Summer
CVEN 424,ENGLAND P,3.958,96%,4%,700,2019 Summer
CVEN 424,SCARFUTO J,3.894,95%,0%,701,2019 Summer
