course,prof,gpa,% of A,% of B,section_,semester
ATMO 201,EPIFANIO C,3.116,38%,38%,299,2019 Summer
ATMO 370,CONLEE D,4.000,100%,0%,150,2019 Summer
ATMO 629,NORTH J,4.000,100%,0%,200,2019 Summer
GEOG 201,LODER T,3.431,64%,24%,199,2019 Summer
GEOG 202,SMITH J,2.979,25%,54%,200,2019 Summer
GEOG 203,LOISEL J,3.268,51%,32%,199,2019 Summer
GEOG 205,SANSOM L,3.955,96%,4%,299,2019 Summer
GEOG 213,VECELLIO D,2.423,25%,31%,299,2019 Summer
GEOG 390,SALGADO M,3.000,25%,56%,101,2019 Summer
GEOG 390,SALGADO M,2.437,12%,31%,102,2019 Summer
GEOG 450,PROUT E,3.222,50%,33%,100,2019 Summer
GEOG 659,ZOU L,3.600,90%,0%,775,2019 Summer
GEOG 660,LYLE S,4.000,100%,0%,701,2019 Summer
GEOG 660,LYLE S,3.200,80%,0%,775,2019 Summer
GEOG 663,LYLE S,3.909,91%,9%,775,2019 Summer
GEOG 665,LYLE S,3.875,88%,12%,775,2019 Summer
GEOG 676,GOLDBERG D,3.800,90%,0%,775,2019 Summer
GEOG 678,ZHANG Z,3.818,82%,18%,775,2019 Summer
GEOL 101,BALTA J,3.400,40%,60%,200,2019 Summer
GEOL 101,TORREZ B,2.625,25%,33%,399,2019 Summer
GEOL 102,CONTE R,3.263,47%,42%,201,2019 Summer
GEOL 450,LAYA PEREIRA J,2.833,33%,33%,936,2019 Summer
GEOL 491,REECE J,4.000,100%,0%,224,2019 Summer
OCNG 251,SYLVAN J,2.837,25%,46%,299,2019 Summer
OCNG 252,WIEDERWOHL C,2.692,31%,27%,199,2019 Summer
OCNG 252,WIEDERWOHL C,2.700,23%,43%,299,2019 Summer
