course,prof,gpa,% of A,% of B,section_,semester
AGCJ 305,WALTHER D,3.500,71%,7%,700,2020 Summer
AGCJ 307,NORRIS S,3.062,62%,19%,300,2020 Summer
AGCJ 313,DUNSFORD D,3.217,30%,61%,900,2020 Summer
AGCJ 314,DUNSFORD D,2.857,36%,29%,900,2020 Summer
AGCJ 411,MCKIM B,3.000,43%,29%,300,2020 Summer
AGCJ 413,ROBERTS L,3.833,83%,17%,300,2020 Summer
AGCJ 494,WALTHER D,4.000,100%,0%,356,2020 Summer
ALEC 617,STRONG J,4.000,100%,0%,299,2020 Summer
ALEC 617,STRONG J,3.800,80%,20%,700,2020 Summer
ALEC 625,ELBERT C,4.000,100%,0%,199,2020 Summer
ALEC 640,STRONG R,3.857,86%,14%,199,2020 Summer
ALEC 640,STRONG R,4.000,100%,0%,700,2020 Summer
ALED 202,MOORE L,3.678,75%,18%,199,2020 Summer
ALED 202,MOORE L,3.263,42%,42%,700,2020 Summer
ALED 301,ODOM S,3.000,52%,17%,700,2020 Summer
ALED 340,DUNN A,3.000,38%,34%,700,2020 Summer
ALED 340,DIXON S,3.291,46%,38%,931,2020 Summer
ALED 344,LOCKETT L,3.652,74%,17%,700,2020 Summer
ALED 422,HARLIN J,3.666,77%,13%,700,2020 Summer
ALED 424,BOYD B,3.823,88%,6%,700,2020 Summer
ALED 440,KOSWATTA T,3.043,30%,57%,701,2020 Summer
ALED 481,PRESTON T,3.300,50%,35%,299,2020 Summer
ALED 481,PRESTON T,3.818,82%,18%,700,2020 Summer
ALED 494,STAVINOHA M,2.666,60%,0%,389,2020 Summer
AGEC 105,ISHDORJ A,2.885,23%,49%,301,2020 Summer
AGEC 105,ISHDORJ A,3.000,24%,65%,302,2020 Summer
AGEC 314,DHARMASENA K,3.500,63%,28%,398,2020 Summer
AGEC 314,DHARMASENA K,2.571,29%,43%,700,2020 Summer
AGEC 325,SPRINGFIELD H,2.846,19%,54%,100,2020 Summer
AGEC 330,LEATHAM D,3.090,39%,39%,398,2020 Summer
AGEC 340,LEE K,3.551,62%,31%,100,2020 Summer
AGEC 422,BOADU F,3.514,60%,31%,398,2020 Summer
AGEC 430,THOMAS-WINSTON C,3.312,62%,19%,300,2020 Summer
AGEC 435,HARNESS N,2.810,24%,35%,398,2020 Summer
AGEC 435,HARNESS N,2.200,0%,20%,701,2020 Summer
AGEC 436,BUENGER S,2.724,24%,41%,701,2020 Summer
AGEC 437,HARNESS N,2.545,21%,42%,398,2020 Summer
AGEC 441,HARNESS N,2.272,18%,45%,398,2020 Summer
AGEC 484,MENZIES III M,4.000,100%,0%,356,2020 Summer
ANSC 107,FRENZEL L,3.733,82%,11%,200,2020 Summer
ANSC 107,FRENZEL L,3.833,83%,17%,201,2020 Summer
ANSC 108,SKAGGS C,3.700,75%,20%,200,2020 Summer
ANSC 305,SANDERS J,3.111,56%,11%,398,2020 Summer
ANSC 305,SANDERS J,3.250,50%,25%,399,2020 Summer
ANSC 307,SAVELL J,3.560,60%,36%,201,2020 Summer
ANSC 318,CARSTENS G,2.812,25%,31%,100,2020 Summer
ANSC 318,CARSTENS G,2.812,25%,44%,101,2020 Summer
ANSC 318,CARSTENS G,2.823,18%,47%,199,2020 Summer
ANSC 333,SATTERFIELD M,2.681,18%,45%,300,2020 Summer
ANSC 333,SATTERFIELD M,2.636,9%,45%,301,2020 Summer
ANSC 333,SATTERFIELD M,2.818,32%,27%,302,2020 Summer
ANSC 406,HERRING A,3.650,70%,25%,900,2020 Summer
ANSC 481,FARNELL Y,3.846,85%,15%,901,2020 Summer
ANSC 481,FRENZEL L,3.692,77%,15%,902,2020 Summer
BICH 410,HENDERSON POZZI M,2.634,30%,27%,301,2020 Summer
BICH 410,HENDERSON POZZI M,2.318,22%,25%,302,2020 Summer
BICH 411,MILES B,2.145,18%,20%,301,2020 Summer
BICH 411,MILES B,2.655,28%,30%,302,2020 Summer
BICH 412,AYRES N,3.153,38%,38%,201,2020 Summer
BICH 412,AYRES N,3.375,44%,50%,202,2020 Summer
BICH 432,PEREZ S,3.285,57%,29%,900,2020 Summer
GENE 301,DIBBLEY REYNOLDS M,2.802,36%,26%,300,2020 Summer
GENE 310,MAGILL C,2.750,18%,43%,100,2020 Summer
GENE 312,PISHKO E,2.533,27%,30%,201,2020 Summer
GENE 312,PISHKO E,2.500,25%,39%,202,2020 Summer
GENE 312,PISHKO E,2.433,23%,20%,203,2020 Summer
GENE 432,PEREZ S,2.500,50%,17%,900,2020 Summer
AGSM 337,MUNSTER C,2.357,14%,36%,700,2020 Summer
AGSM 360,KINGMAN D,3.102,51%,23%,700,2020 Summer
AGSM 477,MCGEE R,2.153,0%,31%,700,2020 Summer
BAEN 320,FERNANDO S,3.536,68%,23%,700,2020 Summer
BAEN 465,MUNSTER C,3.800,80%,20%,700,2020 Summer
BAEN 477,MCGEE R,3.909,91%,9%,700,2020 Summer
AGLS 492,WEBB S,4.000,100%,0%,350,2020 Summer
ESSM 491,MOORE G,4.000,100%,0%,350,2020 Summer
ENTO 320,SHEPHERD T,3.729,82%,12%,700,2020 Summer
ENTO 322,FARIS A,3.000,56%,14%,700,2020 Summer
ENTO 423,FARIS A,3.400,73%,13%,300,2020 Summer
ENTO 423,FARIS A,3.294,65%,24%,301,2020 Summer
FIVS 205,BRUNDAGE A,3.117,44%,32%,700,2020 Summer
HORT 201,KING A,3.750,75%,25%,700,2020 Summer
HORT 203,MCKINLEY W,3.571,79%,14%,101,2020 Summer
HORT 203,MCKINLEY W,3.500,58%,33%,102,2020 Summer
HORT 301,BURGNER G,3.785,79%,21%,199,2020 Summer
NFSC 201,MURANO P,3.762,81%,14%,700,2020 Summer
NFSC 202,CREASY R,3.796,81%,17%,700,2020 Summer
NFSC 320,MURANO P,3.844,84%,16%,700,2020 Summer
NFSC 430,LORENZ S,3.263,58%,24%,900,2020 Summer
NFSC 481,GEISMAR K,3.705,71%,29%,930,2020 Summer
BESC 201,STODDARD K,3.666,73%,21%,700,2020 Summer
PLPA 603,APPEL D,4.000,100%,0%,700,2020 Summer
POSC 201,HYATT D,3.396,59%,27%,100,2020 Summer
RENR 375,GHASEMI JALAL,3.185,63%,11%,700,2020 Summer
RPTS 201,KYLE K,3.750,80%,15%,700,2020 Summer
RPTS 201,KYLE G,3.259,56%,22%,701,2020 Summer
RPTS 301,LINFORD Q,3.441,68%,21%,700,2020 Summer
RPTS 302,SUESS-RAEISINAFCHI,3.916,92%,8%,700,2020 Summer
RPTS 311,ECK T,3.294,44%,47%,700,2020 Summer
RPTS 311,SULLINS D,3.944,94%,6%,701,2020 Summer
RPTS 323,DOWNEY J,3.117,29%,53%,700,2020 Summer
RPTS 336,MATARRITA CASCANTE,2.235,29%,12%,700,2020 Summer
RPTS 340,KYLE K,3.638,69%,25%,700,2020 Summer
RPTS 370,ETTEKAL A,3.258,45%,42%,700,2020 Summer
RPTS 371,SULLINS A,2.800,47%,20%,700,2020 Summer
RPTS 421,SONG S,4.000,100%,0%,700,2020 Summer
RPTS 426,JAMAL T,3.363,68%,14%,700,2020 Summer
RPTS 444,DURKO A,4.000,100%,0%,700,2020 Summer
RPTS 472,WANG J,3.666,67%,33%,999,2020 Summer
RPTS 484,SCOTT S,0.000,80%,20%,300,2020 Summer
RPTS 484,SCOTT S,3.533,75%,20%,350,2020 Summer
RPTS 489,HOWE J,3.000,33%,33%,299,2020 Summer
SCSC 301,HOWE J,2.809,29%,33%,100,2020 Summer
SCSC 301,HOWE J,3.176,53%,24%,101,2020 Summer
SCSC 301,HOWE J,3.000,23%,62%,102,2020 Summer
SCSC 302,HALL M,3.827,93%,3%,199,2020 Summer
SCSC 405,GENTRY T,3.000,33%,33%,700,2020 Summer
SCSC 489,HOWE J,3.400,70%,20%,299,2020 Summer
WFSC 491,YORZINSKI J,0.000,100%,0%,300,2020 Summer
