course,prof,gpa,% of A,% of B,section_,semester
ARCH 249,CAFFEY S,3.255,56%,23%,700,2020 Summer
ARCH 250,STEWART Z,3.258,42%,42%,700,2020 Summer
ARCH 331,NICHOLS A,2.666,11%,50%,100,2020 Summer
ARCH 350,CAMPAGNOL G,3.214,43%,39%,700,2020 Summer
ARCH 406,TRIPP A,3.666,67%,33%,300,2020 Summer
ARCH 406,AITANI K,3.250,50%,25%,301,2020 Summer
ARCH 603,DE LIMA VAZ XAVIER,3.300,30%,70%,300,2020 Summer
ENDS 101,BILLINGSLEY A,3.205,44%,44%,199,2020 Summer
ENDS 101,HILL R,3.983,98%,2%,200,2020 Summer
ENDS 101,BILLINGSLEY A,3.904,90%,10%,299,2020 Summer
ENDS 101,CAFFEY S,3.842,84%,16%,700,2020 Summer
ENDS 105,ROGERS J,3.166,33%,50%,100,2020 Summer
ENDS 108,BORGES GONZALEZ A,3.250,25%,75%,203,2020 Summer
ENDS 108,MCINTOSH N,3.166,33%,50%,204,2020 Summer
ENDS 115,BORGES GONZALEZ A,3.000,30%,40%,100,2020 Summer
CARC 311,GODDARD T,4.000,100%,0%,150,2020 Summer
CARC 311,ERMINY M,3.100,25%,60%,151,2020 Summer
CARC 311,FORTENBERRY B,4.000,100%,0%,152,2020 Summer
CARC 311,STOENESCU L,4.000,100%,0%,250,2020 Summer
CARC 311,REID R,4.000,100%,0%,251,2020 Summer
CARC 311,DAVIS D,4.000,100%,0%,252,2020 Summer
CARC 311,HUANG C,3.400,53%,33%,253,2020 Summer
CARC 311,ROLDAN M,3.650,70%,25%,254,2020 Summer
CARC 311,WOODFIN S,3.700,90%,0%,255,2020 Summer
CARC 311,AITANI K,3.700,85%,10%,257,2020 Summer
CARC 331,GODDARD T,4.000,100%,0%,150,2020 Summer
CARC 331,ERMINY M,3.300,40%,50%,151,2020 Summer
CARC 331,FORTENBERRY B,4.000,100%,0%,152,2020 Summer
CARC 331,STOENESCU L,4.000,100%,0%,250,2020 Summer
CARC 331,REID R,4.000,100%,0%,251,2020 Summer
