course,prof,gpa,% of A,% of B,section_,semester
ANTH 201,GURSKY S,3.481,59%,33%,199,2020 Summer
ANTH 205,THAKAR H,3.500,83%,0%,200,2020 Summer
ANTH 205,ALVARD M,2.822,42%,23%,201,2020 Summer
FILM 251,SIMMS M,3.547,67%,26%,100,2020 Summer
FILM 356,SADLER L,3.400,40%,60%,200,2020 Summer
WGST 207,ORTIZ S,4.000,100%,0%,100,2020 Summer
COMM 203,ADUEN RAMIREZ M,3.750,75%,25%,100,2020 Summer
COMM 203,GALAL A,3.590,77%,14%,101,2020 Summer
COMM 203,JACKSON T,2.850,15%,60%,102,2020 Summer
COMM 203,JENNINGS P,3.083,62%,4%,103,2020 Summer
COMM 203,LANDMARK S,2.416,33%,21%,104,2020 Summer
COMM 203,NEUKIRCH P,2.760,44%,16%,105,2020 Summer
COMM 203,SHAW L,3.708,79%,12%,106,2020 Summer
COMM 203,SIEGFRIED K,3.476,67%,24%,107,2020 Summer
COMM 203,SPIERS A,2.791,21%,54%,108,2020 Summer
COMM 203,YAVARI M,3.041,33%,42%,109,2020 Summer
COMM 203,YORK F,3.375,54%,38%,110,2020 Summer
COMM 203,ASCHENBECK S,3.409,68%,18%,170,2020 Summer
COMM 203,BRADLEY N,3.400,52%,44%,171,2020 Summer
COMM 203,GUAJARDO J,3.333,52%,38%,172,2020 Summer
COMM 203,HEATLY K,3.090,41%,45%,173,2020 Summer
COMM 203,LOPEZ J,3.900,90%,10%,174,2020 Summer
COMM 203,MUNSON D,3.304,61%,26%,175,2020 Summer
COMM 203,ROWE S,2.956,9%,83%,176,2020 Summer
COMM 203,SONG X,3.400,70%,20%,177,2020 Summer
COMM 203,TARVIN D,3.260,35%,57%,178,2020 Summer
COMM 203,WESNER K,2.875,29%,46%,179,2020 Summer
COMM 203,HEATLY K,3.473,53%,42%,180,2020 Summer
COMM 203,MUNSON D,3.875,88%,12%,181,2020 Summer
COMM 203,ROLD M,3.541,67%,25%,182,2020 Summer
COMM 203,ROWE S,2.913,26%,57%,183,2020 Summer
COMM 203,SHELDON Z,3.700,85%,10%,184,2020 Summer
COMM 203,SONG X,3.857,86%,14%,185,2020 Summer
COMM 203,WESNER K,2.833,29%,38%,186,2020 Summer
COMM 203,TARVIN D,3.263,32%,63%,190,2020 Summer
COMM 203,ASCHENBECK S,3.600,72%,24%,191,2020 Summer
COMM 203,ROWE S,3.208,38%,50%,192,2020 Summer
COMM 203,TARVIN D,3.521,52%,48%,193,2020 Summer
COMM 203,LOPEZ J,3.920,92%,8%,194,2020 Summer
COMM 203,PARISH N,3.391,43%,52%,196,2020 Summer
COMM 203,GUAJARDO J,3.863,86%,14%,197,2020 Summer
COMM 203,SONG X,3.708,88%,4%,198,2020 Summer
COMM 203,WESNER K,3.583,58%,42%,199,2020 Summer
COMM 203,TARVIN D,3.411,41%,59%,200,2020 Summer
COMM 203,ADUEN RAMIREZ M,3.818,82%,18%,201,2020 Summer
COMM 203,BAJAN A,3.047,24%,67%,202,2020 Summer
COMM 203,JENNINGS P,3.217,48%,43%,203,2020 Summer
COMM 203,SHAW L,3.043,35%,39%,204,2020 Summer
COMM 203,SIEGFRIED K,3.375,50%,46%,205,2020 Summer
COMM 203,SPIERS A,3.000,55%,18%,206,2020 Summer
COMM 203,YAVARI M,3.176,41%,35%,207,2020 Summer
COMM 203,YORK F,3.869,87%,13%,208,2020 Summer
COMM 203,ZERDA K,3.608,70%,22%,209,2020 Summer
COMM 203,ZOU W,3.478,48%,52%,210,2020 Summer
COMM 203,ASCHENBECK S,3.666,71%,24%,289,2020 Summer
COMM 203,BRADLEY N,3.818,95%,0%,290,2020 Summer
COMM 203,HEATLY K,3.526,58%,37%,291,2020 Summer
COMM 203,ROLD M,3.111,33%,50%,292,2020 Summer
COMM 205,GUAJARDO J,3.600,75%,20%,100,2020 Summer
COMM 205,LOPEZ J,3.739,83%,9%,195,2020 Summer
COMM 205,RAMIREZ A,3.347,52%,39%,196,2020 Summer
COMM 205,COLGLAZIER K,3.210,37%,47%,197,2020 Summer
COMM 205,SONG X,3.956,96%,4%,198,2020 Summer
COMM 205,WINFIELD A,2.700,20%,50%,199,2020 Summer
COMM 205,COLGLAZIER K,2.600,27%,40%,294,2020 Summer
COMM 205,GUAJARDO J,3.888,89%,11%,295,2020 Summer
COMM 205,LOPEZ J,3.818,86%,9%,297,2020 Summer
COMM 205,RAMIREZ A,3.526,68%,26%,298,2020 Summer
COMM 205,WINFIELD A,3.157,37%,42%,299,2020 Summer
COMM 215,BURTON T,3.708,75%,21%,100,2020 Summer
COMM 230,GUAJARDO J,4.000,100%,0%,100,2020 Summer
COMM 257,CRICK N,3.260,43%,48%,199,2020 Summer
COMM 315,ROWE S,3.500,62%,30%,199,2020 Summer
COMM 315,ASCHENBECK S,3.791,85%,10%,299,2020 Summer
COMM 325,WESNER K,3.500,68%,23%,199,2020 Summer
COMM 325,MUNSON D,3.175,49%,33%,299,2020 Summer
COMM 335,MILLER L,3.500,62%,29%,199,2020 Summer
COMM 335,TARVIN D,3.089,37%,38%,299,2020 Summer
COMM 340,LOPEZ J,4.000,100%,0%,199,2020 Summer
COMM 437,ROLD M,3.400,56%,36%,900,2020 Summer
COMM 440,CRICK N,3.142,52%,29%,999,2020 Summer
COMM 470,LUECK J,3.833,88%,8%,999,2020 Summer
ECON 202,TIAN S,3.232,43%,42%,100,2020 Summer
ECON 202,TAJALI H,3.700,70%,30%,200,2020 Summer
ECON 203,BAI X,3.441,58%,30%,200,2020 Summer
ECON 323,PRITCHARD D,3.059,32%,44%,100,2020 Summer
ECON 410,SONG H,3.196,51%,28%,200,2020 Summer
ECON 414,PINEDA TORRES M,3.095,37%,44%,200,2020 Summer
ECON 459,TANGVATCHARAPONG M,2.740,24%,42%,100,2020 Summer
ECON 465,PAKHOTINA N,2.934,24%,48%,100,2020 Summer
ENGL 210,TODD D,3.761,76%,24%,169,2020 Summer
ENGL 210,ALEXANDER G,3.550,80%,10%,170,2020 Summer
ENGL 210,YU H,3.500,80%,10%,171,2020 Summer
ENGL 210,PRICE C,2.761,57%,5%,172,2020 Summer
ENGL 210,PLUMMER J,3.772,91%,0%,173,2020 Summer
ENGL 210,ZHANG Z,4.000,100%,0%,174,2020 Summer
ENGL 210,ADANU E,3.818,86%,9%,175,2020 Summer
ENGL 210,KHOLINAR A,3.818,95%,0%,176,2020 Summer
ENGL 210,THIELMAN F,3.700,70%,30%,177,2020 Summer
ENGL 210,COOPER R,3.789,95%,0%,178,2020 Summer
ENGL 210,MCCOUL M,3.333,52%,33%,179,2020 Summer
ENGL 210,MCKINNEY M,3.809,81%,19%,180,2020 Summer
ENGL 210,PANTUSO T,3.818,82%,18%,181,2020 Summer
ENGL 210,FRANCIS J,3.545,64%,27%,182,2020 Summer
ENGL 210,PETERSON N,3.850,85%,15%,183,2020 Summer
ENGL 210,ROZIER J,3.700,70%,30%,184,2020 Summer
ENGL 210,TORABI K,3.600,75%,20%,185,2020 Summer
ENGL 210,BAE K,3.473,63%,32%,186,2020 Summer
ENGL 210,WINCHESTER F,3.800,95%,0%,187,2020 Summer
ENGL 210,LIEBE L,3.722,78%,17%,188,2020 Summer
ENGL 210,NANDI S,4.000,100%,0%,189,2020 Summer
ENGL 210,ROYA M,3.545,77%,9%,190,2020 Summer
ENGL 210,SECREAST D,3.954,95%,5%,191,2020 Summer
ENGL 210,HENEKS G,3.636,77%,18%,192,2020 Summer
ENGL 210,YOO S,3.818,82%,18%,193,2020 Summer
ENGL 210,PARK M,3.904,90%,10%,195,2020 Summer
ENGL 210,RIGGINS Z,3.550,60%,35%,196,2020 Summer
ENGL 210,EVANS M,3.571,62%,33%,197,2020 Summer
ENGL 210,GAMEZ Y,3.523,71%,19%,198,2020 Summer
ENGL 210,CHOI J,3.818,82%,18%,199,2020 Summer
ENGL 210,CARLY-MILES C,3.727,82%,9%,200,2020 Summer
ENGL 210,HENEKS G,3.380,62%,29%,268,2020 Summer
ENGL 210,LEE S,3.090,50%,32%,269,2020 Summer
ENGL 210,BAE K,3.400,50%,45%,270,2020 Summer
ENGL 210,THIELMAN F,3.550,70%,25%,271,2020 Summer
ENGL 210,NANDI S,3.315,58%,26%,272,2020 Summer
ENGL 210,ROGERS J,3.500,85%,0%,273,2020 Summer
ENGL 210,PATTISON K,3.368,53%,42%,274,2020 Summer
ENGL 210,TODD D,3.857,86%,14%,275,2020 Summer
ENGL 210,CARLY-MILES C,3.666,76%,19%,276,2020 Summer
ENGL 210,TORABI K,4.000,100%,0%,277,2020 Summer
ENGL 210,YOO S,3.333,57%,33%,278,2020 Summer
ENGL 210,CHO H,3.722,72%,28%,279,2020 Summer
ENGL 210,YU H,3.631,79%,16%,280,2020 Summer
ENGL 210,WINCHESTER F,3.777,94%,0%,281,2020 Summer
ENGL 210,SECREAST D,3.818,91%,5%,282,2020 Summer
ENGL 210,GAMEZ Y,3.700,75%,20%,283,2020 Summer
ENGL 210,ZHANG Z,3.777,94%,0%,284,2020 Summer
ENGL 210,COOPER R,3.714,81%,10%,285,2020 Summer
ENGL 210,MCCOUL M,2.777,28%,44%,286,2020 Summer
ENGL 210,MCKINNEY M,3.550,80%,5%,287,2020 Summer
ENGL 210,HAGSTROM-SCHMIDT N,3.761,76%,24%,288,2020 Summer
ENGL 210,PANTUSO T,3.909,91%,9%,289,2020 Summer
ENGL 210,FRANCIS J,3.650,75%,20%,290,2020 Summer
ENGL 210,PETERSON N,4.000,100%,0%,291,2020 Summer
ENGL 210,ROZIER J,3.833,83%,17%,292,2020 Summer
ENGL 210,PRICE C,3.904,90%,10%,293,2020 Summer
ENGL 210,LEE S,3.761,76%,24%,294,2020 Summer
ENGL 210,KIM H,3.500,64%,32%,295,2020 Summer
ENGL 210,ALEXANDER G,3.736,79%,16%,296,2020 Summer
ENGL 210,CHOI J,3.650,65%,35%,297,2020 Summer
ENGL 210,RIGGINS Z,3.166,56%,22%,298,2020 Summer
ENGL 210,CHUNG S,3.772,82%,14%,299,2020 Summer
ENGL 251,SIMMS M,2.500,33%,17%,100,2020 Summer
ENGL 305,WHITE L,3.452,52%,40%,100,2020 Summer
ENGL 330,BACA M,3.483,65%,26%,200,2020 Summer
ENGL 331,GONZENBACH S,3.705,76%,18%,100,2020 Summer
ENGL 333,ROGERS J,3.476,71%,14%,100,2020 Summer
ENGL 334,VASILAKIS A,3.421,58%,34%,100,2020 Summer
ENGL 340,PLUMMER J,3.781,88%,3%,200,2020 Summer
ENGL 350,YI U,3.281,66%,19%,200,2020 Summer
ENGL 356,SADLER L,3.560,72%,20%,200,2020 Summer
ENGL 361,ESTRADA-CARPENTER A,3.413,45%,52%,200,2020 Summer
ENGL 374,LEE S,3.555,70%,19%,100,2020 Summer
SPAN 101,RODRIGUEZ M,3.166,50%,33%,101,2020 Summer
SPAN 101,OKINE E,3.826,83%,17%,102,2020 Summer
SPAN 102,GARCIA J,3.846,85%,15%,201,2020 Summer
SPAN 102,BERNAL RIOS L,3.384,77%,8%,202,2020 Summer
SPAN 112,GUTKE C,3.800,80%,20%,100,2020 Summer
SPAN 112,PARRY M,3.272,64%,18%,200,2020 Summer
SPAN 201,SAINZ J,3.312,44%,44%,101,2020 Summer
SPAN 201,LAWO-SUKAM A,3.400,56%,28%,102,2020 Summer
SPAN 201,RIBOTA A,3.888,89%,11%,200,2020 Summer
SPAN 202,JACOBO J,3.666,74%,19%,201,2020 Summer
SPAN 202,KING A,3.629,70%,22%,202,2020 Summer
SPAN 208,CHAVARRO J,3.875,88%,12%,100,2020 Summer
SPAN 218,CHAVARRO J,3.714,86%,0%,200,2020 Summer
SPAN 302,ROBLES GARCIA D,3.437,75%,12%,200,2020 Summer
SPAN 303,YAGUE GONZALEZ D,3.941,94%,6%,999,2020 Summer
SPAN 312,LAWO-SUKAM A,3.700,70%,30%,199,2020 Summer
SPAN 413,ESPINA E,3.800,95%,0%,199,2020 Summer
SPAN 460,ESPINA E,4.000,100%,0%,199,2020 Summer
HIST 103,EMRE S,3.909,91%,9%,100,2020 Summer
HIST 104,MORITH B,3.074,41%,41%,200,2020 Summer
HIST 105,BROOKS C,3.196,37%,48%,100,2020 Summer
HIST 106,BACH D,3.250,41%,47%,200,2020 Summer
HIST 214,HUDSON D,3.029,21%,62%,100,2020 Summer
HIST 226,GONZALEZ T,3.435,54%,40%,200,2020 Summer
ARAB 301,AYARI S,3.681,82%,5%,199,2020 Summer
ARAB 302,AYARI S,3.444,61%,28%,299,2020 Summer
ARAB 485,AYARI S,3.538,69%,15%,199,2020 Summer
ARAB 485,AYARI S,3.454,64%,18%,299,2020 Summer
CHIN 301,SHI W,4.000,100%,0%,199,2020 Summer
CHIN 302,SHI W,3.750,88%,0%,200,2020 Summer
EURO 485,RAGUCCI S,3.538,62%,31%,199,2020 Summer
EURO 485,BRENNER D,3.866,87%,13%,299,2020 Summer
FREN 418,RAGUCCI S,3.250,62%,25%,199,2020 Summer
GERM 201,BRENNER D,3.894,89%,11%,199,2020 Summer
GERM 202,BRENNER D,3.826,83%,17%,299,2020 Summer
GERM 322,BRENNER D,4.000,100%,0%,299,2020 Summer
INTS 489,YAGUE GONZALEZ D,3.583,79%,8%,299,2020 Summer
JAPN 201,WAUGH Y,4.000,100%,0%,199,2020 Summer
JAPN 202,ADAMS G,3.666,80%,13%,299,2020 Summer
JAPN 325,ADAMS G,3.933,93%,7%,299,2020 Summer
JAPN 491,WAUGH Y,4.000,100%,0%,100,2020 Summer
MUSC 201,IMHOFF A,3.705,76%,20%,299,2020 Summer
MUSC 221,LAFEVERS C,3.393,73%,9%,199,2020 Summer
MUSC 226,KATTARI K,3.716,77%,19%,101,2020 Summer
MUSC 226,MOENCH M,2.961,27%,46%,299,2020 Summer
PERF 301,CARDOSO DE CARDOSO,4.000,100%,0%,200,2020 Summer
PERF 301,GARIAZZO M,3.932,94%,5%,700,2020 Summer
THAR 201,QUACKENBUSH AMMONS,3.825,92%,3%,200,2020 Summer
THAR 201,QUACKENBUSH AMMONS,3.809,93%,1%,299,2020 Summer
THAR 201,DEXTER R,3.466,60%,27%,700,2020 Summer
PHIL 111,CANTENS K,3.861,86%,14%,100,2020 Summer
PHIL 111,OLIPHINT J,3.090,52%,30%,200,2020 Summer
PHIL 111,CICORIA R,4.000,100%,0%,201,2020 Summer
PHIL 240,BERMUDEZ OSPINA J,2.924,30%,46%,199,2020 Summer
PHIL 240,FALTESEK B,3.000,26%,47%,200,2020 Summer
PHIL 251,CRIST A,3.526,58%,37%,100,2020 Summer
PHIL 251,OLUWAYOMI A,2.891,30%,43%,200,2020 Summer
POLS 206,NEDERMAN C,3.790,82%,16%,100,2020 Summer
POLS 206,SMITH J,3.568,64%,30%,200,2020 Summer
POLS 206,PERRY B,3.363,64%,18%,201,2020 Summer
POLS 207,SMITH J,3.792,83%,14%,100,2020 Summer
POLS 207,SMITH J,3.853,87%,11%,200,2020 Summer
POLS 306,ROBERTSON J,4.000,100%,0%,198,2020 Summer
POLS 306,ROBERTSON J,4.000,100%,0%,199,2020 Summer
POLS 320,RICE M,3.444,56%,36%,200,2020 Summer
POLS 349,NEDERMAN C,2.903,19%,58%,100,2020 Summer
PSYC 107,PEREZ K,4.000,100%,0%,198,2020 Summer
PSYC 107,PEREZ K,3.400,73%,13%,199,2020 Summer
PSYC 107,CARTER-SOWELL A,3.882,88%,12%,200,2020 Summer
PSYC 107,TIRSO R,3.567,70%,22%,298,2020 Summer
PSYC 107,TIRSO R,3.733,73%,27%,299,2020 Summer
PSYC 235,GARCIA O,3.039,43%,31%,200,2020 Summer
PSYC 300,WALKER J,3.314,60%,26%,199,2020 Summer
PSYC 300,EDENS P,3.285,50%,29%,299,2020 Summer
PSYC 301,HERNANDEZ CORTES A,3.027,39%,36%,700,2020 Summer
PSYC 301,HERNANDEZ CORTES A,2.627,19%,40%,998,2020 Summer
PSYC 302,TRAYLOR Z,3.880,88%,12%,700,2020 Summer
PSYC 302,TRAYLOR Z,2.627,2%,67%,998,2020 Summer
PSYC 302,TRAYLOR Z,2.777,67%,0%,999,2020 Summer
PSYC 305,DICKEY K,4.000,100%,0%,199,2020 Summer
PSYC 306,DOWD S,3.733,74%,25%,199,2020 Summer
PSYC 307,DOWD S,3.827,87%,11%,200,2020 Summer
PSYC 307,DOWD S,3.905,91%,9%,299,2020 Summer
PSYC 315,DICKEY K,3.671,86%,7%,200,2020 Summer
PSYC 315,DICKEY K,3.777,86%,8%,299,2020 Summer
PSYC 320,SCHUMACHER J,3.817,87%,10%,199,2020 Summer
PSYC 340,TIRSO R,3.500,63%,23%,198,2020 Summer
PSYC 340,TIRSO R,3.290,45%,41%,199,2020 Summer
PSYC 613,HEFFER R,4.000,100%,0%,301,2020 Summer
PSYC 614,HEFFER R,4.000,100%,0%,301,2020 Summer
PSYC 614,MAGYAR M,4.000,100%,0%,302,2020 Summer
SOCI 205,CARPENTER S,3.299,53%,31%,199,2020 Summer
SOCI 205,MCNAMARA K,3.548,68%,26%,299,2020 Summer
SOCI 207,ORTIZ S,3.625,70%,22%,100,2020 Summer
SOCI 217,MILLER G,3.590,64%,32%,199,2020 Summer
SOCI 220,LINNEMAN J,2.814,26%,37%,100,2020 Summer
SOCI 230,BLAZEK A,2.884,27%,46%,900,2020 Summer
SOCI 304,GARCIA A,2.857,34%,34%,100,2020 Summer
SOCI 304,HUEY E,2.900,30%,42%,200,2020 Summer
SOCI 312,ZOU X,2.926,34%,41%,100,2020 Summer
SOCI 314,ATZMON T,3.473,66%,21%,200,2020 Summer
SOCI 420,HWANG H,3.518,56%,41%,900,2020 Summer
SOCI 430,DIETRICH K,3.285,43%,43%,299,2020 Summer
