DDHS 311,FOX E,3.733,73%,27%,-50,2018 Fall
DDHS 312,FOX E,3.545,58%,39%,-50,2018 Fall
DDHS 316,WYATT L,3.666,67%,33%,-50,2018 Fall
DDHS 325,LU Y,2.757,24%,52%,-50,2018 Fall
DDHS 342,COTTER J,3.1,23%,63%,-50,2018 Fall
DDHS 401,ABRAHAM C,3.75,75%,25%,-50,2018 Fall
DDHS 402,WRIGHT J,3.25,39%,50%,-50,2018 Fall
DDHS 414,VU M,3.821,82%,18%,-50,2018 Fall
DDHS 421,COBB S,3.964,96%,4%,-50,2018 Fall
DDHS 441,CAMPBELL P,4,100%,0%,-50,2018 Fall
DDHS 461,ABRAHAM C,3.464,46%,54%,-50,2018 Fall
DDHS 462,MUZZIN K,3.035,11%,82%,-50,2018 Fall
DDHS 471,KABANI F,3.785,79%,21%,-50,2018 Fall
KINE 199,WAITE L,4,100%,0%,1,2017 Fall
KINE 199,WAITE L,3.73,73%,27%,1,2018 Fall
KINE 199,WILLINGHAM K,4,100%,0%,1,2019 Fall
KINE 199,WAITE L,3.761,86%,10%,1,2020 Fall
KINE 199,WAITE L,3.913,91%,9%,1,2017 Spring
KINE 199,WAITE L,3.75,75%,25%,1,2018 Spring
KINE 199,WAITE L,4,100%,0%,1,2020 Spring
KINE 223,SPORTSMAN-DARNELL G,3.476,67%,24%,1,2017 Fall
KINE 223,SIMMONS K,3.56,60%,36%,1,2019 Fall
KINE 223,SPORTSMAN-DARNELL G,3.291,54%,25%,1,2020 Fall
KINE 223,SPORTSMAN-DARNELL G,3.227,55%,18%,1,2017 Spring
KINE 223,SPORTSMAN-DARNELL G,3.571,79%,11%,1,2018 Spring
KINE 223,ALVAREZ A,3.48,72%,12%,1,2017 Summer
KINE 120,ZABILSKI C,3.518,67%,19%,2,2017 Fall
KINE 120,BYLER D,3.791,92%,4%,2,2018 Fall
KINE 120,WENZEL T,3.444,63%,22%,2,2020 Fall
KINE 199,TYSON L,3.736,74%,26%,2,2017 Fall
KINE 199,WILLINGHAM K,3.956,96%,4%,2,2018 Fall
KINE 199,WAITE L,3.818,82%,18%,2,2019 Fall
KINE 199,WILLINGHAM K,3.863,91%,5%,2,2020 Fall
KINE 223,SPORTSMAN-DARNELL G,3.571,71%,21%,2,2017 Fall
KINE 223,SPORTSMAN-DARNELL G,3.406,59%,28%,2,2018 Fall
KINE 223,SPORTSMAN-DARNELL G,3.441,62%,26%,2,2019 Fall
KINE 223,WOLFE J,3.428,65%,18%,2,2020 Fall
KINE 223,SIMMONS K,3.36,56%,28%,2,2020 Spring
KINE 223,WILLINGHAM K,3.722,78%,17%,2,2017 Summer
KINE 223,WILLINGHAM K,3.687,81%,6%,2,2018 Summer
KINE 223,WILLINGHAM K,3.642,79%,7%,2,2019 Summer
KINE 120,SPORTSMAN-DARNELL G,2.905,43%,23%,3,2020 Fall
KINE 120,SPORTSMAN-DARNELL G,2.714,36%,25%,3,2017 Spring
